cn.herodotus.oss	aliyun-core	1.1.3		8b0f0147e10dfcb84382d7c55ca0391d31cf5d26
cn.org.faster	faster-mybatis	1.0.0.RELEASE		b2099273155828bf3cb4cdbff9c5f464ba4c8c8b
cn.org.faster	faster-mybatis	1.1.0.RELEASE		46f4326f79f465ae90e683298e6a13bf34c7fcdf
cn.org.faster	faster-mybatis	1.1.1.RELEASE		949d3e0fe6f8bb8072f2b41da088a9e4b4c942dd
cn.org.faster	faster-mybatis	1.2.0.RELEASE		f2b202c63b69ddbc37d88acf701809b4a81fa3b1
cn.org.faster	faster-mybatis	1.3.0.RELEASE		6c42a4ed5976f2065bef615e5dfa750bf7d0bd45
cn.org.faster	faster-mybatis	1.3.1.RELEASE		145cf77a2377acd00ce9d10fa318da294a3727bc
cn.org.faster	faster-mybatis	1.3.2.RELEASE		1cf8c6e3947529701feead3dd4db8d495eb7d2dd
cn.org.faster	faster-mybatis	1.3.3.RELEASE		949ff2b5c52ebd07dd07481e861275177d830569
cn.org.faster	faster-mybatis	1.3.4.RELEASE		78840205da476fd99b3a9ed03df13860b69b5522
cn.org.faster	faster-mybatis	1.3.5.RELEASE		c1b8f8e9f43f9149ccbf17d321561a32e677dbac
cn.org.faster	faster-mybatis	1.3.6.RELEASE		f2e30df1ffa0e2af4bb570a7e2ea168b70846ad8
cn.org.faster	faster-mybatis	1.3.7.RELEASE		a8cdd26c7d9fcff87ab362592a64235b594e1fe2
cn.org.faster	faster-mybatis	1.3.8.RELEASE		db2718477913d5491f52b5556c3f6db3a6bd1cc7
cn.org.faster	faster-mybatis	1.4.0.RELEASE		1fdb7fe0c69136c9f284cf66fce5254b63b9acfa
cn.org.faster	faster-mybatis	1.4.1.RELEASE		16148098a6a1cb23964d46f7dc29bb4e1c223ba4
cn.org.faster	faster-mybatis	1.4.2.RELEASE		b1de4464cff90b8950199c161edc791e612b95a1
co.early.persista	persista-macosx64	2.0.0		N/A
co.early.persista	persista-macosx64	2.0.0	metadata	1466c81e7021820ed3bb2575a599d38bd6eb8f54
co.early.persista	persista-macosx64	2.0.0-rc.1		N/A
co.early.persista	persista-macosx64	2.0.0-rc.1	metadata	dcea519c783ba4f728b9a69d25920a8d82625633
co.early.persista	persista-macosx64	2.0.0-rc.2		N/A
co.early.persista	persista-macosx64	2.0.0-rc.2	metadata	05f4d9bd72c8927ed9b7c49b8d1a6e2927bd3389
com.47deg	sbt-org-policies_2.12_1.0	0.10.0		7e1403e0ca8aa8038b72dd89e0470e6342a4f163
com.47deg	sbt-org-policies_2.12_1.0	0.11.0		2fe30c5e1cf86562530d95da9319c8caa861856a
com.47deg	sbt-org-policies_2.12_1.0	0.11.1		f80b4d138d8f8820a165db7c7a72bb63705b1fb1
com.47deg	sbt-org-policies_2.12_1.0	0.11.2		f3ba150ecd3b0359ead908fca5a677925be5666b
com.47deg	sbt-org-policies_2.12_1.0	0.11.3		18078f4fada65ad9fbeb7bfb8cd8c4bde3d207b8
com.47deg	sbt-org-policies_2.12_1.0	0.12.0-M1		c801640d1e4d1340d7e47f3d7c428afde524468d
com.47deg	sbt-org-policies_2.12_1.0	0.12.0-M2		f3420ff5812a60a6bd6587bcbba442ccd4766eab
com.47deg	sbt-org-policies_2.12_1.0	0.12.0-M3		89ff16db2ebc16bd9d9565c3587c7dad3e2a9e13
com.47deg	sbt-org-policies_2.12_1.0	0.12.0.1		f4f35273dcfdbf8b9c09e4c328f2cba9def179a0
com.47deg	sbt-org-policies_2.12_1.0	0.12.1		879c10ae51843af38d0afbf553d069306394e31e
com.47deg	sbt-org-policies_2.12_1.0	0.12.3		66ac85f509286b7175176349057a2a5aa0db3eb4
com.47deg	sbt-org-policies_2.12_1.0	0.13.0		03f4dc15371638d8d6b9aaa3de8ba7e8ff860b2f
com.47deg	sbt-org-policies_2.12_1.0	0.13.1		395a46cc79069022586301880e13b1a7d671c7b7
com.47deg	sbt-org-policies_2.12_1.0	0.13.2		f325aa88d735bb75acac07ffcb3a3be60d4d929d
com.47deg	sbt-org-policies_2.12_1.0	0.13.3		8141e79d5907724e95f7d1b2c8928e69c11ce618
com.47deg	sbt-org-policies_2.12_1.0	0.6.0		1baf88d2a819dc4f38e20841f4bed1d981f8c8f8
com.47deg	sbt-org-policies_2.12_1.0	0.6.1		57c9a57947fb92b2a04722dcbb8d6cfcbea464fc
com.47deg	sbt-org-policies_2.12_1.0	0.6.2		012f69657a7786a77bb941609be94a3fd389b1f7
