at.molindo	molindo-webtools	1.0.0		N/A
ch.epfl.scala	sbt	0.13.17-sourcedeps		98f57d320fd990fc833bd7035cfbbd7b423e1e40
ch.epfl.scala	sbt	1.1.0-sourcedeps		73855ef03cb14d0678bd434ba661d038d106a492
ch.tutteli.atrium	atrium-core-api	0.10.0		234f5bd97aab8013a2425853c169bfd9bf29cc98
ch.tutteli.atrium	atrium-core-api	0.11.0		36ba031337bf85037fa8bae1d2211f08f4f06582
ch.tutteli.atrium	atrium-core-api	0.11.1		d1c6f530d7a239b5db5184aed11a7748eca895c2
ch.tutteli.atrium	atrium-core-api	0.12.0		8e7f0c46158a7c1a08b54adada1927d63e07a808
ch.tutteli.atrium	atrium-core-api	0.13.0		34637859b273fb28ec15018cb921c9411b464da6
ch.tutteli.atrium	atrium-core-api	0.14.0		79f5094373f5fe4ff02df6e6a604652357523b89
ch.tutteli.atrium	atrium-core-api	0.14.0.RC1		d68706c4ed30c8f78e9d8f855b39b0bccf67bbb6
ch.tutteli.atrium	atrium-core-api	0.15.0		d7448be400e44bdaea12770cb2bec5ac056feb9e
ch.tutteli.atrium	atrium-core-api	0.16.0		fce54f675d5598613d54fdfa9353232b431c223b
ch.tutteli.atrium	atrium-core-api	0.9.0		bb49af9a679e29c4f4b93f66fd45bde0ae41bb3f
ch.tutteli.atrium	atrium-core-api	0.9.0-alpha2		2212acedff4dc3af0b07f01d7c66c50efbc3f98e
ch.tutteli.atrium	atrium-core-api	0.9.1		1e13ea7f39da9935e9fb30c1be3ad40271bf5054
ch.tutteli.atrium	atrium-core-api	0.9.2		681aae419caecaf1c684e3221b9525b763da8620
ch.tutteli.atrium	atrium-core-api	1.0.0		N/A
ch.tutteli.atrium	atrium-core-api	1.0.0-RC2		N/A
com.adobe.granite.ide	com.adobe.granite.ide.p2update	1.3.0		N/A
com.alejandrohdezma	mdoc-toc-generator_2.13	0.2		fa3333c829f36a14c9d67d1275eeb29346e46fc6
com.alejandrohdezma	mdoc-toc-generator_2.13	0.3.0		dbf21de59bce854aaed6109bb17c2a15ecaebdf3
com.alejandrohdezma	mdoc-toc-generator_2.13	0.4.0		cc6420f4c7e0ffc4818e732302c14892d46188d8
com.alejandrohdezma	mdoc-toc-generator_2.13	0.4.1		975e4b4a7e754325b1e3f8a3d14d4bb4a58c06d6
com.alejandrohdezma	mdoc-toc-generator_2.13	0.4.2		16a2fe11dd0bbbb96bfe960ac8e86862cd676f78
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20221015-beta		5982b522dac3e2cd5e611e2a92bab66be4805fbf
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20221015-beta	shaded	83767988225c42ed37670d8a8ab201d6b2a54ad4
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20221125		64f5d3b4e4e66a01289ee0bbbaa10c0da349ce4c
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20221125	shaded	8a30b4b0a44daa14c1e439f51940bcc766b2b591
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230131		45e71f9d43525b97a8b0c83ecdf66a0ad863386b
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230131	shaded	43dbb26d01e607242b1dd81a7337bdde2d2cb382
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230301		64e27ed5368e9fa50ea51bbbff5a9e1d8987d53b
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230301	shaded	32048a6629210057020e5f0601120e7cbaecdf9e
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230321		c883f2d8235044f7b5398e42ca18063e03cd428a
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230321	shaded	339f0743cca04ed1f66c24766f2cddfdfdb9eb4b
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230410		7a5688da97da311f3dc4fbfca0bdc8477e14f1cc
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230410	shaded	787685f442c8c67814c25a38da4460e927f7d74a
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230602		94ad70a528ff2c07f21db16932ce4405c83f5a2e
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230602	shaded	fed13d4b5a7ce7f428887e8a608b10d51fec486c
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230616		9f8959d936c07186bf5eb6d850145c4fe7bead49
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230616	shaded	9c33753cfbba2d26afd2968e49cdccf50bb70be1
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230619		ca80efe640f3d3858cbd651cc43d4f6b6e787ea3
com.alibaba	alibabacloud-yjopenapi-java-client	1.0.20230619	shaded	eb5a25097cd7aa1a2ad551a84114013219ded865
