ca.radiant3	jsonrpc-java	0.0.1		2aa511a6cbc763b085cecad562b6ee68fe810aa3
ch.epfl.lamp	dotty-language-server_0.19	0.19.1-bin-20190901-e38e533-NIGHTLY		56e1140c0ed761794f315f50c4e679e9a4c561ad
ch.epfl.lamp	dotty-language-server_0.19	0.19.1-bin-20190902-dc88e01-NIGHTLY		20dc3c4f6142cb5f97c52b403dab083ee9729b63
ch.epfl.lamp	dotty-language-server_0.19	0.19.1-bin-20190903-85962b1-NIGHTLY		e77927c9ba0b1c8fd4f87755330994a59960ce8e
ch.epfl.lamp	dotty-language-server_0.19	0.19.1-bin-20190904-beba63a-NIGHTLY		7de696646ca015d30311092bf47c5baa6baebdbe
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.1.0+9-57ca9e0f		ba364e7b1ee72b06ada4418a209e1712a9771f4c
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.1.1+49-1c290cbb		423d9c50b5f4e9324a0320246cf29895ee6941b2
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+102-efcf0a38		fd497d647d68fef7f2662cba161af434304dfa46
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+103-49e2fa1c		c7c17c03ab47682c44ea509549ba4745b55ebc22
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+104-55d3c3d5		9e639da25a17abf9ced468d796ef3fc02574d3b4
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+105-71d9ccd5		258ca8b3d4b8abebdcb939778817d9ce9a80b077
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+106-0dad4a69		fc6dfce0f544063df2a8e83a713ffb1ec80a2ad0
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+110-85b9a03c		4bcc3155994a7160c2213730471d68901e465da4
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+75-4681bd84		094503d06ef02d88cd5665a82584e0fcf4401804
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+76-109107b0		5832391afc2a939ee0272d9e656cffca7043136f
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+87-0ebfe6be		0b1e53a98b33cd4d441e46596d05ef901231a3f7
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+90-c9b66e9d		edd7f4e2ee5ef8d4192f2d7f77f411f9010a6c9a
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+92-2425db16		7d7543dc6a927a5bf6d613a9160f688991f4f681
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+96-4b6a9513		c179461ffc717335b4979ce54deb4ac71e21471e
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+97-636ca091		42da2f3468cc022b725c140cf7fbf13dab019695
ch.epfl.scala	compiler-bridge_2.13.0-M2	1.2.1+99-950a7f0b		dc20cc8571e32586b6fd492ed818e74ecffd62b0
cn.5wos	JWosUtility	1.0.0		adf0eaf60dec0d6ef8cdb3cf50c9985a709deb99
cn.5wos	JWosUtility	1.0.1		dc8f5e3051ada171824ca5ed669147cbbd228b41
cn.lingyangwl.framework	cache-spring-boot-starter	1.1.0		846d239efd52001c3a7fec791e36891f3fc54057
cn.lingyangwl.framework	cache-spring-boot-starter	1.2.0		94162ab56c41073c0b30cb502cba0b3665474eb7
cn.lingyangwl.framework	cache-spring-boot-starter	1.3.0		e58275b764ebe8fbcfb8e25ef191840c98d17307
com.47deg	freestyle-http-play_2.11	0.1.0		c18e27b2fb83eadbc11ce50a8e207af76a6ef60d
com.aliyun	aliyun-java-sdk-dnsknocker	1.0		541dd5ab9b5fb36e7691cbd85f5d62a12df8f031
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.22.6		f87d79cd9367979a3975f3534b0d97a52603a33a
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.22.7		02ed90c94c137f66966bbb49e5878f3c61a59da5
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.23.0		d79ae71444322932f443059f5550b7c53f4a4c36
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.23.1		715a2520791f95ef592d0f3f4cb0ebaccd15f458
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.23.2		7091553048e8fddf9882528d5417a80969a87ea3
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.23.3		30289f091a20a317978fb10c6f323db5c2ed311d
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.23.4		7559abee5e2f331dea020222485f532cab0d3829
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.0		793fc52946642dcad2fc681e2f4011fecee15f61
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.1		e4ddca15f004fdd60bb5ecfedeacf79e3ee8c616
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.10		31c4ab09e15ae8d5c057392456bbc93d2d895727
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.11		85d13e162ad2235125c4353919bfee2544aac78b
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.12		3a6e4700bc3fd38411bb91342b01f6885fe7d4b4
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.13		177cd00219eee6e3c7c30f5314649cc2ef4135a4
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.2		0d19045e6aa00c8e0433358ab540d5615afe6667
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.3		e380398a35e10025ec7bd941ef01d602e3160e83
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.4		8b95d6a88911aea04cc33335767761a0f1c8cc69
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.5		b0972733ee1acccbeba3c40f7c06c0f2e38bbb90
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.6		ad5f9f943432f9f09a3981fb7fe9b0170f62fed6
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.7		ba13792a7b703087912d58bd7245ba9f93ce5d57
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.8		fc00e2d804cbc0f1823fa12ec3b42b4da542bc6f
com.anaptecs.jeaf.generator	jeaf-generator-test-spring-rest-proxy-reactive	1.24.9		7e524e405091aad427bbbb24a1b4e4c9f4b9fc9a
com.github.paganini2008.doodler	doodler-common-webmvc	1.0.0-beta		b4e144c7784e10d82ceac1b9a1b600a9c722bf71
com.google.sitebricks	slf4j	0.8.3		090aa94211a736f38e710e1ceaf26a416499488f
com.googlecode.japi-checker	japi-checker-cli	0.2.0		04b60f035bc81d2d2c47d3398afcd75c79c3c308
com.jwebmp	jwebmp-skycons	0.58.0.21-RCTEST		4053ab461b057a19060fc3ad2239c374cd363852
com.jwebmp	jwebmp-skycons	0.59.0.14		5f494ba1df749bc7b3337dfea7b13c23098b4a07
com.jwebmp	jwebmp-skycons	0.62.0.1		4fdd6e84c1195a8e21cb4b839ae2f7ef53f95586
com.jwebmp	jwebmp-skycons	0.63.0.61		7856bb52f9f259d69cbcff8809611721240bf1a7
com.jwebmp	jwebmp-skycons	0.65.0.2		9d82521697ef57369eef8767c9b1b3bcd3913e2c
com.jwebmp	jwebmp-skycons	0.65.0.3		c0b81772ebacc6e4d26fb3f4f97a9e89b860c469
com.jwebmp	jwebmp-skycons	0.66.0.1		333261e3759628610dce1744f2952f6fbaf31a67
com.jwebmp.jre11	jwebmp-bootswatch-4	0.62.0.1		1312c596440c23908d404948d9f4cc1fef40ec1e
com.lihaoyi	ujson-play_2.12	0.6.4		ea389e0dd6f157664fb02aec7bac56fbffa77a5e
com.lihaoyi	ujson-play_2.12	0.6.5		a57b5a820ddc7d9f20c7f69c9e0e8d0b068799d1
com.lihaoyi	ujson-play_2.12	0.6.6		04ccb10adfc8c2b74a0f1b1ec5bb9aac448d2131
com.lihaoyi	ujson-play_2.12	0.6.7		a74fc9428ce6d93141eb9ee1c688a9d9c8268a93
com.lihaoyi	ujson-play_2.12	0.7.0		8288f869d41e3fa835e9dc76a1dc1cac948bdd7c
com.lihaoyi	ujson-play_2.12	0.7.1		09721811ee8ac4343833307146c6d75f1a60cd47
com.lihaoyi	ujson-play_2.12	0.7.3		592cd6cf9847e28b07959772bd323394bb93c934
com.lihaoyi	ujson-play_2.12	0.7.4		4bf830e1ffb972ef53892c10c16c60ed3eb6d9c6
com.lihaoyi	ujson-play_2.12	0.7.5		b36ae45abf91af5fa902ff49cb5f9828169fbad5
com.lihaoyi	ujson-play_2.12	0.8.0		b47a5ee517a57bb131974201fe40c797d027770c
com.lihaoyi	ujson-play_2.12	0.9.0		498e7396510591ccbd3dc87607b1fad694bddbd4
com.lihaoyi	ujson-play_2.12	0.9.1		b35ca60c9b41b262c3ea15525b4cd67791ba3291
com.lihaoyi	ujson-play_2.12	0.9.2		a91ed7f88a5c7e98ba8a454cab7d16de91d8bbbc
com.lihaoyi	ujson-play_2.12	0.9.3		56cbc900ff1220a63c313609774c1a6ca0ab810d
com.lihaoyi	ujson-play_2.12	0.9.4		852c6f021d60a4b5ae1062b89d3294be3aeafcbd
com.lihaoyi	ujson-play_2.12	0.9.5		2645780912e24fd09da39649b6063ee51895bf73
com.lihaoyi	ujson-play_2.12	0.9.6		e29e4885c918d9d013df79b74a46b049a8d62713
com.lihaoyi	ujson-play_2.12	0.9.7		cce0c786448f34b4b2a7a2e9e789e5e4ad0a088c
com.lihaoyi	ujson-play_2.12	0.9.8		556e78355eaf26748b67a850222085eecbe577cd
com.lihaoyi	ujson-play_2.12	0.9.9		12736c44e0750e6b6da78a4960a85b00fb8ccb41
com.lihaoyi	ujson-play_2.12	1.0.0		dbea77faf4c674366e83a0d3852d20380847b49d
com.lihaoyi	ujson-play_2.12	1.1.0		a6525fa16976c98b748d0a066a73f8eff9588b71
com.lihaoyi	ujson-play_2.12	1.2.0		7c3695e0391ddc1e894961d2f5d1d88edb0312e3
com.lihaoyi	ujson-play_2.12	1.2.1		6e39b3ee48aca8081562361413f63c60707a9431
com.lihaoyi	ujson-play_2.12	1.2.2		e68fac1ed0e569226f7ba5e5f9c60c4b99ece5da
com.lihaoyi	ujson-play_2.12	1.2.3		43f312507d95898874fdffd0ded3577087f5bca8
com.lihaoyi	ujson-play_2.12	1.3.0		4e29b66961ed7ae6362a169e2f54c9fcc09ba804
com.lihaoyi	ujson-play_2.12	1.3.1		ec864a5d3af5021b759ad4fc573385e0d91d96b7
com.lihaoyi	ujson-play_2.12	1.3.11		1cc54f09866fe356ad2375620624e4fedf9f6798
com.lihaoyi	ujson-play_2.12	1.3.12		b94b50085bd518947fc6a4427db3c3b2f837b60f
com.lihaoyi	ujson-play_2.12	1.3.13		7c0e4c6791efac2b8dd1553446a7714c4709f77a
com.lihaoyi	ujson-play_2.12	1.3.14		e48e803314098c8f2db793195061ce348866b605
com.lihaoyi	ujson-play_2.12	1.3.15		50da5136b03a5f14dcf8d0694751a2f02bae2a7e
com.lihaoyi	ujson-play_2.12	1.3.2		7e609344daf554f2ddaf9c04eb4c149c2ae69010
com.lihaoyi	ujson-play_2.12	1.3.3		51e3a2613351c7f764fcf77098e289ed33e5d5cc
com.lihaoyi	ujson-play_2.12	1.3.4		892f0b199939646f429fd6db798c2a882527c0cc
com.lihaoyi	ujson-play_2.12	1.3.5		959d8f2e867f655ef9e107d044ba82074f16c30d
com.lihaoyi	ujson-play_2.12	1.3.6		1f9ff24ed255ab936ec6e1c2ca000ba7008d09e6
com.lihaoyi	ujson-play_2.12	1.3.7		c923985a8dadd494bbc1bffc6fda3c03c8032d59
com.lihaoyi	ujson-play_2.12	1.3.8		504d6d0c0864c1cb2052b2453729385b8873206e
com.lihaoyi	ujson-play_2.12	1.3.9		bda7d469a8396cccc30d827e59daf5ca95ad2472
com.lihaoyi	ujson-play_2.12	1.4.0		334db505ac04ad57d30f30e07a20041690a82ed1
com.lihaoyi	ujson-play_2.12	1.4.1		c464667c9f06b3dddebf3f812ca593b5bc5c10e5
com.lihaoyi	ujson-play_2.12	1.4.2		9741a74b2beb1e6e6359b260fa75994c13ffb9b7
com.lihaoyi	ujson-play_2.12	1.4.3		4e1ea24af8268df49e3eebfeb4eba41dd48ac4aa
com.lihaoyi	ujson-play_2.12	1.4.4		cae561daeda2fc8b81798127183c2fd347149d8e
com.lihaoyi	ujson-play_2.12	1.5.0		51141a3151246403545ed3029a1cbbea1da9b418
com.lihaoyi	ujson-play_2.12	1.6.0		8b36059393188f9adbfec1d17fb78168ce8f917a
com.lihaoyi	ujson-play_2.12	2.0.0		6e617dc84d7837bb789db8844500a2df7aab6ee6
com.lihaoyi	ujson-play_2.12	3.0.0		0fe8aed3e0e8fc02496b7eeb834e746be43acee6
com.lihaoyi	ujson-play_2.12	3.0.0-M1		d1a573e247f722e56b148e4800d608bb23b3d332
com.lihaoyi	ujson-play_2.12	3.0.0-M2		5359faa8070025a0b9993d304693c712f1eb71c0
com.lihaoyi	ujson-play_2.12	3.1.0		5828feb6728aa215498272203ed94040d2576028
com.lihaoyi	ujson-play_2.12	3.1.1		49a897518783a4a2871de225e05bc90129432fbd
com.lihaoyi	ujson-play_2.12	3.1.2		e92139077218cfe703dcf70b8b60306fefe950c1
com.lihaoyi	ujson-play_2.12	3.1.3		bad3ed0fe6de08d735ba0ce1acc6d6ee3cb10c7d
com.lihaoyi	ujson-play_2.12	3.1.4		4665fe45586d4194c2b85b27f7c0ca971e853e90
com.lihaoyi	ujson-play_2.12	3.1.5		91c03be14022ba3dca8f52ea834081630f6b74fd
com.lihaoyi	ujson-play_2.12	3.2.0		3d90c1e3dafee869458eb59bbe4cc4171d5f7ceb
com.lihaoyi	ujson-play_2.12	3.3.0		5b3d9e86a76059df1c1784509019c0bd048d3245
com.lihaoyi	ujson-play_2.12	3.3.1		8018e27a5c6a10c181802d13cb0df4e7355f3f22
com.lihaoyi	ujson-play_2.12	4.0.0		5f048034ec92278555af01955d9a2802794836bc
com.lihaoyi	ujson-play_2.12	4.0.0-RC1		5c49d673f959e80b62d1be35aeb55a1625d78f7d
com.lihaoyi	ujson-play_2.12	4.0.1		7f9ae8d571ffad85ce0a0736a48c4ee0a259e59a
com.lihaoyi	ujson-play_2.12	4.0.2		6a6ad245e845dd70431b5ce73c7a0257e747dd0e
com.lihaoyi	ujson-play_2.12	4.1.0		a5b70ec377f55da16cc373ef518c6afce95b632f
com.lihaoyi	ujson-play_2.12	4.1.0-test-publish		61b305d0b103abd88272fcff92af86f0ecfcef96
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.0.2		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.0.2	metadata	b7858d73cc6a8b540ffce60866381a764c3579c2
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.0.3		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.0.3	metadata	f15812fd2b88fb2403733c3a9ba683e169c84bbf
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.0.4		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.0.4	metadata	92036bb0428cc3adc9395ac6d3fde28c72484918
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.0.5		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.0.5	metadata	b99bca4a6eb8e7c86ba16544c9c53bf14ff03b7d
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.1.0		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.1.0	metadata	bb2434b587855957aaa7ab2aad4159950698a0d6
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.1.1		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.1.1	metadata	bb1420220afa13b69731d3313dc6673d022cbd4f
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.1.2		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.1.2	metadata	db8d73b48d4589b136057d1f2053bc0716d51af8
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.2.0		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.2.0	metadata	d9fb79832727e40f8c5b3429175545b2ec3f3f2e
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.3.0		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.3.0	metadata	7941db88a4bd57828dc9d0eb5b50216f7d7a6e3b
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.4.0		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.4.0	metadata	71615d1eb950cb0606c102be2b7199d91c79e48f
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.4.0-b01		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.4.0-b01	metadata	aeafef55402103cc70c4e8439faf05142059caf8
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.4.0-b02		N/A
com.mikepenz.hypnoticcanvas	hypnoticcanvas-iosx64	0.4.0-b02	metadata	588475e27b9fff68c40871a47541d043ed89d8bb
com.monnify.android-sdk	monnify-android-sdk	1.1.1		N/A
com.monnify.android-sdk	monnify-android-sdk	1.1.2		N/A
com.monnify.android-sdk	monnify-android-sdk	1.1.3		N/A
com.monnify.android-sdk	monnify-android-sdk	1.1.4		N/A
com.monnify.android-sdk	monnify-android-sdk	1.1.5		N/A
com.monnify.android-sdk	monnify-android-sdk	1.1.6		N/A
com.monnify.android-sdk	monnify-android-sdk	1.1.7		N/A
com.monnify.android-sdk	monnify-android-sdk	1.1.8		N/A
com.softwaremill.sttp.client3	zio1_sjs1_3	3.10.0		7806e5862615cf1e60eb0a8b7ceabeafece1f68b
com.softwaremill.sttp.client3	zio1_sjs1_3	3.10.1		a83968a08d14f4b11ac8e7dd93fb21689362a51c
com.softwaremill.sttp.client3	zio1_sjs1_3	3.10.2		b6a2378a21cdc25480976bedb0a5d91a5b1c8a6e
com.softwaremill.sttp.client3	zio1_sjs1_3	3.10.3		0b44130ba52949ab786e655dfc30c78002c84dc6
com.softwaremill.sttp.client3	zio1_sjs1_3	3.11.0		da022f0b9d612c3a84f9bea1b5324c68f154c40f
com.softwaremill.sttp.client3	zio1_sjs1_3	3.4.0		bcac5aebdf645b7f1d66000ef9f6b67a7b515b6f
com.softwaremill.sttp.client3	zio1_sjs1_3	3.4.1		2cfae8b4f7088db7a859fe227a2e1c787987dd32
com.softwaremill.sttp.client3	zio1_sjs1_3	3.4.2		c446c6f8da6439109a21d4349af10a23bfca19a5
com.softwaremill.sttp.client3	zio1_sjs1_3	3.5.0		fd117bcb2ddecefca2690c31c710f2fdb9957ee9
com.softwaremill.sttp.client3	zio1_sjs1_3	3.5.1		670e73142d286550964115ed5b8ebf42721c1ffe
com.softwaremill.sttp.client3	zio1_sjs1_3	3.5.2		f88a78b980c4a1248184630ab5904499f3bc8df1
com.softwaremill.sttp.client3	zio1_sjs1_3	3.6.0		c44d301cc4690674fd8bd5b8fa648df1880622d9
com.softwaremill.sttp.client3	zio1_sjs1_3	3.6.1		9ca0fd79f4ccbbbc6e802239757537565dd41756
com.softwaremill.sttp.client3	zio1_sjs1_3	3.6.2		bf162d9c3533398fbe33a276b45ad8330ba30ce8
com.softwaremill.sttp.client3	zio1_sjs1_3	3.7.0		97b803c0f7022ee3642c3faacd65ce8539df7721
com.softwaremill.sttp.client3	zio1_sjs1_3	3.7.1		4f316697596842995a47b7aa55a2794898838e8a
com.softwaremill.sttp.client3	zio1_sjs1_3	3.7.2		38e9327db280868808a944c7221799b1ee93d6b6
com.softwaremill.sttp.client3	zio1_sjs1_3	3.7.4		cadfe134566154659a41a56cb86ad7785fab670f
com.softwaremill.sttp.client3	zio1_sjs1_3	3.7.5		2cc4ce08828dc82ede5a3dca99fd451a846bc86e
com.softwaremill.sttp.client3	zio1_sjs1_3	3.7.6		7f23c4504474319dd96d05dc45184afac58aa023
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.0		d3ba9ee7f24dab20303abc4ffa88ba324963ab01
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.1		627da851d12cb81d954f18c3d383107639f54f7e
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.10		0a554b082615cf66a4ea27379ac0404fdc4aac79
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.11		686aeba5b79f07d34ad64eb50be333043fce8593
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.12		9f7e3fc7497968d3d104c080718e61f9e1e4060b
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.13		4ea50a33ff0ad2e001a62d12252187df703e0fc5
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.14		a00c6e73fbae7bdf320fac4821aff1a6adb5d827
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.15		8daaf03fe7f1a2cca2cc8f096f6a77f484e84baf
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.16		31df357db2a4a651a63a17c756ce685692ec9ce4
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.2		eebd6b76d5e8ca1344a02970390d7864d07a21c6
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.3		e7cb59495d5d8651031fcc9181d609c4d7387165
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.5		a31e0e7d000c19888909bdf6e442a9358aa2decc
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.6		3da7120266f50ad4c9d93751d0e753a74b44ff43
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.7		49a40686d4729d91bb0e5ad440a3397b3c8fdd59
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.8		375fbe72f4d52fa8eadb6391c0bece6ae184a0e7
com.softwaremill.sttp.client3	zio1_sjs1_3	3.8.9		1da26f5954f4285e7b3b73c436a801212cf0b837
com.softwaremill.sttp.client3	zio1_sjs1_3	3.9.0		a9df72b3d2c7dab7c927e462f1df02e596ae32ca
com.softwaremill.sttp.client3	zio1_sjs1_3	3.9.1		ab7a3e6223959a33841363e2b4fcf01a9faabef1
com.softwaremill.sttp.client3	zio1_sjs1_3	3.9.2		4bb486a4a6c804d71c5c2b6b0c03ea325385f716
com.softwaremill.sttp.client3	zio1_sjs1_3	3.9.3		b58ff0229b417a189ef6620ca1ea12cefb093819
com.softwaremill.sttp.client3	zio1_sjs1_3	3.9.4		5efbf23906339336f1c5763a75ace13a7edf2b92
com.softwaremill.sttp.client3	zio1_sjs1_3	3.9.5		a136d8c77d0cb8c46419b36bfec3c4565ce7a618
com.softwaremill.sttp.client3	zio1_sjs1_3	3.9.6		3c9dbb381b23ad8eb1769fedc1cfd2db1c414173
com.softwaremill.sttp.client3	zio1_sjs1_3	3.9.7		c3892611d3583475044ed523b4452de2051d96f7
com.softwaremill.sttp.client3	zio1_sjs1_3	3.9.8		f4fdfeb1d8107226f3b5098eb5e229a63ac20b58
com.yuvimasory	labeled-tostring_2.9.1-1	0.5.0		0c17e1d0d6747dbdb5feb0c88267e9661dcfbdd8
de.saxsys	mvvmFX	0.1.1		9fe4becaaa5348375d6c4cfc1f32bb0c22bfb6cd
de.saxsys	mvvmFX	0.1.2		7d43dd587e83d2697bf205f9be061aecba0f665e
de.saxsys	mvvmFX	0.1.3		ec7b6f7a83541ab7c41601887e4525a5b428193f
de.saxsys	mvvmFX	0.1.4		9e8daf1ad4f0de4ff10cc9645bcb5fad4000d1ca
de.saxsys	mvvmFX	0.2.0		c8d61fbd83bf215894372dc4693f1eb6785ac3da
de.saxsys	mvvmFX	0.3.0		f22be2d39998d59692fe0b3755e498ff43860799
de.saxsys	mvvmFX	0.4.0		b9ba9fa91501c9a16ad2dace05986fc91e950e9a
de.sciss	scalacolliderswing-app_2.13.0-M5	1.41.0		a9f7e194d656ab498cf74ef72d6c2591827b2cf3
dev.elide	elide-rpc-mingwx64	1.0.0-alpha7		N/A
dev.elide	elide-rpc-mingwx64	1.0.0-alpha8		N/A
dev.elide	elide-rpc-mingwx64	1.0.0-alpha9		N/A
dev.icerock.moko	maps-google-iosarm64	0.5.2		N/A
dev.icerock.moko	maps-google-iosarm64	0.5.2	metadata	44a4950a6182d740f93c3d9c39259a91595760f9
