at.released.cassettes	cassettes-base-androidnativex64	0.1-alpha01		N/A
cn.dreampie	jfinal-lesscss	0.1		62339d6034c68d30ffd1282883f41def76fa775f
cn.infrabase	infrabase-common-dto	0.0.1		38aa4a513d6f4cd1c0ded0e945dcab724337ae22
com.alibaba.cloud.ai	spring-ai-alibaba-starter-tool-calling-baidutranslate	1.0.0-M6.1		d225bce672c4a01cad09458e4821713045a2e8ae
com.arkivanov.mvikotlin	mvikotlin-extensions-androidx-metadata	2.0.2		776bb3f852e6b7f89c894f058ec9c83a6ae96ecb
com.bidyut.tech.seahorse	seahorse-ktor-watchosx64	0.10.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosx64	0.10.0	metadata	b1a9520e1b595698faec3a1c797109da09b84c42
com.bidyut.tech.seahorse	seahorse-ktor-watchosx64	0.11.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosx64	0.11.0	metadata	87ead06e74fbad2f937df4ca8520ea10459d137e
com.bidyut.tech.seahorse	seahorse-ktor-watchosx64	0.12.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosx64	0.12.0	metadata	7a79a1869f3d477107d01e6c8175543a3a1400eb
com.bidyut.tech.seahorse	seahorse-ktor-watchosx64	0.9.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosx64	0.9.0	metadata	689bf058522ec7447a84a475464d3702100091ed
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	0.0.3		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	0.0.3	metadata	1e70db0b4aa590e2077f1c44c27410d6d25d67d2
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.26.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.26.0	metadata	73f8c4f4a411ac2a40d536876e58399f8aa6b6ec
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.26.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.26.1	metadata	142e10e4a05b005210bda93d226a832c35ccfe7d
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.27.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.27.0	metadata	69ecbc65996e6b573d8c4ecd550c3ed9c42c6911
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.27.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.27.1	metadata	090a04c5e6d065639bf8cbd83db825f8cec7150f
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.27.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.27.2	metadata	95898c6fab3ac5d79936d5b7db6da2abfeeecec2
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.28.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.28.0	metadata	b6107d5bda28995c24c2d7428fed052448e17205
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.29.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.29.0	metadata	80ade7b1cac6a30f289c843bdd789e0cc86ee64b
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.29.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.29.1	metadata	ee030ac92776a74c2b7e49bc59ca06db0d24f51c
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.29.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.29.2	metadata	d852d705ec93c8585bf99c3a0c7605ebaeb4842d
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.30.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.30.0	metadata	f61ab748eb75a2bb90a2680bcbca2d052ef26479
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.30.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.30.1	metadata	5c06a1d8f1085091c85b536c6685a5ac68485a4c
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.31.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.31.0	metadata	8188c794f944f229b8499086fd3308cfa042a015
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.31.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosx64	1.31.1	metadata	8e096088fa4d869b0040c01c20633f6be2e27ab6
com.github.ajozwik	quill-cassandra-monix-macro_2.13	0.9.0		dac68b54a196c5876833d20939908e76d76888b7
com.github.ajozwik	quill-cassandra-monix-macro_2.13	0.9.1		98a5073d1cd0e571dfd9fe0effee9982808188c2
com.github.ajozwik	quill-cassandra-monix-macro_2.13	0.9.2		51c7219ab67dec9ecd42b204bdd581585a6cd797
com.github.ajozwik	quill-cassandra-monix-macro_2.13	0.9.3		ceca283e21148f7e682b6dd14b518531d9eb6cea
com.github.ajozwik	quill-cassandra-monix-macro_2.13	1.0.0		e216ba2a5c3222944ba96d8485fbb715ebb89b25
com.github.ajozwik	quill-cassandra-monix-macro_2.13	1.0.1		163ec4523a63de786f3eddca22206fa071f3ab5c
com.github.ajozwik	quill-cassandra-monix-macro_2.13	1.1.0		e0e1e1d079c09cd57da3dab306c37c2d10014328
com.github.ajozwik	quill-cassandra-monix-macro_2.13	1.1.1		d25b532ef25c835798f3a6a302285dbb40b346fd
com.github.ajozwik	quill-cassandra-monix-macro_2.13	1.1.2		e7fc91e5025838bb2442f0f3dfc1f3f4b84571b2
com.github.ardenliu	arden-springjdbc	0.0.1		5dc098a147034464d2766349928b347ac44796f5
com.github.ardenliu	arden-springjdbc	0.0.2		3c99ba2cc6ba2500d0ebb8b630893417c1f10a32
com.github.ardenliu	arden-springjdbc	0.0.4		89afbf05bd168280ba615fa106917d3cffb9b63e
com.github.fommil.netlib	netlib-native_system-win-i686	1.1		N/A
com.github.fommil.netlib	netlib-native_system-win-i686	1.1	natives	c25fd1881cf93f7716f47b7deec859f6b6b7be50
com.github.gumtreediff	gen.treesitter	4.0.0-beta1		e22f98824c322d3de3450fd9a87e38dc70156c99
com.github.gumtreediff	gen.treesitter	4.0.0-beta2		51192c4224aa585bef60a27c61efb34b7db60be9
com.github.gumtreediff	gen.treesitter	4.0.0-beta3		fe808c6db29d7b71f8db163528b55b7d4522f03e
com.github.piacenti	dsl-maker-metadata	1.1.33		935ecff43e2f68af427ab36ba508d89695aa8302
com.github.piacenti	dsl-maker-metadata	1.1.34		0cc9f10eda512213fe82339a213da9b89f148775
com.github.squirrelgrip	junit5-extensions	1.2.1		8d806bfdd608e127f4da287c2142878a27201180
com.github.squirrelgrip	junit5-extensions	1.2.10		d3bf5f9b6f1296b04f1804f16665c8b4e59afc0e
com.github.squirrelgrip	junit5-extensions	1.2.11		0be909a8c7a1e7552b76be286d6e12666ded4bd6
com.github.squirrelgrip	junit5-extensions	1.2.12		58e5d82c68eb2f0055b5f56f007a855bfd102be3
com.github.squirrelgrip	junit5-extensions	1.2.13		191b626d052b869142644ce080f8f36f25790b81
com.github.squirrelgrip	junit5-extensions	1.2.14		c0f2c1a126df39312a037aadd9e71691b119a7cb
com.github.squirrelgrip	junit5-extensions	1.2.15		9b19a08845bf985b926261914a5bc448bc535fa2
com.github.squirrelgrip	junit5-extensions	1.2.16		db9490c92ae5a79256441e9951a0db91df498b42
com.github.squirrelgrip	junit5-extensions	1.2.17		ad483b756c5d871a19f57dfddecda4dc52bb9fcd
com.github.squirrelgrip	junit5-extensions	1.2.18		c64279f0e66d420af525705172c04bf991c883cd
com.github.squirrelgrip	junit5-extensions	1.2.19		3bf8d561f19a3e4e34839c97f92e2af25bb9fae7
com.github.squirrelgrip	junit5-extensions	1.2.2		3227d9db21a4c34b9223c66b6f084a4aecc77d0e
com.github.squirrelgrip	junit5-extensions	1.2.3		1c0a17bb622f8655b01ed1fd459c14b587d2f68d
com.github.squirrelgrip	junit5-extensions	1.2.4		f19c4f78a4c23fdb2b935e17d5b8bef77308ba4a
com.github.squirrelgrip	junit5-extensions	1.2.5		f8bf7bcc6827aa18ab12fc7d841ca3532d3c68ee
com.github.squirrelgrip	junit5-extensions	1.2.6		d0d0c1bb73def555252080a987ee985c73556a27
com.github.squirrelgrip	junit5-extensions	1.2.7		492bb0b44a245ba71aae49f185008ed3c551b3d6
com.github.squirrelgrip	junit5-extensions	1.2.8		2024ad3367bddf596056c674aad40bff0a7a2646
com.github.squirrelgrip	junit5-extensions	1.3.0		04e7f0f0d31beb43ab1b2335d4eb5b027a629461
com.github.squirrelgrip	junit5-extensions	1.3.1		e2815a75370cdd6ddf9d87850904feb910ec5aec
com.github.squirrelgrip	junit5-extensions	1.3.10		a02e6be80910269b9132429d2e2fde24c53b03cf
com.github.squirrelgrip	junit5-extensions	1.3.11		7a34f910f2984bd715979a31081510f378811c7b
com.github.squirrelgrip	junit5-extensions	1.3.12		31619add184f6f0842d4460b4b9e1f7d920d8f76
com.github.squirrelgrip	junit5-extensions	1.3.2		0891058ab81d791dcd876ec606c15671aaff87fa
com.github.squirrelgrip	junit5-extensions	1.3.3		c9e2fbecebdaae6357a4bb56487f51e24454ce80
com.github.squirrelgrip	junit5-extensions	1.3.4		b70754128b90004a671ac0ad05d88b7d5bafddc6
com.github.squirrelgrip	junit5-extensions	1.3.5		b0c9baa40fb24ce3feb6ecceb6ce68a6caf60bdc
com.github.squirrelgrip	junit5-extensions	1.3.7		0c464166f848a6218c1e869b1dcd9c1a8eb5b4d4
com.github.squirrelgrip	junit5-extensions	1.3.8		160119188b0f3c2383f76b2d64268ab0c63ff211
com.github.squirrelgrip	junit5-extensions	1.3.9		06e4688354ae962182c701f9712c251eda1942c8
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.3.0		9853bd5003c661c90492df7f29a65ba6cb02fe04
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.3.1		7f2f333c940c325c7d7d5eaf04716e57c01a910e
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.4.0		1696701dced369cb1e14ec9bd404cdb83ff77c99
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.4.1		684d5f5a79b9306174784ed334bbe760da0dafaf
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.5.0		dc9dec4f649d9f8f6db00f81a6dbed4dcb5d5846
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.5.1		ce7c15e8ea65d88e254ebb1dc2449d87041b8aba
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.5.2		a0fa7155512288f61c7cddf93ea044117fd4bc3c
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.5.3		589dbde637b126c97341ed53370dabd20cb96956
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.5.4		b50620c0550bdb83ddbaa7144531e3bb7328c749
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.5.5		e0e9c68fa90ffd9cc717a573ef64f995ab0e56e9
com.github.starnowski.posmulten.configuration	configuration-yaml-interpreter	0.5.6		5a9b88c48329cbcee47697b6b908f33ad4b4c436
