by.exonit	swagger-play2-play26_2.12	1.0.0		a66c4bafb96bc11a61ed78a85e885a63966b3844
ch.jodersky	akka-serial-stream_2.12	4.0.0		ea0d39282a868bf6286d0e93d1ec30988ddb9aec
ch.jodersky	akka-serial-stream_2.12	4.0.0-RC1		4a56baea5472251a6fc5c6a285311fa749dbdb97
ch.jodersky	akka-serial-stream_2.12	4.1.0		55c8f54a8c0c8eab12ce276eadc9d80a8b8f89cf
ch.jodersky	akka-serial-stream_2.12	4.1.1		90db54b533f75973c830fb4ba915342e46172b02
ch.jodersky	akka-serial-stream_2.12	4.1.2		cd2d716092ab2fb138c3c9f46bcdcb4dd2c3cce1
ch.jodersky	akka-serial-stream_2.12	4.1.4		692d3ef0d5e6f43a1083fa343dafdd2ad75312ab
ch.jodersky	akka-serial-stream_2.12	4.2.0		c6e51af4bdb9e77b90ce421fb7a27737b8414c0d
ch.racic.testing	cm-config-for-unit-test	0.13.2		45ffa2689a4c6cf3438ea724be1d0c6f689fde40
ch.racic.testing	cm-config-for-unit-test	0.14.0		55409c053e20a5e9b7f9ea61c53d50df8160eefd
ch.racic.testing	cm-config-for-unit-test	0.15.0		5d8bf5669a21aae29a61a3eeef83dcae58f671cf
ch.racic.testing	cm-config-for-unit-test	0.16.0		7b7a7c245d017ac46bd00c16c2c7d293e178a9cf
ch.rhj.junit	rhj-junit-common	0.1.0		100d5ade7ecd88ddb903a42950962f560020231f
ch.rhj.junit	rhj-junit-common	0.2.1		6a044ab841536269f6370f8412a7a16c0e89fe6f
com.akkaserverless	akkaserverless-jvm-sdk	0.10.0		52e903224672139343a8a8703b150a0292fa3a81
com.akkaserverless	akkaserverless-jvm-sdk	0.10.1		056944a34462316bce95aedb5d86c3344680ffab
com.akkaserverless	akkaserverless-jvm-sdk	0.10.2		c38b36467e9ce0f15917eb695fbe7671a6bb03bf
com.akkaserverless	akkaserverless-jvm-sdk	0.10.3		6e05fad56897759c7f6c55e22b990c502ce03e60
com.akkaserverless	akkaserverless-jvm-sdk	0.10.4		90a192c236c99879c8af03191e08f666bc79dbd5
com.akkaserverless	akkaserverless-jvm-sdk	0.10.5		61031795e2b5d4484d0549570f5d0dd93f6a0b2a
com.akkaserverless	akkaserverless-jvm-sdk	0.10.6		a4f7f62dbc5ba5975948d74add2fe5ce3ec49ce8
com.akkaserverless	akkaserverless-jvm-sdk	0.7.1		93f4799d46055bca899f3c9224070ea61e433f82
com.akkaserverless	akkaserverless-jvm-sdk	0.7.2		9a80eee428df5570b323ffc6d3427a3b3414b288
com.akkaserverless	akkaserverless-jvm-sdk	0.8.0		fb43e958b70ac45b1517676a2d3f10cf16707524
com.akkaserverless	akkaserverless-jvm-sdk	0.9.0		114eafa5e9e45445a90afc9b6a3b6b922ada1910
com.alecstrong.sql.psi	test-fixtures	0.4.0		b7d4db96ef145dd9ee2ba1267d78b5fd12c87d44
com.alecstrong.sql.psi	test-fixtures	0.4.1		fa1089a825c790bbb1411ba8710fc4943a8cb342
com.alecstrong.sql.psi	test-fixtures	0.4.2		cc6470f7cff9f5701d74a3e0bb812e629586b0ee
com.alecstrong.sql.psi	test-fixtures	0.4.3		8edec19dcb90cdcc5e2d6ecc53ba384df8576017
com.alecstrong.sql.psi	test-fixtures	0.4.4		262bb1e7ed8125e345358cdbc1a9b24401b7edf3
com.alecstrong.sql.psi	test-fixtures	0.4.5		fd4623a20f96aa4ed81a089ff2c0aa683a1545d0
com.alecstrong.sql.psi	test-fixtures	0.4.6		c8bd55b933e10ce6f2c6e15991417997ddedfba9
com.alecstrong.sql.psi	test-fixtures	0.4.7		d01c292eb1d4b4df5439c27d79d7e6fae953d288
com.att.m2x	android	2.1.0		N/A
com.att.m2x	android	2.1.1		N/A
com.att.m2x	android	3.0.0		N/A
com.att.m2x	android	4.0.0		N/A
com.att.m2x	android	5.0.0		N/A
com.att.m2x	android	5.1.0		N/A
com.bartoszlipinski	recyclerviewheader	1.2.1		N/A
com.boozallen.aissemble	aissemble-root	1.10.0		N/A
com.boozallen.aissemble	aissemble-root	1.10.0-rc2		N/A
com.boozallen.aissemble	aissemble-root	1.11.1		N/A
com.boozallen.aissemble	aissemble-root	1.12.1		N/A
com.boozallen.aissemble	aissemble-root	1.12.1-rc2		N/A
com.boozallen.aissemble	aissemble-root	1.7.0		N/A
com.boozallen.aissemble	aissemble-root	1.7.0-rc2		N/A
com.boozallen.aissemble	aissemble-root	1.7.0-rc3		N/A
com.boozallen.aissemble	aissemble-root	1.7.0-rc4		N/A
com.boozallen.aissemble	aissemble-root	1.8.0		N/A
com.boozallen.aissemble	aissemble-root	1.8.0-rc6		N/A
com.boozallen.aissemble	aissemble-root	1.8.0-rc8		N/A
com.boozallen.aissemble	aissemble-root	1.8.1		N/A
