au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-standalone	2.0		N/A
be.atbash.ee.security.octopus	bom	0.6		N/A
cloud.keveri.dev	keveri-gateway-plugin-response	1.0		1ebe831c6451acf07672c10fca9abbd8f9dec4f8
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.1.1		N/A
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.1.1	metadata	914260727b8c2a4d2543ef9ded37f6d248bc781a
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.2.0		N/A
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.2.0	metadata	1a9cd1d207e3bfef4eafa833bf4f33f2ab953916
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.2.2		N/A
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.2.2	metadata	496473639399cfe945ac9bb35fcf8929e1849faf
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.2.4		N/A
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.2.4	metadata	bc35a10668cf454a788a45dce7ca208a44eab64c
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.2.5		N/A
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.2.5	metadata	35c5f842630de10f4e6935c2d7b09dd9a6cadab1
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.2.6		N/A
cloud.oneentry	sdk-locales-watchossimulatorarm64	1.2.6	metadata	556ee6789a84f05248825d7836c47349abb8a085
cn.flyelf.cache	layer-cache-starter	1.0.0		cd5bb54d1c584164b7289fb811cf137a89b2ff24
cn.flyelf.cache	layer-cache-starter	2.0.1		13b2ba732e4fab5d1738edcbd93fecf0036242d0
com.35liuqi	vanas-framework-core	1.0.0.0304001-Preview		d1168f3f97fed30b6e234d3de49dd29b56bd2ae8
com.35liuqi	vanas-framework-core	1.0.0.4-Preview		50ee76a6aca33938d6719f8cf7cd79c73b8a3b4c
com.35liuqi	vanas-framework-core	1.0.1-Preview		6bf3a678548a67a42094b38e0c235738e08d018f
com.35liuqi	vanas-framework-core	1.0.1.1-Preview		e1795368ddd76416cd03416ec61b10b37a3e4337
com.35liuqi	vanas-framework-core	1.0.1.2-Preview		239b4a451c9c8d2ccbccefe35ddcad926a3b2d53
com.35liuqi	vanas-framework-core	1.0.1.3-Preview		43c9e16d5541b257fdbdd7b1f0867e12882a8b02
com.35liuqi	vanas-framework-core	1.0.1.4-Preview		b2dcd12a328a41f3c40a3457f73e766a9067697f
com.35liuqi	vanas-framework-core	1.0.1.5-Preview		bf4490962aa02282c6fab86f8663cc6dd2bee039
com.35liuqi	vanas-framework-core	1.0_res_210113		0abfe8989a9bc7df8e4e90f235ea28183aede372
com.aallam.openai	openai-client-watchossimulatorarm64	2.1.3		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	2.1.3	metadata	ba5b9d6acf4529e1f9d9babc7f7b4549220fc484
com.aallam.openai	openai-client-watchossimulatorarm64	3.0.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.0.0	metadata	6bb2aa205c77f1f80947a163b8b64f1f8587a32f
com.aallam.openai	openai-client-watchossimulatorarm64	3.0.0-beta01		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.0.0-beta01	metadata	5327ffd812463c8c1f8aef1c29d89dbfb86e1b51
com.aallam.openai	openai-client-watchossimulatorarm64	3.0.0-beta02		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.0.0-beta02	metadata	6bb2aa205c77f1f80947a163b8b64f1f8587a32f
com.aallam.openai	openai-client-watchossimulatorarm64	3.1.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.1.0	metadata	6bb2aa205c77f1f80947a163b8b64f1f8587a32f
com.aallam.openai	openai-client-watchossimulatorarm64	3.1.1		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.1.1	metadata	6bb2aa205c77f1f80947a163b8b64f1f8587a32f
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.0	metadata	6bb2aa205c77f1f80947a163b8b64f1f8587a32f
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.1		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.1	metadata	95a685541ee3976cff2e74c03c01af0bba503353
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.2		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.2	metadata	995429d4443893672bae0c8a632fbae78fd6dfcd
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.3		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.3	metadata	995429d4443893672bae0c8a632fbae78fd6dfcd
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.4		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.4	metadata	41a0f654205801588cf568c2700eb72a5a897ebc
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.5		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.2.5	metadata	25d6b504433cf10de9f0d9dee6c66ed5d1036635
com.aallam.openai	openai-client-watchossimulatorarm64	3.3.0		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.3.0	metadata	32c02b0140adccc7081b6c1b11a98431eb67c58e
com.aallam.openai	openai-client-watchossimulatorarm64	3.3.1		N/A
com.aallam.openai	openai-client-watchossimulatorarm64	3.3.1	metadata	c938c6a15691153179092252f55f75677f516f8a
com.aallam.openai	openai-client-watchossimulatorarm64	3.3.2		N/A
