city.smartb.fixers.gradle.d2	city.smartb.fixers.gradle.d2	0.2.0		N/A
cn.ipokerface	spring-cloud-config-server	1.0.0		8b073b097ae7fcb2cfed8a3291615ad2bd9dceef
cn.monitor4all	log-record-starter	1.0.1		0bc66aa9d3f840ed32e313988036a29d2cd8d570
cn.monitor4all	log-record-starter	1.0.3		5b2b1bf0bee4f8c1d6b9651f03e72b3fed527dfa
cn.monitor4all	log-record-starter	1.0.4		2552189a75aadab5c3c136d0e0ba54312d37df34
cn.monitor4all	log-record-starter	1.0.4.1		e5aa6b16acb043e2c0dace8f57673f0e773189cc
cn.monitor4all	log-record-starter	1.0.5		478aed3b93dc022377ca7152fa2fb4f69154ef24
cn.monitor4all	log-record-starter	1.0.6		fadc8760dd875deb2ab6a8d74c11f37850ec1122
cn.monitor4all	log-record-starter	1.0.7		5fdea8301ef11fd795e5d04a1ed75490b4919db3
cn.monitor4all	log-record-starter	1.1.0		55d2af11fc09d9604c37e2b15ea3328f3dda93d6
cn.monitor4all	log-record-starter	1.1.4		b7857e1324f5c6a16c0fd1ebcafda2f068505fac
cn.monitor4all	log-record-starter	1.1.5		f1438d58f6eb42d7be35b9cc707e663d5c208290
cn.monitor4all	log-record-starter	1.2.0		ee1cb3625c25876a660686e46a80597e61bfa64b
cn.monitor4all	log-record-starter	1.2.1		5f23aa210c3b4ec297dc28ee60988f71bd618aab
cn.monitor4all	log-record-starter	1.2.2		c76ca1b8c5575d8f63d87e8f3247c41a3cfd6dcf
cn.monitor4all	log-record-starter	1.2.3		33db7e6f005db881432b83cae02faaf10ca69ac4
cn.monitor4all	log-record-starter	1.2.4		8597cf6344536b6cfcc986648b23550f33207086
cn.monitor4all	log-record-starter	1.3.1		82e6e63941e3615279b05d62e7505a522537f672
cn.monitor4all	log-record-starter	1.4.0		eb7d45b98bedc3ff1d1a12a8a373129798408cfe
cn.monitor4all	log-record-starter	1.4.1		a4717119a18debc3fc56eeef25566d65dab18f31
cn.monitor4all	log-record-starter	1.4.2		adb95fb1124cf3bd5e1d153481ad3c1966cf3a03
