be.yildiz-games	engine-client-addon-parser-xml	2.1.0		363622bc711fc44bf99cea02803cf6aa683ae1a2
br.com.c8tech.releng	fpom-itests-paxexam	0.7.0		N/A
br.com.c8tech.releng	fpom-itests-paxexam	2.0		N/A
br.com.c8tech.releng	fpom-itests-paxexam	2.1		N/A
br.com.c8tech.releng	fpom-itests-paxexam	3.0		N/A
br.com.c8tech.releng	fpom-itests-paxexam	4.0		N/A
br.com.c8tech.releng	fpom-itests-paxexam	4.6		N/A
br.com.c8tech.releng	fpom-itests-paxexam	5.2		N/A
br.com.c8tech.releng	fpom-itests-paxexam	5.4		N/A
br.com.c8tech.releng	fpom-itests-paxexam	5.6		N/A
br.com.c8tech.releng	fpom-itests-paxexam	5.8		N/A
br.com.c8tech.releng	fpom-itests-paxexam	6.0		N/A
br.com.c8tech.releng	fpom-itests-paxexam	7.0		N/A
br.com.c8tech.releng	fpom-itests-paxexam	8.0		N/A
br.com.objectos	duplicata	0.1.0		03801158facd73db0a60de7ca78315f08f21b416
com.amysta.jclouds.common	openstack-common	2.0.0		dd38168ee0b49ba758bd8a25a4df6180fbcbe0ae
com.amysta.jclouds.common	openstack-common	2.0.1		59ecdace0165efb14b8aee9b8ed4df18204d0787
com.attafitamim.mtproto	buffer-js	3.0.0-pre-alpha05		N/A
com.attafitamim.mtproto	buffer-js	3.0.1-alpha01		N/A
com.attafitamim.mtproto	buffer-js	3.0.1-alpha02		N/A
com.attafitamim.mtproto	buffer-js	3.0.2-alpha01		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha01		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha02		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha04		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha05		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha06		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha07		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha08		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha09		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha10		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha11		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha12		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha13		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha14		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha15		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha16		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha17		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha18		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-alpha19		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-kotlin19-alpha10		N/A
com.attafitamim.mtproto	buffer-js	3.0.3-kotlin19-alpha11		N/A
com.azure.resourcemanager	azure-resourcemanager-hanaonazure	1.0.0-beta.1		ef26566cfd373aaa7c58c86d6770c90fbcc49ceb
com.azure.resourcemanager	azure-resourcemanager-hanaonazure	1.0.0-beta.2		6a994820f9bebda4157355708c5bd845b5833569
com.azure.resourcemanager	azure-resourcemanager-hanaonazure	1.0.0-beta.3		3408f702819cb099d31c0b4cf830161fa5f1751c
com.cognitect.aws	cleanrooms	835.2.1307.0		e94010a8213f7c71333c3a4dd182e9a47b14a33f
com.cognitect.aws	cleanrooms	845.2.1345.0		99221c1caa18d84d0b4670aa767fcfe8c8f73a0a
com.cognitect.aws	cleanrooms	847.2.1365.0		32f1dc5fa29dbc5bd3376e87fcaa2b98aa2dda0d
com.cognitect.aws	cleanrooms	848.2.1413.0		e55f0b59b70407282350eb415a6b24139c86dc71
com.cognitect.aws	cleanrooms	857.2.1574.0		5e40ba5581d636c56438c84e1367f61bf7a45bea
com.cognitect.aws	cleanrooms	868.2.1599.0		fbd4d39d321e0cf884f283452cbb2024a2bcbe7b
com.cognitect.aws	cleanrooms	869.2.1687.0		28cb7ffd19eab42018157ec537258f836963c4fa
com.cognitect.aws	cleanrooms	871.2.29.35		9a9129fe663c6a527e8ed602c1190a49148ca73d
com.cognitect.aws	cleanrooms	871.2.31.23		dcfbae3f3bff4890b39b6124b79e3d40857966e4
com.evervault.sdk	evervault-inputs	1.0		N/A
com.evervault.sdk	evervault-inputs	1.1		N/A
com.evervault.sdk	evervault-inputs	1.10.0		N/A
com.evervault.sdk	evervault-inputs	1.10.1		N/A
com.evervault.sdk	evervault-inputs	1.11.0		N/A
com.evervault.sdk	evervault-inputs	1.12.0		N/A
com.evervault.sdk	evervault-inputs	1.12.1		N/A
com.evervault.sdk	evervault-inputs	1.12.3		N/A
com.evervault.sdk	evervault-inputs	1.13.0		N/A
com.evervault.sdk	evervault-inputs	1.13.1		N/A
com.evervault.sdk	evervault-inputs	1.2		N/A
com.evervault.sdk	evervault-inputs	1.3		N/A
com.evervault.sdk	evervault-inputs	1.4		N/A
com.evervault.sdk	evervault-inputs	1.5		N/A
com.evervault.sdk	evervault-inputs	1.6.0		N/A
com.evervault.sdk	evervault-inputs	1.6.1		N/A
com.evervault.sdk	evervault-inputs	1.6.2		N/A
com.evervault.sdk	evervault-inputs	1.7.0		N/A
com.evervault.sdk	evervault-inputs	1.8.0		N/A
com.evervault.sdk	evervault-inputs	1.9.0		N/A
com.foreach.across.modules	spring-security-acl-module	1.0.0.RELEASE		53324a8261820b413a593fc73e41b0f867887269
com.foreach.across.modules	spring-security-acl-module	1.0.1.RELEASE		da0623fa77c99b04247a47882324310a927cd2b4
