au.csiro	elk-distribution-resources	0.5.0		a120d6cea84a3bdcf398c32bb97168a9de000322
br.com.retta.framework-android	framework-android	1.0.0		N/A
br.com.retta.framework-android	framework-android	1.0.1		N/A
br.com.retta.framework-android	framework-android	1.0.2		N/A
br.com.retta.framework-android	framework-android	1.0.3		N/A
br.com.retta.framework-android	framework-android	1.0.4		N/A
br.com.retta.framework-android	framework-android	1.0.5		N/A
br.com.retta.framework-android	framework-android	1.1.0		N/A
br.com.retta.framework-android	framework-android	1.1.1		N/A
br.com.retta.framework-android	framework-android	1.1.10		N/A
br.com.retta.framework-android	framework-android	1.1.2		N/A
br.com.retta.framework-android	framework-android	1.1.3		N/A
br.com.retta.framework-android	framework-android	1.1.4		N/A
br.com.retta.framework-android	framework-android	1.1.5		N/A
br.com.retta.framework-android	framework-android	1.1.6		N/A
br.com.retta.framework-android	framework-android	1.1.7		N/A
br.com.retta.framework-android	framework-android	1.1.8		N/A
br.com.retta.framework-android	framework-android	1.1.9		N/A
cn.jiguang.sdk.ad.third	jiguang	5.0.4		N/A
cn.jiguang.sdk.ad.third	jiguang	5.0.6		N/A
com.a9ski.utils	commons	1.0		62b2c2023fcfe7bd300eabebe8173ea4a5de464b
com.adeo	kviewmodel-compose-wasm-js	0.18		N/A
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc-jakarta	1.6.10		8eda5d8f43697906d3242a7e036d97920f68ae5e
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc-jakarta	1.6.11		3c3b050fb82305d85ac78078f3884b57ed22cf9a
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc-jakarta	1.6.12		c2bbe00b726814d048b4764195671245872091f2
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc-jakarta	1.6.13		a43843583d38075f377da6e59e9d229b25ef6335
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc-jakarta	1.6.14		feb1e2366f6b6d11ed1ca2d6478535c26a5c6935
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc-jakarta	1.6.15		66f23afd9df785ddf9ae89a717659cce42841bee
com.blazebit	blaze-persistence-integration-spring-hateoas-webmvc-jakarta	1.6.9		0a465b9c76095c712e42156362304a40380c321a
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.10.0		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.10.0-rc2		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.11.1		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.12.1		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.12.1-rc2		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.7.0		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.7.0-rc2		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.7.0-rc3		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.7.0-rc4		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.8.0		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.8.0-rc6		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.8.0-rc8		N/A
com.boozallen.aissemble	aissemble-foundation-encryption-policy-python	1.8.1		N/A
