br.com.zup.beagle	beagle-yoga-layout	1.19.0		N/A
ch.exense.step	script-dev-selenium-2	3.10.0		N/A
ch.exense.step	script-dev-selenium-2	3.10.1		N/A
ch.exense.step	script-dev-selenium-2	3.10.2		N/A
ch.exense.step	script-dev-selenium-2	3.10.3		N/A
ch.exense.step	script-dev-selenium-2	3.6.1		N/A
ch.exense.step	script-dev-selenium-2	3.6.3		N/A
ch.exense.step	script-dev-selenium-2	3.6.4		N/A
ch.exense.step	script-dev-selenium-2	3.7.0		N/A
ch.exense.step	script-dev-selenium-2	3.7.1		N/A
ch.exense.step	script-dev-selenium-2	3.7.2		N/A
ch.exense.step	script-dev-selenium-2	3.7.3		N/A
ch.exense.step	script-dev-selenium-2	3.8.0		N/A
ch.exense.step	script-dev-selenium-2	3.8.1		N/A
ch.exense.step	script-dev-selenium-2	3.8.2		N/A
ch.exense.step	script-dev-selenium-2	3.9.0		N/A
ch.exense.step	script-dev-selenium-2	3.9.1		N/A
ch.exense.step	script-dev-selenium-2	3.9.2		N/A
ch.exense.step	script-dev-selenium-2	3.9.3		N/A
ch.exense.step	script-dev-selenium-2	3.9.4		N/A
ch.exense.step	script-dev-selenium-2	3.9.5		N/A
cloud.commandframework	cloud-kotlin-extensions	1.3.0		a4dbc44c6b0f4c1b00cda6f2b41cbda7c2a33579
cloud.commandframework	cloud-kotlin-extensions	1.4.0		057da290461b693dd7f747cb2af6890994fdf94f
cloud.commandframework	cloud-kotlin-extensions	1.5.0		a5b25038724085e6827f6d0fe4c2251d65873cbe
cloud.commandframework	cloud-kotlin-extensions	1.6.0		65344fb18bfd3a3604ac01588d6c33b88442859c
cloud.commandframework	cloud-kotlin-extensions	1.6.1		65344fb18bfd3a3604ac01588d6c33b88442859c
cloud.commandframework	cloud-kotlin-extensions	1.6.2		65344fb18bfd3a3604ac01588d6c33b88442859c
cloud.commandframework	cloud-kotlin-extensions	1.7.0		65746976977c1054a1d269aa4dbfad0861d0f1ac
cloud.commandframework	cloud-kotlin-extensions	1.7.1		65746976977c1054a1d269aa4dbfad0861d0f1ac
cloud.commandframework	cloud-kotlin-extensions	1.8.0		1d8992cefbc39a605d2752d86ceaa512d0421ec6
cloud.commandframework	cloud-kotlin-extensions	1.8.1		1d8992cefbc39a605d2752d86ceaa512d0421ec6
cloud.commandframework	cloud-kotlin-extensions	1.8.2		1d8992cefbc39a605d2752d86ceaa512d0421ec6
cloud.commandframework	cloud-kotlin-extensions	1.8.3		1d8992cefbc39a605d2752d86ceaa512d0421ec6
cloud.commandframework	cloud-kotlin-extensions	1.8.4		1d8992cefbc39a605d2752d86ceaa512d0421ec6
cn.amorou.rest.crypto	rest-crypto-spring-boot-starter	1.0.0		b7b8b72599c8c1bb74fe655a71c229dd15f69636
cn.bootx.platform	common-exception-handler	1.2.3		12dacb80ec52af32493bf732aa11b07c25a61ea0
cn.bootx.platform	common-exception-handler	1.3.0		aace7b121ba11bd911a28da38ee498b6bfb4b321
cn.bootx.platform	common-exception-handler	1.3.1		ac16316c06b231080c8834922eb4833067e94afa
cn.bootx.platform	common-exception-handler	1.3.2		1ef1e5013d91fef4b737e27dc8821509123d895a
cn.bootx.platform	common-exception-handler	1.3.3		e187979b2d23af9349356eb15074169d9363eea1
cn.bootx.platform	common-exception-handler	1.3.4		149b0de696aa3e56e0111101122f3bf6f9d9700a
cn.bootx.platform	common-exception-handler	1.3.5		ca7d39c90f1335360e4012c9cfa91a852ec97d47
cn.bootx.platform	common-exception-handler	1.3.6		62d1242f0056f72d4be6bdeb33fa2bdaa2bf99e5
cn.bootx.platform	common-exception-handler	1.3.6.1		355e41969efad5e9b5a70e5e7d0336d2a41ac5ff
cn.bootx.platform	common-exception-handler	1.3.6.2		4a142dc84fa0f8ebd6ed336d732b6c89522c2adf
cn.felord	payment-spring-boot-starter	1.0.0.RELEASE		0920ad7c734555f29d5a3a6e72871c97fbfdbee8
cn.felord	payment-spring-boot-starter	1.0.1.RELEASE		09830efe8756ecc54f10d4155ff422aa5ec51d15
cn.felord	payment-spring-boot-starter	1.0.10.RELEASE		61992c757499ffa5c47b90cdd45b31e88d062962
cn.felord	payment-spring-boot-starter	1.0.11.RELEASE		6b5c0d04ee89447eb228536be4692fb6ec70e2b7
cn.felord	payment-spring-boot-starter	1.0.12.RELEASE		dc46861bc8a52d8c732604d3adbf069c2b71232c
cn.felord	payment-spring-boot-starter	1.0.13.RELEASE		2858546523fb6e54b915d38bcb91479eaeb67ba5
cn.felord	payment-spring-boot-starter	1.0.14.RELEASE		9463f4f7608380caa928cdec409d7e54d25254eb
cn.felord	payment-spring-boot-starter	1.0.15.RELEASE		5cfbffccaf2259a4048cbb64e10f4246f6d0a987
cn.felord	payment-spring-boot-starter	1.0.16.RELEASE		09e60af1feae8a6d74cc583d8d6864c4041b0c95
cn.felord	payment-spring-boot-starter	1.0.17.RELEASE		c690f59d7b67de120f111bf12914a4f4e89956eb
cn.felord	payment-spring-boot-starter	1.0.18.RELEASE		5684e7f92fa51fc12b5dd9bc1c3944202c071d0c
cn.felord	payment-spring-boot-starter	1.0.19.RELEASE		52516badd9f464973d8b1d8ba891e6c315252c15
cn.felord	payment-spring-boot-starter	1.0.2.RELEASE		670fe70390a015a57168fa0142de1ae01039a38e
cn.felord	payment-spring-boot-starter	1.0.20.RELEASE		61c8601c501e5c983a37c0cba9bd8493e53e6cd3
cn.felord	payment-spring-boot-starter	1.0.3.RELEASE		e132b1a69b778e019e730108a573b731260df36b
cn.felord	payment-spring-boot-starter	1.0.4.RELEASE		7f2f5b73157d21e360a010171a0de9147d384397
cn.felord	payment-spring-boot-starter	1.0.5.RELEASE		87792641311398147955e06a1faa5972e769369a
cn.felord	payment-spring-boot-starter	1.0.6.RELEASE		ca1770cd34e8e55ed1ded3a46eedaf6d3ee95443
cn.felord	payment-spring-boot-starter	1.0.7.RELEASE		70443042492b23bed5145a62ccfec4eef2f0ba8f
cn.felord	payment-spring-boot-starter	1.0.8.RELEASE		0cdd6083c9df4479c0f273492ab34f0c17964490
cn.felord	payment-spring-boot-starter	1.0.9.RELEASE		b4b30cf0caa4125999bfd0d480b8f44a8751df1b
co.cryptr	cryptr-kotlin	0.0.2		450e21c02ee178873ec699a9146684f6109eb34c
co.cryptr	cryptr-kotlin	0.1.0		ca27baf0fa5db31a8c547ff5644db22184c5b3ec
co.cryptr	cryptr-kotlin	0.1.1		6bf6940cfaa8a021361e086aeb1427bd94c72893
co.cryptr	cryptr-kotlin	0.1.2		64a3b370f1a9cfcbaa77ba8c11eb95589c741d9e
co.cryptr	cryptr-kotlin	0.1.3		aaeedd5bc63d406ae5d3f7d2e34c775edbad9ecd
co.cryptr	cryptr-kotlin	1.0.0		7a202d59fee3097471b259fbd9655cc51d10f004
com.abiquo	commons-amqp	2.0.0		ad6702cf04f45eaf8739cec42a567bfe7b16fef3
com.abiquo	commons-amqp	3.0.0		ab074205e6ee8b24ac9c7be726a2f448929bdc53
com.abiquo	commons-amqp	3.1.0		7d1770aee35e2f27e84c24d3b279e5cceeba16cd
com.abiquo	commons-amqp	3.2.0		4b09a7102e5dabf98e11d0b98cc56e2e0898668a
com.aliyun.lindorm	lindorm-sql-datasource-springboot-starter	2.2.1.4		3002434efd9330443e42716b16cc6a148dd0a95a
com.armanbilge	http4s-server_sjs1_2.12	1.0-148-8da8898		22514349fa3bae13eb7bcaa23d300533b9f18df4
com.armanbilge	http4s-server_sjs1_2.12	1.0-377-020cf9e		035f999fbbc307b58b479c99b5b4c9c3227b65c8
com.coearners.android	AbacusView	1.0.0		N/A
com.coearners.android	AbacusView	1.0.0-beta01		N/A
com.coearners.android	AbacusView	1.0.0-beta02		N/A
com.coearners.android	AbacusView	1.0.0-rc01		N/A
com.consol.citrus	citrus-simulator-sample-ws	1.0.3		30e0f4ffa5fef245cf89ae9b4926129204359e60
com.consol.citrus	citrus-simulator-sample-ws	1.0.3	executable	47ccd3a35f5a131d42c67d98c7b07093f4d334ed
com.cqweh.cloud	com.cqweh.cloud.gradle.plugin	0.0.1		N/A
com.cqweh.cloud	com.cqweh.cloud.gradle.plugin	0.0.2		N/A
com.cqweh.cloud	com.cqweh.cloud.gradle.plugin	0.0.3		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	0.0.3		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	0.0.3	metadata	5857bdbddac546d4e9fb624cbcbe5ba0b532788e
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.26.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.26.0	metadata	33343397d85f7da274b92e5c08adc3cee885601a
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.26.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.26.1	metadata	c333e3f7b87e1c928848365033db51a48ba38327
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.27.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.27.0	metadata	25191aa758e40a682aff2d342de884c0aa572544
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.27.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.27.1	metadata	50e6c1de37ec8f25d611b76c238ec898ee5cad9b
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.27.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.27.2	metadata	37400f7e40dae6a9650d39f891cbff7c1f847ff0
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.28.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.28.0	metadata	7918b9a91f23f0307f039ada47a8029a6753eabb
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.29.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.29.0	metadata	a10289fde0fb475ec1eb4ac01a903a74d91b72b5
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.29.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.29.1	metadata	1ce2c0ee2855c4aa81e3a04223a13bdfcd7df475
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.29.2		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.29.2	metadata	72b44908662e9e65f2a2ea560d59c87f7862c180
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.30.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.30.0	metadata	bb32ce2704b2c803ec933df7687eea38cb59b2d7
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.30.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.30.1	metadata	e4478fd126a70aa4b758b128a2efa1c1aee17649
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.31.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.31.0	metadata	57e5dd1932fd0e5bbc1a90afce2eba83d10162c0
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.31.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-common-api-iossimulatorarm64	1.31.1	metadata	9c334daea0afcb93e96f124510805ba55e4b5e9c
com.github.fanzezhen.common	common-security	0.0.1		c0f415d30e0558875c5d203cb08c7f7543900aec
com.github.fanzezhen.common	common-security	0.0.2		00f8302e2eb2eded3f3eb7809adacb587c0adc14
com.github.fanzezhen.common	common-security	0.0.2.1		36bb51e5316cb7bdaf5dfaaf346a14b2bb31351d
com.github.fanzezhen.common	common-security	0.0.2.2		e2fdc2904c8230d2a17e203268a91d92ca98513b
com.github.fanzezhen.common	common-security	0.0.2.3		6e5356ace98da1fe119903987cd52a9020b1f219
com.github.fanzezhen.common	common-security	0.0.2.4		003b7607b4cc3414fda023dc411184f0f5cad561
com.github.fanzezhen.common	common-security	0.0.2.5		db2ab0f46a9570517fc70fd8cc242bf0ea1869e5
com.github.fanzezhen.common	common-security	0.0.2.6		b836d1ae1852c485201044ab476423afc8c10e27
com.github.fanzezhen.common	common-security	0.0.2.7		69da320dabc93565dbdb07ca1c5928adac618cc0
com.github.fanzezhen.common	common-security	0.0.2.8		758610578db7a96c76dc4a5993e074ecd0fbcffc
com.github.fanzezhen.common	common-security	0.0.2.9		2949cc714b3c5e239f210664b7124939d5d718b6
com.github.fanzezhen.common	common-security	0.0.3.0		3921742055cd1b2c8b644394b1a73ac88efc1ab7
com.github.fanzezhen.common	common-security	0.0.3.1		7793293cdaf8ffe4e68af0b6a06997b68b14ed30
com.github.fanzezhen.common	common-security	0.0.3.2		dcf14c8e98631d4a19bd096b988739ef49cf4a4b
com.github.fanzezhen.common	common-security	0.0.3.3		16e9e9426e86154d8765fa451b9f4ba6db86c8b1
com.github.fanzezhen.common	common-security	0.0.3.4		34278548de0f1f0b14f68914724cb3db5715ef53
com.github.fanzezhen.common	common-security	0.0.3.5		fec72120cbc3d10048187c698cc07f46da29fa98
com.github.fanzezhen.common	common-security	2.0.1		3b42cb89a74243a0271ac21691423fd51e182b01
com.github.fanzezhen.common	common-security	2.0.2		83b7419c3fd4e24138b704852d93f942da322d9b
com.github.fanzezhen.common	common-security	2.0.3		840c1327d7f2e586eb1ec216d70389732716ae4d
com.github.fanzezhen.common	common-security	2.0.4		9d489339032087dff0694cf2999833fdbfe078f1
com.github.fanzezhen.common	common-security	2.0.5		54140d957e339aff4b68f16b38f84a1253cc9025
com.github.fanzezhen.common	common-security	2.0.6		7e9de4302fadfee58a8c9278cd7173c26b02983c
com.github.fanzezhen.common	common-security	2.0.7		af3dd15f42494ff4cc4fcf137cc8dc0aa6f9c7ac
com.github.fanzezhen.common	common-security	2.1.0		17dfe32bf12127163c617a1eaf63d90c121b4cd0
com.github.fanzezhen.common	common-security	2.1.1		65f302c921093d93bae511b06143d4cd9fc5a60c
com.github.fanzezhen.common	common-security	2.1.2		22b620c40a1037cda8d7223fed2ed31c1d65c3a8
com.github.fanzezhen.common	common-security	2.1.3		315b1273dbb42d2572f323c62e9313cc550c0a1d
com.github.fanzezhen.common	common-security	3.0.0		98b2b9a6d05fd4d666c8c88d0c4b1a8a016dc7f6
com.github.fanzezhen.common	common-security	3.0.1-2023.10.13		60e4f114cb6f5cbaa093e1eb840ef7bb3f7c2d70
com.github.japgolly.univeq	univeq-cats_sjs1_3	1.4.0		3b4861d1c1632f27acdef0f2a4e745d66484252c
com.github.japgolly.univeq	univeq-cats_sjs1_3	1.5.0		8a9e3010200b09435508023d614da690f531bde2
com.github.japgolly.univeq	univeq-cats_sjs1_3	1.6.0		3107dd4e1f19c0a16eb5697b53f47dd8f18ef98e
com.github.japgolly.univeq	univeq-cats_sjs1_3	2.0.0		85e5fd3e8923844b7101054beceaf8316fe20fd0
com.github.japgolly.univeq	univeq-cats_sjs1_3	2.0.0-RC1		78ffc85525a69b3ca2eeba9804eae076f1366354
com.github.japgolly.univeq	univeq-cats_sjs1_3	2.0.1		76ce69de6abfcdb4807c5e73ab824d7f14e01423
com.github.javen205	IJPay-UnionPay	2.2.0		0985f84d93f25dbd56cfaac0550e2311f32bbcf5
com.github.javen205	IJPay-UnionPay	2.2.1		897bc85fb8060133839c4bbcd9e7068c47ca7293
com.github.javen205	IJPay-UnionPay	2.3.0		d08df6ea5ea09f3dffc054d5494e9de71165740d
com.github.javen205	IJPay-UnionPay	2.3.1		a7eaf334b1778f0b6829aec61ff83f554776a9b6
com.github.javen205	IJPay-UnionPay	2.5.0		19d782a22e7dfe527e250ecf17fa4e35a5d58a9f
com.github.javen205	IJPay-UnionPay	2.5.1		f171df731cbb0fbe833df36237c1382b24f76c8f
com.github.javen205	IJPay-UnionPay	2.5.2		1ad37f5393c715a951a08afc6890f83b5ed679be
com.github.javen205	IJPay-UnionPay	2.6.0		194929ee8286eb6661263b2a0279352d548a614b
com.github.javen205	IJPay-UnionPay	2.6.1		f0547b5ecc941378d8ec2a26977e040aa080ea09
com.github.javen205	IJPay-UnionPay	2.6.2		dea647e0f357f6ca97c034ac16b54c4b3a25300a
com.github.javen205	IJPay-UnionPay	2.6.3		2fec7ebe66badfef0da798d036f331e9a8420e2c
com.github.javen205	IJPay-UnionPay	2.6.4		f7202d3590c10c6a69285cc5426ce9f80952de85
com.github.javen205	IJPay-UnionPay	2.7		6b166fc0e6ee0613d30e31ac16aca61f47696d3c
com.github.javen205	IJPay-UnionPay	2.7.0		2d44a671036c837995b977e008a7a89eae314040
com.github.javen205	IJPay-UnionPay	2.7.1		c8249a4cb18640d2dd165d4ce7846d599a046535
com.github.javen205	IJPay-UnionPay	2.7.2		7a0955cefde140de2effd7cdf53efd12f120d502
com.github.javen205	IJPay-UnionPay	2.7.3		db787aa193318d6dcd146228ec49576d93f86c3d
com.github.javen205	IJPay-UnionPay	2.7.4		f866c15215e3ee84d5e824ad99e60319122abd95
com.github.javen205	IJPay-UnionPay	2.7.5		2a6652bdf33b15a598c226bd03ae4cd1443381c3
com.github.javen205	IJPay-UnionPay	2.7.6		d8819b5265f18a32e4f2c00b084ea06b4e2d8326
com.github.javen205	IJPay-UnionPay	2.7.7		c542e06a7a1dedbd190ceb41eca717fc1deffe9a
com.github.javen205	IJPay-UnionPay	2.7.8		f7348403ac54f1e4e65dd58752d6b84a1d74dc54
com.github.javen205	IJPay-UnionPay	2.7.9		ea45ceeffb975ec8911af9acb8c2ed2641ded0a9
