ant	optional	1.5.4		2675db04b6c07b93e4b7f620131acef398015cf2
ch.sbb.scion	rcp-workbench	0.0.1		d11335518b76a484c32a6ed3fb68131de814806d
ch.sbb.scion	rcp-workbench	0.0.2		117aec57aeb475ed4eae30fbea6ae105b46b671a
ch.sbb.scion	rcp-workbench	0.0.3		e976da6baa9ac5a330ecb832007ed0edbd1407f3
ch.sbb.scion	rcp-workbench	0.0.4		6aa5ec7eaf0cf235be5b432e37f727373f30387d
ch.sbb.scion	rcp-workbench	0.0.5		e30deb8f4351977ff1d7baf8eeaee4f219349186
ch.sbb.scion	rcp-workbench	0.0.6		09ab39ced19b1d860783d2811a6a5fc255251f86
ch.sbb.scion	rcp-workbench	0.0.7		c0809e7fd41d86bf3b1f129fadb57df6ec6db731
ch.sbb.scion	rcp-workbench	0.0.8		d81a976d3694ff0255cad0f18a9efd7d9c5c269b
com.amazonaws	aws-java-sdk-cloudsearch	1.10.0		4f05fc8683fdc88433ed557229ed02c07a2a835c
com.amazonaws	aws-java-sdk-cloudsearch	1.10.1		ef646e4c614127ffca35fa1ea2855931ff03f490
com.amazonaws	aws-java-sdk-cloudsearch	1.10.10		af269811aa9a0e5e7e302a242b0b497d188f0eb3
com.amazonaws	aws-java-sdk-cloudsearch	1.10.11		888edf925efcae9f773b7eaa0973ec4f35ea71ea
com.amazonaws	aws-java-sdk-cloudsearch	1.10.12		c374aadd6e71ddc35dbb1585cf7f85fe661b9554
com.amazonaws	aws-java-sdk-cloudsearch	1.10.13		13fc82b14033ef7799bb6cb1689df7fdc28a2553
com.amazonaws	aws-java-sdk-cloudsearch	1.10.14		e9d0b87b38680ace2d138f4abe5e9623acb1b967
com.amazonaws	aws-java-sdk-cloudsearch	1.10.15		b7080a9e08d5045ab6450cdd77d34cc3e6c87498
com.amazonaws	aws-java-sdk-cloudsearch	1.10.16		5c62e4069cdbd54dc187eee9ab4bceeb20a1d788
com.amazonaws	aws-java-sdk-cloudsearch	1.10.17		d8fd5c698eb028fc555cd6741315d301a7903d65
com.amazonaws	aws-java-sdk-cloudsearch	1.10.18		ad6917477271abf4f00f65c927aba64e26f0cc2a
com.amazonaws	aws-java-sdk-cloudsearch	1.10.19		d75ce0e796825d72db052bee98f5fa3201643dd4
com.amazonaws	aws-java-sdk-cloudsearch	1.10.2		490ba23d698eff68408517da53c2f7f5bb6eb2c4
com.amazonaws	aws-java-sdk-cloudsearch	1.10.20		fb9f94423219929c840719c481ff091969869839
com.amazonaws	aws-java-sdk-cloudsearch	1.10.21		56abf22ee1df62992650a1edf591906dc5b8fa19
com.amazonaws	aws-java-sdk-cloudsearch	1.10.22		1bf0511db03e8a4d4b08cb902ce17e1a6ebb708a
