br.com.thiagomoreira.liferay.plugins.share-button-app	share-button-portlet	1.0.0		N/A
cn.com.antcloud.api	antcloud-api-ak_df30b271632148128231f9b1bc2c04e1	1.0.0		d3aa1f583f3bc3b38e733eb3849158d48874b0c6
cn.willingxyz.restdoc	RestDocBeanValidation	0.2.0.0		b6fa6e6bf931b63017d040aa1dbeadcf43eb39cf
cn.willingxyz.restdoc	RestDocBeanValidation	0.2.0.0-beta		d513d761ee1972dc4d9e51b70c92057a111181dd
cn.willingxyz.restdoc	RestDocBeanValidation	0.2.0.0-beta1		3d9c87404862a6904ea4d69b4c2c86f2de08735f
cn.willingxyz.restdoc	RestDocBeanValidation	0.2.1.0		bd42fb0bd4f3fd0b05c8e8b7afbbdcfb03daf536
cn.willingxyz.restdoc	RestDocBeanValidation	0.2.1.1		ac0a62cfbd7fef9de9a720836363046a48223273
cn.willingxyz.restdoc	RestDocBeanValidation	0.2.1.3		fb4ec07141e999f4760dac70f6cb6d229037fd9f
cn.willingxyz.restdoc	RestDocBeanValidation	0.2.1.4		a0bb3bda4379a1b219cadb0d923b0f155d57100b
codes.rafael.asmjdkbridge	asm-jdk-bridge	0.0.1		682eb4af49cc013c4d8492811cb737d9776256e5
codes.rafael.asmjdkbridge	asm-jdk-bridge	0.0.2		e2ebf15f75e967c7ddc5047b39c8c2da52db2fc6
codes.rafael.asmjdkbridge	asm-jdk-bridge	0.0.3		1814b70fcb435aeb7d67747848da3b0ff3b89ce7
codes.rafael.asmjdkbridge	asm-jdk-bridge	0.0.4		00d8ecbaf66e9126cbba9c251e3cb4c5560e1c60
codes.rafael.asmjdkbridge	asm-jdk-bridge	0.0.5		ca80257c037740c6e5a6af12b1e0196ce82a959a
codes.rafael.asmjdkbridge	asm-jdk-bridge	0.0.6		7413e884ce2d4d0841a2045b8c2485d97c7eb959
codes.rafael.asmjdkbridge	asm-jdk-bridge	0.0.7		b7acd939b823539ea9ae7aeae69a493b4398ad27
codes.rafael.asmjdkbridge	asm-jdk-bridge	0.0.8		242d7189feb1d6fca5ed6bcbadb67b178cf53e1b
codes.rafael.asmjdkbridge	asm-jdk-bridge	0.0.9		dbcb906c3737bbb0d38c00a14e0335be33061ac2
com.amazonaws	aws-android-sdk-cloudwatch	2.1.10		a1ceb6cfbdb8883966918a908b858aa1bafba900
com.amazonaws	aws-android-sdk-cloudwatch	2.1.3		1b9c38fd3651359e342bd60a5ad08e16a7d36c82
com.amazonaws	aws-android-sdk-cloudwatch	2.1.4		6c4bdcad9072295d7060c6439dc96964d5685698
com.amazonaws	aws-android-sdk-cloudwatch	2.1.5		f51317a5aac12c87a5278f63878f2b78fe9f90e9
com.amazonaws	aws-android-sdk-cloudwatch	2.1.7		c65cc37fe918b20da0d0d3ffdb3fc56ee0d618bf
com.amazonaws	aws-android-sdk-cloudwatch	2.1.8		6b23b944e1663ee680167761d08b4fa02065bacb
com.amazonaws	aws-android-sdk-cloudwatch	2.1.9		24f68c2c38b7a045a513ae8011a85ba9609aec1f
com.amazonaws	aws-android-sdk-cloudwatch	2.10.0		e1f10b36ef8f55c91263c02500eefbacb68685aa
com.amazonaws	aws-android-sdk-cloudwatch	2.10.1		7e6849f5854d6d20b519f7809f8a80a6311bdc56
com.amazonaws	aws-android-sdk-cloudwatch	2.11.0		da6b8c9065c0643b9759e4f2137caf7421831f57
com.amazonaws	aws-android-sdk-cloudwatch	2.11.1		7ef05e24748fef0de92e38b30f50deb604101cd9
com.amazonaws	aws-android-sdk-cloudwatch	2.12.0		57d6cbe62d8062a6a6b350b22063d21ec1032147
com.amazonaws	aws-android-sdk-cloudwatch	2.12.1		38d5f67144ddc67a5483207623b63eb51d696b93
com.amazonaws	aws-android-sdk-cloudwatch	2.12.2		7f2e87b0782af2eab651c4aadd7344d60ae54178
com.amazonaws	aws-android-sdk-cloudwatch	2.12.3		e2d22f89c434d5f280c1f2e45d8ac47479b3179d
com.amazonaws	aws-android-sdk-cloudwatch	2.12.4		7b55d1e6dd17eea176b4d9786210a2487587a7bd
com.amazonaws	aws-android-sdk-cloudwatch	2.12.5		9a5563f6c03dd4addfa73c87b90219506a1bb121
com.amazonaws	aws-android-sdk-cloudwatch	2.12.6		ab71839099daa4400c74176741b3234c97aa4279
com.amazonaws	aws-android-sdk-cloudwatch	2.12.7		e4369762b75611ca58e39e70f501d73bbc10424a
com.amazonaws	aws-android-sdk-cloudwatch	2.13.0		ec981b4b42bdb517276e5d877226070d0c02ed27
com.amazonaws	aws-android-sdk-cloudwatch	2.13.1		beac4469b5a7f8bb636a8c8ed6e78a9333a33a36
com.amazonaws	aws-android-sdk-cloudwatch	2.13.2		b8a274f5da420145f1c3d1ccbf0db9f77f2b3d7f
com.amazonaws	aws-android-sdk-cloudwatch	2.13.3		f155c04421a4eccd54befb1c6fa0b9ea2cb116ea
com.amazonaws	aws-android-sdk-cloudwatch	2.13.4		49ae339759ac2de28250731bc7b4bbd135d1c777
com.amazonaws	aws-android-sdk-cloudwatch	2.13.5		69611e20227f56122acaf88749e840cff545f457
com.amazonaws	aws-android-sdk-cloudwatch	2.13.6		94e75acaf3a591863750db7f3e023dafaae0dbce
com.amazonaws	aws-android-sdk-cloudwatch	2.13.7		7e96428bba1c9d563d2eebc0243b8b422ef26933
com.amazonaws	aws-android-sdk-cloudwatch	2.14.0		0477dc479c90fce6aa121924dff2470d0dffb892
