ai.kognition.pilecv4j	opencv-install-jar	0.16-opencv4.5.2		N/A
be.wegenenverkeer	atomium-format_2.10	0.3.0		e2e0965cb00f72ccdaa06374c2eeed25a190dd4f
be.wegenenverkeer	atomium-format_2.10	0.4.0		2e8be4b5df34c95dfac6ac09df45dd439d80b7ce
be.wegenenverkeer	atomium-format_2.10	0.5.0		020faf13c5c2f11af085771cedd56cd1e1fda309
be.wegenenverkeer	atomium-format_2.10	0.7.0		b886e47cd1c01b590ff205682d6eb8f50032155b
be.wegenenverkeer	atomium-format_2.10	0.8.0		eeaa55ff586c52f7fc30dfb4e02866240107f2aa
be.wegenenverkeer	atomium-format_2.10	0.8.1		3ca22f89847a7e7fd84fcbdca22630853c371d8b
be.wegenenverkeer	atomium-format_2.10	0.8.2		edfae3fac093c56a3c8966e81afd526631757660
biz.aQute.bnd	biz.aQute.jpm.run	3.2.0		860cfa32af921c717bc494248a9f2712d3d0f947
biz.aQute.bnd	biz.aQute.jpm.run	3.3.0		4d167de23e76b40858c97f17dc274d37e6dfcb5c
biz.aQute.bnd	biz.aQute.jpm.run	3.4.0		dab3436468120e37b469a2202cc125862173b0a2
biz.aQute.bnd	biz.aQute.jpm.run	3.5.0		f2ed6b428208330970889d3da37e064ebd833486
cn.magichand	magichand-upms-api	1.0.4		db46a993c7e6fb0e6a7da5aa7e74c7d5069c7190
com.aliyun	antirisk20221128	1.0.0		6721a1f9eae82280d684d293739858a4b288652d
com.aliyun	antirisk20221128	1.0.0	shaded	79f4f1cf079842a4e40c41b70a48b907c56d313b
com.aliyun	antirisk20221128	1.0.1		9015371dd7bbb07e50e6fc57282adbf79c1ba8e2
com.aliyun	antirisk20221128	1.0.1	shaded	4d8c6364850e1192bdb9537a5801d702f814c0aa
com.aliyun	antirisk20221128	1.0.10		67091bd9921fc56ab5aac5586a8457ecf0bf779c
com.aliyun	antirisk20221128	1.0.10	shaded	ad9674556df0a065235cbddbc558b84134335f4a
com.aliyun	antirisk20221128	1.0.11		192448166bd879bcba4b768c32f48f2e274e6845
com.aliyun	antirisk20221128	1.0.11	shaded	8aec17e7bcc2686174723a3515ec185c319ef296
com.aliyun	antirisk20221128	1.0.2		3469cbf3232c15b7023632125e2ce884be1d8d6d
com.aliyun	antirisk20221128	1.0.2	shaded	1364c7f3b4c3c98b39fcc58691cdc70750fe8577
com.aliyun	antirisk20221128	1.0.3		4ba2d04fe4b861dedc00fb062a72b0788d3f2f8e
com.aliyun	antirisk20221128	1.0.3	shaded	6c37f42752ae9d9b6af5b32d9669f82c339643e9
com.aliyun	antirisk20221128	1.0.4		e16932ad90af132bbc4a7c7d3857bb83e8a0c799
com.aliyun	antirisk20221128	1.0.4	shaded	055b294aab62e896a0723f7eeef94695f544975a
com.aliyun	antirisk20221128	1.0.5		c28c1a0f794d1e5a7bcfbab093c770c10f710d09
com.aliyun	antirisk20221128	1.0.5	shaded	bd3e774ecb94d7fe5f51d15894ac5f1010419f50
com.aliyun	antirisk20221128	1.0.6		b67666c30036614e65a7544e3eff56b79fe42106
com.aliyun	antirisk20221128	1.0.6	shaded	723969c9e5525b6518d3962fd3be809a677aaefa
com.aliyun	antirisk20221128	1.0.7		4df1932672973da952c59277d594f4ac4df895ed
com.aliyun	antirisk20221128	1.0.7	shaded	6cace23d04b35d25c125748c11eeb3be16958cb0
com.aliyun	antirisk20221128	1.0.8		f01eaae7006398d3dcb4432b368ffb06e85d4fe7
com.aliyun	antirisk20221128	1.0.8	shaded	b9abc7cb774ae2b2e196bd0ffcecce2f163d00d8
com.aliyun	antirisk20221128	1.0.9		e92cb7aca335d63adebd241cede2b90a63315ce5
com.aliyun	antirisk20221128	1.0.9	shaded	73f2487b737b69bdb973bd6f2ab59c37de6336fe
com.aliyun	antirisk20221128	1.1.0		f1edd3bd3d47b523f88fdac8a4e351f06c405008
com.aliyun	antirisk20221128	1.1.0	shaded	8f7c85489a255b5a54258debfe6e3e4bbc20115d
com.aliyun	antirisk20221128	1.1.1		6a978d74c30a51acf497bb97e48ae1a0049f9a8a
com.aliyun	antirisk20221128	1.1.1	shaded	2a5c572fb192f9e074a2e2aa606676f0b23095f5
com.android.tools.build	gradle-core	1.1.0		08bffc0f7a182f540c6876279eb0ae36d8b5e046
com.android.tools.build	gradle-core	1.1.0-rc1		81de9d2513583b3eab1b9e3990134646be07f37b
com.android.tools.build	gradle-core	1.1.0-rc2		ed6eb65277e82b8a05956f9d743b7738050133d9
com.android.tools.build	gradle-core	1.1.0-rc3		fc6334cd520b8e7a1c5fe45d8adec3b82b9d659b
com.android.tools.build	gradle-core	1.1.1		9bbe327981a993288eb9a0333cf72fbc498a5dc5
com.android.tools.build	gradle-core	1.1.2		a00cbafb8c7b46c8cbad69b0d8becf0ddc584172
com.android.tools.build	gradle-core	1.1.3		94d5817bc8d445c5b2cfd44e8035afb6879c1bae
com.android.tools.build	gradle-core	1.2.0		975ec5be63a61cc9190968499742fcca160d24c7
com.android.tools.build	gradle-core	1.2.0-beta1		c7d4f8a47b7ee0a4c5b32a1e6a6f1d1f057a11d3
com.android.tools.build	gradle-core	1.2.0-beta2		573fc220966bcd2fb1a3827d2560e51de487b546
com.android.tools.build	gradle-core	1.2.1		453b78090636da3fd7a11bb380e6c195111a2e12
com.android.tools.build	gradle-core	1.2.2		67c81cadd6f9a2cfd7f96c856df907da5613df07
com.android.tools.build	gradle-core	1.2.3		4a448f6ea508a2b547a3fea4033d2b68d287a188
com.android.tools.build	gradle-core	1.3.0		2eebe183f05f7fac853c26e646fb40eb4b9e32de
com.android.tools.build	gradle-core	1.3.1		70731f5b83a22faa2f25d6281f6812977f64f520
com.android.tools.build	gradle-core	1.5.0		70915a3f0ef4243d4630ea23219f5445fac82700
com.android.tools.build	gradle-core	2.0.0		abe49085e6741d712aa02daac664f028bd4b47a4
com.android.tools.build	gradle-core	2.1.0		527d4386755e742b500df6cc2f2b0dc2bb798dfe
com.android.tools.build	gradle-core	2.1.2		23fa54cbd68abe0d190b3f19b8db553c22b1e95e
com.android.tools.build	gradle-core	2.1.3		e94f0de6fa76f0a76011bdcc82d23ee1e5e707fa
com.android.tools.build	gradle-core	2.2.0		b566730c2a4bcd6288d03a16a57960eec0c2b2a8
com.android.tools.build	gradle-core	2.3.0		895cde36ab5bc7cfcb8e68b520c73e9c05e96841
com.apollographql.federation	federation-spring-example	0.6.3		ba9262f03c6c544d22b614cf750d218d6dac5c05
com.apollographql.federation	federation-spring-example	0.6.3-RC1		63014ba2616363be4ffa0f728ea4db9b8a14942e
com.apollographql.federation	federation-spring-example	0.6.4		274e86013397b7488ddd99d12eba055f5cc8325d
com.apollographql.federation	federation-spring-example	0.6.5		39c4e6562cf2b3c96e25c0806b174e0ae5c031b0
com.apollographql.federation	federation-spring-example	0.7.0		af09a14a9060750cb7115fd7fde78cb9917fed1e
com.apollographql.federation	federation-spring-example	0.8.0		522c2fd30d0d42b48487b37826fe1b2067b84048
com.apollographql.federation	federation-spring-example	0.9.0		d9f96a43e211e3bd75c9fd7a5af129896e482841
com.apollographql.federation	federation-spring-example	2.0.0		5cf2a777c1a5ee34e121ebbc0a439d2a5ae13549
com.apollographql.federation	federation-spring-example	2.0.0-alpha.1		56cd0f535c071ca84db4c575949ed6cf539a73ac
com.apollographql.federation	federation-spring-example	2.0.0-alpha.2		e1fcfa92cee203038cd0b4e6d3644f7445b41ed3
com.apollographql.federation	federation-spring-example	2.0.0-alpha.3		7d619d1ac63f5bed65de1f2140cb407fe8e41508
com.apollographql.federation	federation-spring-example	2.0.0-alpha.4		12b2f47ec1fa227791f4b3940bd86558af86a97b
com.apollographql.federation	federation-spring-example	2.0.0-alpha.5		970958d3f198dbc61586d51fa809eb359b10c8a1
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.10		dd67f13707f3cdec201a6333b7e702bc981a2baf
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.11		d232497e57cfcb90521546dbb2bcc20d8045383d
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.12		343204ff25bdcccd6bbe5661868c4be6a0edd19d
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.13		edd8f564493fcc9efb21c1b7f3ebc6df786a1794
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.14		4068a90d3985f3c3e79280bf2839fdba65d0a276
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.15		394b6c8e26ddd79773bb14c0b229036f9871ceca
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.4		7f5397728458cb82b4bd1f36c7783650648c2a4d
com.blazebit	blaze-persistence-integration-jaxrs-jsonb-jakarta	1.6.5		efe6d5792874762528384d29ae85c76369745d51
