at.yawk.valda	valda-dexlib2	1.0.0		45a36e11d8d3a41d9a3d2e1d32a2c1f81e5ebf99
ch.epfl.lamp	scala-compiler	0.1.1-20170109-be64643-NIGHTLY		7e64f91f0ac581e47d03b865013db4f1f0619382
ch.epfl.lamp	scala-compiler	0.1.1-20170110-d62a2c9-NIGHTLY		0e0471733d250bd911ec59195b8a0f48f67c8a1b
ch.epfl.lamp	scala-compiler	0.1.1-20170111-ba7e129-NIGHTLY		8b4a24073b05d35362fa96799d1cc61e75fe5ebb
ch.epfl.lamp	scala-compiler	0.1.1-20170112-36237cb-NIGHTLY		9e8635ed5775d0713063f060c0dc115217534085
ch.epfl.lamp	scala-compiler	0.1.1-20170116-6a95fef-NIGHTLY		cdafde155b8baa286d13067264c5c7bab78e6b68
ch.epfl.lamp	scala-compiler	0.1.1-20170116-eed4f2f-NIGHTLY		9c80b9f6f4d8828349ef241232504b07bab94102
ch.epfl.lamp	scala-compiler	0.1.1-20170203-da7d723-NIGHTLY		33455b18d17ce8c4f53e15ecb084307f91f512ae
ch.epfl.lamp	scala-compiler	0.1.1-20170208-75bea8d-NIGHTLY		136e1ac06ba84482d035dbf3165815694d53cdab
ch.epfl.lamp	scala-compiler	0.1.1-20170210-e360c2a-NIGHTLY		bd29f139e089892b7b04c7cb21658da79db548f1
ch.epfl.lamp	scala-compiler	0.1.1-20170212-8bdc91f-NIGHTLY		2c81d64c3bd7669ddd6d74a27c58beb743165b3b
ch.epfl.lamp	scala-compiler	0.1.1-20170214-606e36b-NIGHTLY		737e0cb7fe998e21742189b59feb4e60b70d49d6
ch.epfl.lamp	scala-compiler	0.1.1-20170215-39af2f5-NIGHTLY		7f66d3818d19647de0a1e2a51c885c4a627a1895
ch.epfl.lamp	scala-compiler	0.1.1-20170216-6df672c-NIGHTLY		8b04e014434936615867715b49e90989ef7281ed
ch.epfl.lamp	scala-compiler	0.1.1-20170217-63083f1-NIGHTLY		10bf78aae4fd62b90b1e7e082be769574e166595
ch.epfl.lamp	scala-compiler	0.1.1-20170218-f3f1c46-NIGHTLY		0dfdccf8846f686226e5072ed092f12c85ee149a
ch.epfl.lamp	scala-compiler	0.1.1-20170220-f467be6-NIGHTLY		5423091ec4ee3741e1b0977da2634e5a94f3fe87
ch.epfl.lamp	scala-compiler	0.1.1-20170221-3552326-NIGHTLY		8a1dc1fa2eadb5f5d234e3d3b54d8a1bb0852274
ch.epfl.lamp	scala-compiler	0.1.1-20170222-a0f47a0-NIGHTLY		cb23f1d371b81246452b7ea3e2a74be1e58bf55b
ch.epfl.lamp	scala-compiler	0.1.1-20170223-2699715-NIGHTLY		761ef1fd24490a1e4f18bd215947d89515060872
ch.epfl.lamp	scala-compiler	0.1.1-20170224-db24246-NIGHTLY		f4b6617880f63b1e23678f2bab1791fbbb171acb
ch.epfl.lamp	scala-compiler	0.1.1-20170225-d0162ae-NIGHTLY		abdad9c9fa646367351e9e3893ce49ae2dbf97c9
ch.epfl.lamp	scala-compiler	0.1.1-20170227-179a5d6-NIGHTLY		f643a4a659ce84d8b6c81f83eec01e59c19dec43
ch.epfl.lamp	scala-compiler	0.1.1-20170301-83a4f95-NIGHTLY		bf5ba55d3c2fb2c80deca1bd97b066faeff944a4
ch.epfl.lamp	scala-compiler	0.1.1-20170301-feaa0ae-NIGHTLY		a883cc098ee02bfedf5cf20c3a9a83d3d18b223d
ch.epfl.lamp	scala-compiler	0.1.1-20170303-06d3f7a-NIGHTLY		d4aec33e614847e1ba76e6ab61ee7d634e039e88
ch.epfl.lamp	scala-compiler	0.1.1-20170305-6131175-NIGHTLY		d733a901abaef6053478a1665395b0e3e2f58a20
ch.epfl.lamp	scala-compiler	0.1.1-20170306-c90ea6b-NIGHTLY		153b65e96e6f713937887d0f67d091a861e02a01
ch.epfl.lamp	scala-compiler	0.1.1-20170307-3c4d29e-NIGHTLY		ff04af3df273cb27b41bfee939fec00ad930359c
ch.epfl.lamp	scala-compiler	0.1.1-20170308-c844809-NIGHTLY		6002cd3f11373f18498276e640db6120ca97bfe4
ch.epfl.lamp	scala-compiler	0.1.1-20170309-e28d8ee-NIGHTLY		af298d67cb23e14dcea5b01eea82fde75ce8a9b9
ch.epfl.lamp	scala-compiler	0.1.1-20170311-b2d3b89-NIGHTLY		3295868b60be1689d5bb37597a0d9c700de79c9d
ch.epfl.lamp	scala-compiler	0.1.1-20170312-b319440-NIGHTLY		ba33aa6904d6393c714134d3878362c3556e8e75
ch.epfl.lamp	scala-compiler	0.1.1-20170315-c321653-NIGHTLY		0b19e5a49850a6448dc0b0e4e450eee0ece81c8e
ch.epfl.lamp	scala-compiler	0.1.1-20170316-2325863-NIGHTLY		e48e257393c77941437858fa1aee6ed13b5ff586
ch.epfl.lamp	scala-compiler	0.1.1-20170317-d062110-NIGHTLY		b754dfb6893a9d52cbf5865db491fd6b1d14805a
ch.epfl.lamp	scala-compiler	0.1.1-20170318-e93b78f-NIGHTLY		fe05f91f2c9e760bb3f4a34d751d6217aa9fb390
ch.epfl.lamp	scala-compiler	0.1.1-20170319-8c26743-NIGHTLY		3d9f468968962781aac34de8c45835088816fe29
ch.epfl.lamp	scala-compiler	0.1.1-20170320-f009dc0-NIGHTLY		c9bf1c8550838a00421d8000764c8fd1d752bb52
