at.released.cassettes.plugin.base	at.released.cassettes.plugin.base.gradle.plugin	0.1-alpha01		N/A
au.com.dius	pact-jvm-provider	4.0.0		31db8ee2c53168db42bb9253796b25a21a6b0914
au.com.dius	pact-jvm-provider	4.0.0-beta.1		022b6196a6ba7dc58f68f8c5c713bf92cb312f7e
au.com.dius	pact-jvm-provider	4.0.0-beta.2		8497c44d59bf4e63f94b30e68179701e9dd4b38d
au.com.dius	pact-jvm-provider	4.0.0-beta.3		33bc3b617c930b0c8cbe79d7dc1f4842935998a1
au.com.dius	pact-jvm-provider	4.0.0-beta.4		207fc61d4c34c70c6327c1e0dc64c4f2681d8a81
au.com.dius	pact-jvm-provider	4.0.0-beta.5		37f843573f3b59a043511884cf7a6520fa72f544
au.com.dius	pact-jvm-provider	4.0.0-beta.6		c8a09ec07de160c5213b51b3d7985f09680d8c11
au.com.dius	pact-jvm-provider	4.0.1		a557dd9706c779d310b4bafa55f6834be07d0dbd
au.com.dius	pact-jvm-provider	4.0.10		f6faed1cbff8ac867afe3ed6154b113e6c8849cb
au.com.dius	pact-jvm-provider	4.0.2		3acb4012a5661f814682343bb8020e12e63845de
au.com.dius	pact-jvm-provider	4.0.3		37840d2b322cb981d1b9e7f2e94c05c13b34e59f
au.com.dius	pact-jvm-provider	4.0.4		43e2b1ce45abd99b291ae0380fcf887fed14fcde
au.com.dius	pact-jvm-provider	4.0.5		e4451f52e07428d21bae55dd9d3c0fdddaedbdcd
au.com.dius	pact-jvm-provider	4.0.6		906cd13cdc12e997fae2f480bc8ca2ef1a27562e
au.com.dius	pact-jvm-provider	4.0.7		6791c98a6c20296052cfefcbf2637ebb7d4f06c6
au.com.dius	pact-jvm-provider	4.0.8		e1ab997fd16d90cf481d4b6663159f29521400e6
au.com.dius	pact-jvm-provider	4.0.9		39d69b5190c2ce1fa902182411138b582c9ef7d1
cc.carm.lib	easyplugin-vault	1.5.10		f6e519d42c751cb180c5a06d23784d96b96afece
cc.carm.lib	easyplugin-vault	1.5.11		b7cddb26673dac84d8b2513a6762378513d2c45c
cc.carm.lib	easyplugin-vault	1.5.12		b10dc4a43c6494e8bda95a161912ab83f2a9ba74
cc.carm.lib	easyplugin-vault	1.5.2		8deb0b8ac63cd9a86b552671198af43a7293724e
cc.carm.lib	easyplugin-vault	1.5.3		c0d8509f261f725ebb4574ed50be724194adb444
