ai.themsp	pubmatic-adapter	0.1.0		N/A
au.com.agiledigital	dao-slick_2.12	0.0.3		58d8779055e637e1cd68f45fdf58b682d1e2faa7
ch.usi.si.seart	git-submodule-maven-plugin	1.0.0		5ea1d8c6f6bc50b6c46e3ab01d67feffd830ea87
ch.usi.si.seart	git-submodule-maven-plugin	1.1.0		7f529ea30fa0867c3f0a66cd10a360e2baa2c799
ch.usi.si.seart	git-submodule-maven-plugin	1.1.1		7f448f7afc1c47faf9f7dbd0fb36d3152a77ce09
cn.xphsc.boot	jpamapper-spring-boot-autoconfigure	1.2.0		fe65046f264f72964dacdce10f685863d32c987f
cn.xphsc.boot	jpamapper-spring-boot-autoconfigure	1.2.1		8b3a5b799bb9508bed1ff8dd2dba95947f7c81a9
cn.xphsc.boot	jpamapper-spring-boot-autoconfigure	1.2.2		16923f9183cecc5ff88d74f09b2ae6e0857d419d
cn.xphsc.boot	jpamapper-spring-boot-autoconfigure	1.2.3		8443680c91c93f6afbc5656a2582c75109b72b8c
cn.xphsc.boot	jpamapper-spring-boot-autoconfigure	2.0.0		57754656d7236b37da89c2eb95d7aac7488441b4
cn.xphsc.boot	jpamapper-spring-boot-autoconfigure	2.0.1		428546584642e79dbd0d99be9cc1e8cfb1f923ed
cn.xphsc.boot	jpamapper-spring-boot-autoconfigure	2.0.2		eefffb61baafe6e3cedd2c861e243cac70f1119c
cn.xphsc.boot	jpamapper-spring-boot-autoconfigure	2.0.3		16414ef6fb76e5ec13219644049167ba82c97f3c
cn.xphsc.boot	jpamapper-spring-boot-autoconfigure	3.0.0		70c02d33262220787bfc93595a3f1b9a0e3bd313
codes.quine.labs	recheck-parse_2.13	4.3.0		668976e56515d82be58e42a580de236d9a3212b2
codes.quine.labs	recheck-parse_2.13	4.4.0		357450eeb21999fb9a19f0b007586afca9ad2c40
codes.quine.labs	recheck-parse_2.13	4.4.1		07c5209924abb9e483e408718fc6a5ce141fe1bd
codes.quine.labs	recheck-parse_2.13	4.4.2		956fe432951119aa9adf0a82072a392a3407bfb9
codes.quine.labs	recheck-parse_2.13	4.4.3		4f71a63595ee9022fc10e6e2584ef3072394ca3b
codes.quine.labs	recheck-parse_2.13	4.4.4		e0dec74772a5b42cf78660952ec07c4ab175c318
codes.quine.labs	recheck-parse_2.13	4.4.5		04630ce12a46feab84d15ec3408f02ab5f2b8748
codes.quine.labs	recheck-parse_2.13	4.5.0		85c200b69a3815480a9487b6a1edc4fff41f4892
codes.quine.labs	recheck-parse_2.13	4.5.0-beta.1		34b77bdd90027e594a0146f7950a47b6104902dc
codes.quine.labs	recheck-parse_2.13	4.5.0-beta.2		2d682b83417fa7a32f2c50e83bb5b7b37b9509a2
codes.quine.labs	recheck-parse_2.13	4.5.0-beta.3		d0cabba1e235e7d9b179775ceacd4b996a89f9f7
codes.quine.labs	recheck-parse_2.13	4.5.0-beta.4		06564afd3f36d131b9a7b09162eb5928c05973d6
codes.quine.labs	recheck-parse_2.13	4.5.0-beta.5		6c4d9c4f40b454e90f5caf45eae25373d7490004
codes.quine.labs	recheck-parse_2.13	4.5.0-beta.6		6a8136fca7a2b0f3070d738edc5ec187438443af
com.alanapi.fab.animation	com.alanapi.fab.animation	0.0.1		N/A
com.apollographql.apollo3	apollo-normalized-cache-api-metadata	3.0.0-dev2		93eacb8b5fc84f712cba7af9378e9c9adfc099b5
com.apollographql.apollo3	apollo-normalized-cache-api-metadata	3.0.0-dev3		80c5c9d5038379a2ac471a9124014dd14fb4214a
com.apollographql.apollo3	apollo-normalized-cache-api-metadata	3.0.0-dev4		5feaef5f86e77d03364cbec9dc7024ab3888d87d
com.apollographql.apollo3	apollo-normalized-cache-api-metadata	3.0.0-dev5		6c005c265c848841d1169a987feb27c4617d1f0b
com.apollographql.apollo3	apollo-normalized-cache-api-metadata	3.0.0-dev6		35f9433082e996bbd547e0b56d3e4fa0b48a49df
com.apollographql.apollo3	apollo-normalized-cache-api-metadata	3.0.0-dev7		7e294e7af84a23181f3d271b0568035106c27176
com.apollographql.apollo3	apollo-normalized-cache-api-metadata	3.0.0-dev8		8524184047975a209bdd60c9b7597640eef3d0ab
com.apollographql.apollo3	apollo-normalized-cache-api-metadata	3.0.0-dev9		5847ea4bb41d1f8f3f7b42b4c4faa30ccb70b564
com.argonio.gora	gora-shims-hadoop1	0.5		d7fca787253d64f61581f4378a0fdbe29d93bf56
com.argonio.gora	gora-shims-hadoop1	0.5.1		cc64cd9ada5a77a443f7d61b43fa279320f51412
com.carecon.fabric3	profile-ws	3.0.0		N/A
com.carecon.fabric3	profile-ws	3.1.0		80dca8c013c323f0c2156d3fecf6792f24a36408
com.clusterra	pmbok-term	1.0.1.RELEASE		52ac4879ac994eb181aa9e38e622f2f48dd69228
com.clusterra	pmbok-term	1.0.2.RELEASE		da46e97f4b81cd2f708747efbbe72ad20490680a
com.clusterra	pmbok-term	1.0.4.RELEASE		4bae5bc432aeca3306be79ed53165335121b8ece
com.clusterra	pmbok-term	1.0.5.RELEASE		a3f34a6ae9610a09d75ce6220b2d22b49347fbb9
com.daml	resources-grpc_2.13	0.0.0		4fe035378e546b5b5f79cc9bc7605d3dfa082c61
