axis2	axis2-jibx	1.0		d9606be24c8500f9a33e39cfe45b4015d2a1b121
br.com.objectos	way-ui-server	0.0.1		9a09d3fc1605109f5845706710a31adf2eef99f5
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.16.0		b00bf519529ad035dd59ad70509944712b9af77c
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.17.0		f42c05e1bf6082a340490bd0446d0e6f047763ba
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.18.0		f557cfadbb3771480df2e88ef93156d0535f611f
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.19.0		50bfa74ddab9fb7d240724c0ed0611fffc4b6dcd
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.20.0		cdd80262590f4814583de2ecf7d7d57fec339857
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.21.0		869dd9ab76bef76ae0d4761f3847c6f5bf5951e3
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.22.0		e5accfb3b2f9bd3650b6e8aab18799bcc2c5d2ad
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.23.0		ab1fec82a5fb4e38510c373e76c319b704d9dce6
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.24.0		61ac22bdcf410873a315037a9c5fd771c7dbb6c4
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.24.1		aaa473b3f224e881d91183d3109b60a981fb8d7e
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.25.0		3628a510d3365ce48c769cbb8675ddd42bb8d78a
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.26.0		133c456dd5b177b9593e710f04b7132c70a4825f
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.26.1		9630255c78a74069bdea3447660ea1f58c100890
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.26.2		c43eecf93a85c29e2a921d8e5d56482fd5e15c14
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.27.0		a8b05782ba1feea9326ba1cf9c97776cc06d49e0
ch.admin.bit.jeap	jeap-spring-boot-object-storage-starter	17.28.0		3971ba6ce110517f2daa1433c78295a910d47d74
