bsh	bsh-bsf	1.2b7		1cd58c655a015f0c65d93275e2bd988dfa3ddfb9
cn.com.antcloud.api	antcloud-api-provider-ak_0cce1ca29266424ab22c6aaa22c16d70	1.0.0		b9af87a62a75d89e8d3e361323fd82a6df02327c
cn.jdevelops	caches-redis-idempotent	2.0.6		e1719dc919b916f422e8e11a75f9f33854c61bde
co.touchlab	kapture-annotations-tvosarm64	0.1.3		N/A
co.touchlab	kapture-annotations-tvosarm64	0.1.4		N/A
co.touchlab	kapture-annotations-tvosarm64	0.1.5		N/A
co.touchlab	kapture-annotations-tvosarm64	0.1.7		N/A
com.acervera.osm4scala	osm4scala-spark2_2.12	1.0.10		d365467bf86b5c950fb53af4385df1f63f956ac5
com.acervera.osm4scala	osm4scala-spark2_2.12	1.0.11		4d4d63201be786a6ad6e0a63e3025f04d18602fe
com.acervera.osm4scala	osm4scala-spark2_2.12	1.0.7		2b199181336df0224091c28d4a9d0a169c790cdc
com.acervera.osm4scala	osm4scala-spark2_2.12	1.0.8		f35f22a46d51cc332a9e0c6a34b0943b28eaf022
com.acervera.osm4scala	osm4scala-spark2_2.12	1.0.9		f2c411cd1ae48b73762bb1bfa54037c761d002a4
com.charlyghislain.authenticator	authenticator-web	1.0.0		N/A
com.charlyghislain.authenticator	authenticator-web	1.0.0	classes	e922c0331452a408a938ce937ae5ecc14103ba95
com.charlyghislain.authenticator	authenticator-web	1.0.1		N/A
com.charlyghislain.authenticator	authenticator-web	1.0.1	classes	e74838d197cd5a2c189bd10536b46fec51bbfac7
com.charlyghislain.authenticator	authenticator-web	1.0.3		N/A
com.charlyghislain.authenticator	authenticator-web	1.0.3	classes	5e873ca6500e41edf47b613d5fff6ad74db3d808
com.charlyghislain.authenticator	authenticator-web	1.0.4		N/A
com.charlyghislain.authenticator	authenticator-web	1.0.4	classes	bba557ed5ff8ad428079bef79036eb91d7dcccab
com.charlyghislain.authenticator	authenticator-web	1.0.6		N/A
