au.net.causal.shoelaces	shoelaces-assorted-integration-tests	2.0		N/A
ch.dfp	fincast	0.0.47		1eb89d0e74ff65ec4e6405abf30d78203125827d
ch.dfp	fincast	0.0.48		f899c3805f74e31162427bebc56973615bfd0540
ch.dfp	fincast	0.0.49		83bf9524ca7be574cb50a1a1228d5c042bc25b02
ch.dfp	fincast	0.0.50		29e28f42451006038ee56bcf0fc9fae1d5acd991
ch.dfp	fincast	0.0.51		aae2459a62f2c003ad323eba044c5b906f6f1d7f
ch.dfp	fincast	0.0.52		f50ed90ec1d2ad3f82548302c0279658973279dd
ch.dfp	fincast	0.0.53		a4464425e395dfdbc2b2d65729795510e4290f12
ch.dfp	fincast	0.0.55		5c31807fa99c18e946051a603eec141074b4279a
ch.dfp	fincast	0.0.56		d5a772105f9aa3814176539f97cdb250e8b28237
ch.dfp	fincast	0.0.57		b7a66e66853f058762f5a86364807d65e2bd5213
ch.dfp	fincast	0.0.58		f02eae693d2b75ab3f9c174e12ff46742dc0ff40
ch.dfp	fincast	0.0.59		4eddf618353bca197fc96a55e1cbcba12b94c02e
ch.dfp	fincast	0.0.60		db78254f52f8d84a9a509242665dc8c81137b6b3
ch.dfp	fincast	0.0.61		856ff5f0141a69e299be4dfc468a102868a51a6b
cn.aotcloud	smcrypto-core	1.0.0		6d5a9fb27825843f710e1b22d1202ee77740e236
cn.aotcloud	smcrypto-core	1.0.10		1b2d0fde72d121ba94d0c165c8bae2194d0223d0
cn.aotcloud	smcrypto-core	1.0.11		39bd5667ac1029742504305e802a3c068fd2d2fe
cn.aotcloud	smcrypto-core	1.1.0		e8a32446de972704e3fe1536c0dd56d54fe2bb70
cn.aotcloud	smcrypto-core	1.1.1		42163dac5031c44206e5dfd5eb9aedecaeeec938
cn.aotcloud	smcrypto-core	1.1.2		91a964b6268166c563c6dc8071ddd60667cfdb3d
cn.aotcloud	smcrypto-core	2.10		ffc8dc4acdd36655c717b84052a5d655befd3746
com.abbyy	documentai	0.1.2		cdc386e725f131d8f269d9b7ecf2e4eb08aed1dd
com.abbyy	documentai	0.1.3		3d3dea91933658e6f0f5e78aa1b3bc525b748545
com.abbyy	documentai	0.1.4		354e81516eac6d4ee08d2c93f5b806418d41d88d
com.abbyy	documentai	0.1.5		c0875fd6ad0d17bc18744a56a9e19a78889630b9
com.abbyy	documentai	0.1.6		3e8da4b0cd477966a1f270842b4ed1528cb9b80f
com.adobe.dx	admin	0.1.0		N/A
com.aliyun	alibabacloud-dataworks_public20180601	1.0.0		54cd8f80b3c75a6fbec689e0c6d55fabd3bc37b9
com.aliyun	alibabacloud-dataworks_public20180601	1.0.1		828d9b15b897aaf50684092ee9480674ba13e9e9
com.armanbilge	sbt-scala-native-config-brew_2.12_1.0	0.1.0		b6ae0dec57ac0df89dbe069da428780bffbeecd2
com.armanbilge	sbt-scala-native-config-brew_2.12_1.0	0.1.1		f3f8f16e2107947054d50148ff1c71e0ae979d8a
com.armanbilge	sbt-scala-native-config-brew_2.12_1.0	0.1.2		1662fc05c86663c6098efbfaf0b1c88da7633f19
com.armanbilge	sbt-scala-native-config-brew_2.12_1.0	0.1.3		a5abcd9b043139b14ce0c2cb74864a3b77ec6a8a
com.armanbilge	sbt-scala-native-config-brew_2.12_1.0	0.2.0-RC1		100874c00744261b2e57af4d71b61e2a864880ab
com.armanbilge	sbt-scala-native-config-brew_2.12_1.0	0.3.0		166afd0c6857866b21eae14664f38fac7dd3a745
com.bngdev	formatk-js	0.0.2		N/A
com.bumble.appyx	modal-iosarm64	2.0.0-alpha08		N/A
com.bumble.appyx	modal-iosarm64	2.0.0-alpha08	metadata	5989ab2123f8f326d89980142c3044727207e7d0
com.bumble.appyx	modal-iosarm64	2.0.0-alpha09		N/A
com.bumble.appyx	modal-iosarm64	2.0.0-alpha09	metadata	1d208912d7a6122afc7d01f8d3d6b899a9bbb1c2
com.bumble.appyx	modal-iosarm64	2.0.0-alpha10		N/A
com.bumble.appyx	modal-iosarm64	2.0.0-alpha10	metadata	47d92ef7939d3c228771397ad1f7c74f072d3eff
com.ccadllc.cedi	dtrace-core_sjs1_2.12	3.0.0		85ef06ca9d07a2296a7e47a9d71b6ce45173f1fe
com.ccadllc.cedi	dtrace-core_sjs1_2.12	3.0.1		10a7c5040f8828dfb92c9e08cf431b16c727ae10
com.github.a14e	mycommons_2.12	0.1		cb06e8b26830945a8e1e21c84d66677d54edfee9
com.github.a14e	mycommons_2.12	0.1.1		37b9143350cf4a7160dab7aaad284c6e5b691a27
com.github.a14e	mycommons_2.12	0.1.10		22b16f2840f552f261a629aef232ec505f2952ad
com.github.a14e	mycommons_2.12	0.1.11		64163921ad697b6ac5fcf17aa999351a160fd320
com.github.a14e	mycommons_2.12	0.1.12		1bc7d8cfa0d2c30cecce97a00ffc26da9116346f
com.github.a14e	mycommons_2.12	0.1.13		776d064a9be1039ffc7810ba507319a833a332d0
com.github.a14e	mycommons_2.12	0.1.4		55d2373b0731496cc12e6abac95390433e6dfa76
com.github.a14e	mycommons_2.12	0.1.5		97df62926c72bd804a27eef065a8e51642d78c3d
com.github.a14e	mycommons_2.12	0.1.6		1bb29563c297114e90ad16cd3289483c8250d702
com.github.a14e	mycommons_2.12	0.1.7		bb636cb0d7c09a5e86883da9b09e0eea6730dbd0
com.github.a14e	mycommons_2.12	0.1.8		a425f4869a7aebbacf6439fcb0124a68f8939246
com.github.a14e	mycommons_2.12	0.1.9		9a7ae519087bbab61bd330207600f4f8ddbfa5c6
com.github.a14e	mycommons_2.12	0.2.00		200577b75cb3cc558b9662f91507f58f2463f618
com.github.a14e	mycommons_2.12	0.2.01		8ae24430880cc13114a55ae8e22e1d5828ef4ba0
com.github.a14e	mycommons_2.12	0.2.02		d096819f7539116f0a3d00b641872d04b189d6db
com.github.a14e	mycommons_2.12	0.2.03		6643fec89d6e0d6c3c3a10177b7294eb8b428ef8
com.github.a14e	mycommons_2.12	0.2.04		244ded38c85257750e5702f6fe0fb3a8ee8f5224
com.github.a14e	mycommons_2.12	0.2.05		789796af9c09bac2c15b3202b6bb3d18e84eedec
com.github.a14e	mycommons_2.12	0.3.00		6965abbae994638253decba529c35d1c7ca31e1f
com.github.a14e	mycommons_2.12	0.3.01		64dfc7a46d9423e3fef1a1201818ad1eae303a93
com.github.a14e	mycommons_2.12	0.3.02		233faf7d0bd0eea1943f0cef15ff1cb5b0a80b1e
com.github.a14e	mycommons_2.12	0.3.03		174ccf75708471f2b1cd9c8c0eacdf9fd6e424f6
com.github.a14e	mycommons_2.12	0.3.04		e7540baa9fbe41f5848701a6a6f75e990c38544d
com.github.a14e	mycommons_2.12	0.3.05		bc2608818b2006ad05558908d564f03c9c94c450
com.github.a14e	mycommons_2.12	0.3.06		848f024ea236a92d5b600bc9228ce0cf533c2f1b
com.github.a14e	mycommons_2.12	0.3.07		4d80e831268bde142aba19fe37bd3ef856564644
com.github.a14e	mycommons_2.12	0.3.08		112eefc1833638f9ca18722e9fc8359bb925da39
com.github.alice52	common-api-starter	1.0		b7fa28486b9d6626318579daed73027a2dbda895
com.github.axet	jogg	1.3.3		7aecd1e58fffeb5292cd2466ff70634a7025ae33
com.github.japgolly.microlibs	scalaz-ext_2.11	1.0		54b05784595a00835ed404df0cc26ec90579bd33
com.github.japgolly.microlibs	scalaz-ext_2.11	1.1		4a688bad702dfc88dcac102205fe0dc34390d2a0
com.github.japgolly.microlibs	scalaz-ext_2.11	1.10		3195cffe709a15a914671c1b401913732bb87bdb
com.github.japgolly.microlibs	scalaz-ext_2.11	1.11		845bab5950a7046dbadc7839faa43d5246ebfca0
com.github.japgolly.microlibs	scalaz-ext_2.11	1.12		36e47c71c06466a1ca3121167a2af9ceddd61bc5
com.github.japgolly.microlibs	scalaz-ext_2.11	1.13		0ee83ac1044445fdcf48ce400d78e215f1593df8
com.github.japgolly.microlibs	scalaz-ext_2.11	1.14		2edee4d8a4d1653a77ff05f5e6000b0a91e2613a
com.github.japgolly.microlibs	scalaz-ext_2.11	1.15		2ceff44e22aaaa665a52c62921a1e7bef3f5499e
com.github.japgolly.microlibs	scalaz-ext_2.11	1.16		f846156520984ef7d7f653f164e9ccf3f8f3256b
com.github.japgolly.microlibs	scalaz-ext_2.11	1.17		0cb018ec10843ed0cec71087e23bfb261aa7a750
com.github.japgolly.microlibs	scalaz-ext_2.11	1.18		4493c153a2409070152f8d317df12adfc7247c83
com.github.japgolly.microlibs	scalaz-ext_2.11	1.19		a111564617f97875f47f0f214bfd89902d8ae5d4
com.github.japgolly.microlibs	scalaz-ext_2.11	1.2		9457c6de55f419eb5eb447d3566f766d41726b00
com.github.japgolly.microlibs	scalaz-ext_2.11	1.20		9fa5511f698aaae7ef4c45f5edcdcfd53d29a601
com.github.japgolly.microlibs	scalaz-ext_2.11	1.3		53e684a76089354f7dc9309b2781bb4e885ee3e0
com.github.japgolly.microlibs	scalaz-ext_2.11	1.4		6b69433b182b82a9d419d8c306c682c02855c2e0
com.github.japgolly.microlibs	scalaz-ext_2.11	1.5		5bff98d718cbcc56046dc67e698e4d38181ae50d
com.github.japgolly.microlibs	scalaz-ext_2.11	1.6		913f3e3bfde6aa1313e068138afa02e4c5ed3bf9
com.github.japgolly.microlibs	scalaz-ext_2.11	1.7		706d80c7c1d260ed62bd58352e4f8e8ba38b5031
com.github.japgolly.microlibs	scalaz-ext_2.11	1.8		a48e5977f822fd564d8055cd49e4d0ba9a7eb329
com.github.japgolly.microlibs	scalaz-ext_2.11	1.9		d5f9c7e866bc255555e06c0d9aef74d99c53bf9b
com.github.nruzic.org.apache.maven.doxia	doxia-sitetools	1.8.1-interpolation-hotfix-RC4		N/A
com.github.nruzic.org.apache.maven.doxia	doxia-sitetools	1.8.1-patch1		N/A
com.github.nruzic.org.apache.maven.doxia	doxia-sitetools	1.8.1.1		N/A
com.github.okarmusk	scheta	1.0.0		b6637393a44fd81694ab3762c161bdb002540fa0
com.github.okarmusk	scheta	1.1.0		b04bbdb88f323de47797ac316227641aa6aecd72
com.github.okarmusk	scheta	2.0.0		a2167c7b94b7ca2866b5b6a93209f82da8b48f41
com.github.tntim96.apache.tiles	tiles-autotag	1.3.0.0		N/A
com.github.wangjiegulu	library	1.0.3		N/A
com.github.wangjiegulu	library	1.0.4		N/A
