aislib	aislib	0.5.2		5456841f52aca88c4d6e019cecc077d2fd77d1a9
br.com.moip	android-sdk	2.5.0		N/A
br.com.moip	android-sdk	2.6.0		N/A
br.com.moip	android-sdk	2.6.1		N/A
br.com.moip	android-sdk	2.6.2		N/A
br.com.moip	android-sdk	2.6.3		N/A
br.com.moip	android-sdk	2.7.0		N/A
br.com.moip	android-sdk	2.8.0		N/A
br.com.objectos.oss-java6	objectos-annotations	1.0.0		5e4d2aa7175cd78f547bf1853ed86734fc0ce89a
ca.mcgill.sable	soot	3.2.0		916ddcc24d74e9ba1e6481af1eb36931d9535028
ca.mcgill.sable	soot	3.2.0	jar-with-dependencies	a2cf6f82e0d500b068056d56dc8e74cd7e7c23a4
ca.mcgill.sable	soot	3.3.0		158592d341a0831345dcfc21ef44f47100519913
ca.mcgill.sable	soot	3.3.0	jar-with-dependencies	104688b0a5fd5502b78b15618bebf650f7624027
ca.mcgill.sable	soot	4.0.0		ea77d1d2d838e0cc73dfc8fc07e6806ba99399cd
ca.mcgill.sable	soot	4.0.0	jar-with-dependencies	83b2a71cbe17497e3a29d81ba47dc4f1f6d958e0
ca.mcgill.sable	soot	4.1.0		aef5d705862a93daa568c33182ff3fbdc7ee8c16
ca.mcgill.sable	soot	4.1.0	jar-with-dependencies	a9897733c9e294e90df89d29fb390241a4c8117c
cat.dvmlls	slakka-bot_2.11	1.0.0		d8f065ae604d9f69151ff13dfe6e37ff9298f15f
cat.dvmlls	slakka-bot_2.11	2.0.0		1dea12021b71760e752624b66d6799c6258b7205
cat.dvmlls	slakka-bot_2.11	2.1.0		6ba9c20bf580f176949867e8a7202ac4b5dcd190
cat.dvmlls	slakka-bot_2.11	2.10.0		b5cf255c3da513280e60def0e01c3f08996c6cfb
cat.dvmlls	slakka-bot_2.11	2.11.0		ed4a5542b5603f48573e7880708e2565b8dc0e55
cat.dvmlls	slakka-bot_2.11	2.2.0		91756ac213b4b2fd00e1091a6fe15bcfa2b8f543
cat.dvmlls	slakka-bot_2.11	2.3.0		89b15d67e4343f4b3f1201af48c96bc130e964c1
cat.dvmlls	slakka-bot_2.11	2.4.0		446ecba1ea5673c25d4139e3b65bdb908e6a1864
cat.dvmlls	slakka-bot_2.11	2.5.0		5194d788c3045bab9797688d60057783381b8d53
cat.dvmlls	slakka-bot_2.11	2.6.0		8684be7f7f64d4f2f9707b402c59531a4951c5d6
cat.dvmlls	slakka-bot_2.11	2.7.0		a6c619f9ecaa5b4d1033b743220f4045696a5d45
cat.dvmlls	slakka-bot_2.11	2.8.0		270d3af11eafbe7bb47f71ff07dc807783e9bb14
cat.dvmlls	slakka-bot_2.11	2.9.0		66f0126623fdce568f209e2de25ca1a5fc9859b9
cd.connect.composites.java	connect-composite-jersey-grizzly	1.1		39a6d16f7b3951fbb99fcafbbc99e926d6634509
cd.connect.composites.java	connect-composite-jersey-grizzly	2.1		546781ded312cb9a768d708040731c44e932857e
com.anrisoftware.sscontrol	sscontrol-core	1.0-alpha-1		c21cf6b411d04f412846c5353ee63d22457e8a42
