at.noahb	smartInvs	1.4.0		dbcb07059a13fc0240d2c166b1e2e29b2507f8c2
biz.aQute	biz.aQute.parent	1.0.0		N/A
biz.aQute	biz.aQute.parent	1.1.0		N/A
biz.aQute	biz.aQute.parent	1.2.0		N/A
br.com.thiagomoreira.liferay.plugins	setup-brazilian-regions-hook	0.1		N/A
br.com.thiagomoreira.liferay.plugins	setup-brazilian-regions-hook	1.0.0.0		N/A
br.com.thiagomoreira.liferay.plugins	setup-brazilian-regions-hook	1.1.0.0		N/A
br.com.thiagomoreira.liferay.plugins	setup-brazilian-regions-hook	1.2.0.0		N/A
br.com.thiagomoreira.liferay.plugins	setup-brazilian-regions-hook	1.3.0.0		N/A
city.smartb.cccev	cccev-concept-api	0.15.0		f65331723440715478f255693ac4c978298235b6
city.smartb.cccev	cccev-concept-api	0.15.0-RC2		804d871f18df3d634e342aa5100884f2b0243b69
cloud.altemista.fwk.webapp.modules	cloud-altemistafwk-webapp-common-conf	3.0.0.RELEASE		f83668f996821b6c624842e38b36d36cef1cbc45
cloud.altemista.fwk.webapp.modules	cloud-altemistafwk-webapp-common-conf	3.0.1.RELEASE		1c637bf370f3724b8f9a89e0fc8112fac76d265e
cloud.altemista.fwk.webapp.modules	cloud-altemistafwk-webapp-common-conf	3.1.0.RELEASE		05f209259604ce1c5ea1e7e3aef8497f9c57f0c7
cn.deepbit	deepbit-start	8.3.7		N/A
cn.deepbit	deepbit-start	8.3.9		N/A
cn.deepbit	deepbit-start	8.5.1-20220120		N/A
com.axiastudio	zoefx-core	0.1.1		4e013d74435324c6339f7ecd801e93652edff4f5
com.axiastudio	zoefx-core	0.2.0		6c0c01d107936388424e8d9f4aa9afd3f21c4a8c
com.axiastudio	zoefx-core	0.2.1		d777cd63a32a45df5e429f50f7ac0d431da4e151
com.collectiveidea.twirp	twirp-kmm-runtime-tvosarm64	0.4.0		N/A
com.collectiveidea.twirp	twirp-kmm-runtime-tvosarm64	0.4.0	metadata	0de7f1e116fc6d4ccd011d36aef07686c22eae0b
com.cvent	cvent-parent	1.0.0		N/A
com.cvent	cvent-parent	1.0.1		N/A
com.cvent	cvent-parent	1.0.2		N/A
com.cvent	cvent-parent	2.0.0		N/A
com.cvent	cvent-parent	2.0.1		N/A
com.datastax.spark	spark-cassandra-connector-assembly_2.11	2.5.1		9aa91487312ee0ff508fc7f1ae6d345daf1ddda7
com.datastax.spark	spark-cassandra-connector-assembly_2.11	2.5.2		9826b6d82dcaae070962daa2b3a8b10a81950f81
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.0.0-3-cca5341b		581721d110e300d49560e6152915c90af2eba492
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.0.0-388-16474590		7dd26f1a45b5daf318033d3f1ecc647d8a72580f
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.10.0		13d2d19426c0a60f55e939f6623471ca3047d696
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.11.0		9ffda7d33bf86f50dc6e5b64018dd333a7fd5320
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.11.1		b9653be319b45dea856fd0fc809e1f5e1140c4e6
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.11.2		bd4c897e7962ef4d371269c76afc05ff9610df60
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.11.3		cd4b27c965be4fd09f27f0208d7bf576da2c274f
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.11.3-11-54c38f45		3418793c43af11c6b2db571f150e91a2a26e6dfc
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.11.3-6-95429ed2		4eba74ef2f17b47b074d43f28254a32f729e9b4e
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.11.3-7-34838009		e96b851bcfc507c1cbb3baf92699091ab2b6bef8
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.0		b2e2b6d616f04bf4e4ffc2cd99291ecbffb84c83
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.1		09e986d284d0c141555adc81f4d4a484ac5393a3
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.10		042ccd7347b46366455937a1e4518731f93b07d9
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.11		02a89e315a3d3aea04fdba3d9da12cb687f54cb6
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.12		cf7f0da52a7daab67c1051c9366d547ea0560132
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.13		820010e033b25ce81c3f828a0eeb0724ec2bcef3
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.14		036605a30382e0eac792ce9eedd073e42a677c59
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.15		9f950e5e15cbbbb8e4abca2ebc3406e8539db27a
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.2		5d2d6151f63d5ab088fc653d8d1f8a05fa3b4e46
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.3		56b5a49c6eef88976dc9332ad01de9cdd120d957
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.4		c4ab09e61cc21549f8b8d325930f0df5758bd311
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.5		cb4a06dd870b0fccd5fadfbaf0e3cd73bfedf49f
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.6		196395306f899508138a673ddfd66c3591dec6e9
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.7		f25907c40b1c9b246089dafc9ccad05807786eb3
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.8		4474539d09486f553b73a804a5cad589df3b4eee
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.12.9		eaa84605dad55c95dfaac09cf69afe5949c71d31
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.9.0		517ab7d24bfd095bd5a2d2a8f792f478a23c7b25
com.disneystreaming.smithy4s	smithy4s-protocol_2.12	0.9.1		b22888538dcaff7a6a02e20560e00f9e24df364a
com.github.cafdataprocessing	worker-policy-handlers-shared-document	1.0.0-3		0a24c7a46a418defceae717b8a83a53c68ed3839
com.github.cafdataprocessing	worker-policy-handlers-shared-document	1.1.0-21		1ca00c9f6855097328efa72a562b62afafee4b26
com.github.cafdataprocessing	worker-policy-handlers-shared-document	1.2.0-43		1aedf5f39abf2e0ca7be602965bbcca4a40687c3
com.github.cafdataprocessing	worker-policy-handlers-shared-document	1.3.0-48		ad36614074b24931a11d48aa905e9da62f6fe62e
com.github.cafdataprocessing	worker-policy-handlers-shared-document	1.4.0-60		fcf416b3e09b9382d95c62ee4449de58fe887b0c
com.github.cafdataprocessing	worker-policy-handlers-shared-document	1.5.0-84		0b459257fee0c76c37e9d8dd586d5f2467015ff4
com.github.keran213539	commonOkHttp-spring-boot-starter	0.4.1		7573615dcbeb8b7a66866f285ce384bef68e0230
com.github.keran213539	commonOkHttp-spring-boot-starter	0.4.2		f52872afbe775c96266221936649786f93a5ef61
com.github.keran213539	commonOkHttp-spring-boot-starter	0.4.3		5391f3facd6352e4b33f0b64c5cc080be31a2d08
com.github.keran213539	commonOkHttp-spring-boot-starter	2.1.3.RELEASE		46561595199652ac071f9633d5545cda2b788ee3
com.github.krzysztofslusarski	continuous-async-profiler-parent	1.1		N/A
com.github.krzysztofslusarski	continuous-async-profiler-parent	1.2		N/A
