biz.netcentric.cq.tools.aemmjml	aemmjml-initialcontent-package	0.1.0		N/A
com.aceevo.ursus	ursus-example-jersey-client	0.2.10		f21be3c92ad9d7c837fa7766a7eb9091ec0c74de
com.aceevo.ursus	ursus-example-jersey-client	0.2.11		c140199ebddd158f5e30dbc0211c666cc447e5b6
com.aceevo.ursus	ursus-example-jersey-client	0.2.12		c653e61405298557264d5a3332da54a4aab2b8ed
com.aceevo.ursus	ursus-example-jersey-client	0.2.13		4a8d849932f043df7a285554d83c5952c9658294
com.aceevo.ursus	ursus-example-jersey-client	0.2.14		34dd7f5cef0f95a59a337416cbb3e40714b520b3
com.aceevo.ursus	ursus-example-jersey-client	0.2.15		5a3ae2199dc59e1f300fcca0600feaaa732bad86
com.aceevo.ursus	ursus-example-jersey-client	0.2.3		de14764b1db27f2e57509cfc46f672a12d1945dd
com.aceevo.ursus	ursus-example-jersey-client	0.2.4		b1dbb5adcd754e400b573ee7973cb34612929fcd
com.aceevo.ursus	ursus-example-jersey-client	0.2.5		69b545f3c2891298d0de9036066565e4913b272d
com.aceevo.ursus	ursus-example-jersey-client	0.2.6		4ca1a002a8f7478c1a66a26c377da8a63dd0d4b2
com.aceevo.ursus	ursus-example-jersey-client	0.2.7		a6e0d3ed64a88527852ade618216dbb5e1965b3d
com.aceevo.ursus	ursus-example-jersey-client	0.2.8		e50634480429960d8aca68fb866f8e88bba99563
com.aceevo.ursus	ursus-example-jersey-client	0.2.9		8bbfe5a69663ee4fdddf77e96487a0849ed849d4
com.chuusai	shapeless_native0.4_2.13	2.3.10		be59c2d491071eab75bdbcc79da54cba88431d72
com.chuusai	shapeless_native0.4_2.13	2.3.11		c6f2201aa777cd1366b8a019f61d79536a6863c1
com.chuusai	shapeless_native0.4_2.13	2.3.4		67271d57b54abed4fdb7d3ed05875d85c90ce415
com.chuusai	shapeless_native0.4_2.13	2.3.4-M1		59043de2c0fa2d056e6a9e0dd06d723499215918
com.chuusai	shapeless_native0.4_2.13	2.3.5		20455434be32ffddd78658d35f9757137908effe
com.chuusai	shapeless_native0.4_2.13	2.3.6		e71b15b5dde821b41a0de19579594d297306b1dd
com.chuusai	shapeless_native0.4_2.13	2.3.7		1e3cad5e9eec38d4a57ee947ebd2939f02da0b63
com.chuusai	shapeless_native0.4_2.13	2.3.8		5125b7f7a034c002d2c879eaace0a5c5e7c370b1
com.chuusai	shapeless_native0.4_2.13	2.3.9		27e5c63bf51665c46c0e2c6ef6566f9210116f41
com.cloud-lego.spring.boot	lego-filter-chain-spring-boot-autoconfigure	0.0.1		c78a116e23cd646de3fa207aedfdcd56926b7bf5
com.cloud-lego.spring.boot	lego-filter-chain-spring-boot-autoconfigure	0.0.2		91927dfa628c42b5ff93513f39f01176f7dd2a8e
com.developmentontheedge.be5.modules	be5-modules-core	0.1.1		235336cd42cc38f0721f90ecd37482c219335d10
com.developmentontheedge.be5.modules	be5-modules-core	0.4.0		35d38e22e9e4030899ed9c36cee865a1d3e3aa76
com.developmentontheedge.be5.modules	be5-modules-core	0.4.1		b3fdc67147121a0d32cb6e3444d4f770e1e9c73c
com.devops4j.io	devops4j-io	0.0.1-alpha		7c2b36b2f2f9b96d244a6372046583ebe29e1dcf
com.dwolla	async-utils-finagle-22.4.0_2.12	1.1.0		3249113abbcaf86e9024274f2132b839c7c812df
com.dwolla	async-utils-finagle-22.4.0_2.12	1.1.1		e2103d8edd66a4a1b322e0eedd0e756e4f43f1d6
com.dwolla	async-utils-finagle-22.4.0_2.12	1.1.2		53deaaccb5a1ef7141ff772585d3d62fba950e97
com.dwolla	async-utils-finagle-22.4.0_2.12	1.2.0		dee4d7d1fad54234af079c6546a8f8cef8e6f9b7
com.eed3si9n	shaded-scalajson_native0.4_2.11	1.0.0-M4		6f0589dc70185928124e12854b1014e9b4ed70ad
com.forsyth.novm	novm-compiler	0.8.0		a678950339151e9316ae4759518b9f61dad85dfe
com.forsyth.novm	novm-compiler	0.9.0		2dd6aac8bdbb9ad1e4a2ad791bca538a46f1e140
com.forsyth.novm	novm-compiler	1.0.0		9373124213a49dad0bb3a86d91ffae45b0993d88
com.forsyth.novm	novm-compiler	1.0.2		221f41d8a362636fdc89c1c9df3929932079dd5f
com.forsyth.novm	novm-compiler	1.1.0		3ad427d6263abe60d1448462a0e98f088d6decfc
com.forsyth.novm	novm-compiler	1.2.0		69978f0f16b4ccf0ebc00ad6c63ac9f2ee1c4706
com.forsyth.novm	novm-compiler	1.3.0		12bf8a696fb50d0f40e04aec25d5df98633138a7
com.forsyth.novm	novm-compiler	1.4.0		b81e16cd1ba23e37abcd3bed0af4282763080b14
com.gccloud	gc-starter-plugins-cache-redis	1.0.2-beta		N/A
com.gccloud	gc-starter-plugins-cache-redis	1.0.2-beta2		N/A
com.gccloud	gc-starter-plugins-cache-redis	1.0.2-beta3		N/A
com.gccloud	gc-starter-plugins-cache-redis	1.0.2-beta4		N/A
com.gccloud	gc-starter-plugins-cache-redis	1.0.2-beta5		N/A
com.gccloud	gc-starter-plugins-cache-redis	1.1.0-beta1		N/A
com.gccloud	gc-starter-plugins-cache-redis	1.1.1		N/A
