co.adcel.android	toolkit	1.0.0		N/A
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.10.0		20f3d3aff97e728a6b1b1687d7b11ace0deda408
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.10.1		20f3d3aff97e728a6b1b1687d7b11ace0deda408
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.10.2-preview.2.1.20		20f3d3aff97e728a6b1b1687d7b11ace0deda408
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.9.0		20f3d3aff97e728a6b1b1687d7b11ace0deda408
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.9.0-RC.3		df7917c23e1220901c70d7960a1bcec3667b1382
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.9.0-RC.4		4b13b1516404d245c66b41ade243673acf5d0b24
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.9.0-RC.5		20f3d3aff97e728a6b1b1687d7b11ace0deda408
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.9.1		20f3d3aff97e728a6b1b1687d7b11ace0deda408
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.9.2		20f3d3aff97e728a6b1b1687d7b11ace0deda408
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.9.3		20f3d3aff97e728a6b1b1687d7b11ace0deda408
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.9.4		20f3d3aff97e728a6b1b1687d7b11ace0deda408
co.touchlab.skie	configuration-annotations-2.0.20-jvm	0.9.5		20f3d3aff97e728a6b1b1687d7b11ace0deda408
com.acorns	reeds-shapeless_2.11	1.0.5		8dc91f50d181544b83d4af33fe41addf11c6f13c
com.acorns	reeds-shapeless_2.11	1.0.6		303f635148883feeecb9dc6b6d2182323d11482c
com.acorns	reeds-shapeless_2.11	1.0.7		81d568166dc2cb236a02971026680efb911a7884
com.acorns	reeds-shapeless_2.11	1.0.8		a613058c0090b92ba3b748661304bfdd17f975f8
com.adobe.cq.social	cq-social-ugcbase	1.1.34		8b72c5445133be45589a484f813b91712ee930b3
com.adobe.cq.social	cq-social-ugcbase	1.1.38		c2c4901e4635759cc96dc88a73b71520287fa200
com.anrisoftware.sscontrol	sscontrol-testutils	1.0-alpha-3		38303affceba01f91277fe5061781fb87eede7c2
com.anrisoftware.sscontrol	sscontrol-testutils	1.0-alpha-4		e211da1c816a37737a3c2b5cf64bbda2d747a4fc
com.bbossgroups.pdp	pdp-cms	5.0.2		786b44d23429961d70e32e67f99ad92c6d74805c
com.bbossgroups.pdp	pdp-cms	5.0.2.1		3ad35012a33acfe9ec5bd9765ee24f27d484fb2a
com.bbossgroups.pdp	pdp-cms	5.0.2.3		6051e4bd1e1b149b35d19912918e0fa1798b377f
com.bbossgroups.pdp	pdp-cms	5.0.2.4		b15a6d5c40d7c804d9b89b611a09de8dfa3c0206
com.bbossgroups.pdp	pdp-cms	5.0.3.6		bce77ac7588bf1cb5e396894b8e71dbac4f66f44
com.bbossgroups.pdp	pdp-cms	5.0.3.9		de369535f17a5ac3ed50fd8dcb50a4b73f12dc8b
com.bbossgroups.pdp	pdp-cms	5.0.3.9.1		6825679fffb804f18af743fde62e3b7dc2eb34d2
com.bbossgroups.pdp	pdp-cms	5.0.3.9.2		d47dcb8f20c68cf57362dd4d8b707e3864b2f768
com.bbossgroups.pdp	pdp-cms	5.0.9		04a2cee1eb21d67e95e1bb7ff5d94677cfd97a5b
com.bbossgroups.pdp	pdp-cms	5.6.2		5e33e0cdc9ae48e813f085eb5b30c6956a9b4512
com.bbossgroups.pdp	pdp-cms	5.6.4		5b05cc87deb143b2d7785fe79af8767dcb78f2f7
com.brettonw.bedrock	secret	1.5.26		92e787172d923adcbd367e6831cf72e2d8488fdd
com.brettonw.bedrock	secret	1.5.27		0a240fbc6f050b4f314f85b3044494e142cfacdd
com.brettonw.bedrock	secret	1.5.28		e3dd282c5ea767bfa35dcb35e5dad4f65d059ad1
com.brettonw.bedrock	secret	1.5.29		b56c3d9d3ff73171f93a9433159f3f9a34cb6806
com.brettonw.bedrock	secret	1.5.30		6b5b6523bc1b1f9f6e6fe6b99e5a1fc2d6d5339e
com.brettonw.bedrock	secret	1.5.32		3e4ef0b09f6ac559bbd81b8281833468f3ead529
com.brettonw.bedrock	secret	1.5.33		49afb9f3de40e01e16778effe53df0eda2d6c7ee
com.brettonw.bedrock	secret	1.5.34		56107ef1e147bc755d398831b7f879b077b006b3
com.brettonw.bedrock	secret	1.5.35		0faaebf6400f97f044d2a5e6748e2de68cafe6eb
com.brettonw.bedrock	secret	1.5.36		106d19e9021e7494345d07fbdf499990df0d9d68
com.brettonw.bedrock	secret	1.5.37		f53815be3a8bdb086ef01dd17283a90f5a73c8dd
com.brettonw.bedrock	secret	1.5.38		d67e151b5e8e9add3eb9003f15650c32a8613327
com.brettonw.bedrock	secret	1.6.0		5ce50cc8c5b95c5d500bfb11a3d354c6f5128239
com.brettonw.bedrock	secret	1.6.1		8fa8200da022c28fe656d44702cc852ea99fe481
com.brettonw.bedrock	secret	1.6.2		2596b3bcf0055a789bdfad04198523ee36c290a1
com.brettonw.bedrock	secret	1.6.4		d59c70da0bd251f0128c8602cda569c8c9de0c72
com.brettonw.bedrock	secret	1.6.5		63095b8fe5fef65d0651144d15ceb812eaf6039d
com.brettonw.bedrock	secret	1.6.6		d21e5c4be140945b8f77b34b556f8def73ff4b99
com.brettonw.bedrock	secret	1.6.7		c053382755c8376d10cae07c3ee3f268d87cb834
com.brettonw.bedrock	secret	1.6.9		dce448b284f1e7900cb240976b713f11dd182db8
com.brettonw.bedrock	secret	1.7.0		e442464db5118c7dbe8ce0a8bca6948954402fe4
com.brettonw.bedrock	secret	1.7.1		ff0421b43532b1b1bff32820eab40552455481df
com.brettonw.bedrock	secret	2.1.0		b45e1a3fc26274468d03df1b92ab3afdc43d0643
com.busymachines	pureharm-db-doobie-ce2_2.13	0.3.0-M1		b854c446c60328a3c87585bc6b1bfe999a7dc3a7
com.daml	executors_2.13	2.10.0		8b8e200fff2b702390397e49134b12eb99ac4d7d
com.daml	executors_2.13	2.10.0-adhoc.20240830.12942.0.v3e4e9451		8b8e200fff2b702390397e49134b12eb99ac4d7d
