be.vlaanderen.informatievlaanderen.ldes.ldi	ldio-common	2.12.0		4ecc43c97be46ebf5ff08705d105e0299abd672f
ch.digitalfondue.jscover	jscoverproxy-maven-plugin	1.0		43076f6a4b2e73382f6cbe12269714cf92aa6c0e
ch.digitalfondue.jscover	jscoverproxy-maven-plugin	1.0.25		abaaab4e313b0f7aeaece0c742dd4960e4b1cec3
ch.digitalfondue.jscover	jscoverproxy-maven-plugin	1.1.0		0070f147a0f2258fbaf181d6ce6896fb3d59284a
ch.digitalfondue.jscover	jscoverproxy-maven-plugin	1.1.0.1		8064905fb8bfa02e685890ee9d04dc2ed6fa7673
ch.digitalfondue.jscover	jscoverproxy-maven-plugin	2.0.1		d6e74d315837a490b9bcbdac9c72c1429a6c16c4
ch.digitalfondue.jscover	jscoverproxy-maven-plugin	2.0.2		e1b7c1ad4a729277fe69a5890bd5faac1db6bfc0
ch.digitalfondue.jscover	jscoverproxy-maven-plugin	2.0.2.1		13cb359e029013e8fc69a745cd21a2e469bc3e37
cn.hetra	hetra-mvc-autoconfigure	0.0.1		dd46f500ad1141fd0d7fd3980edf7d159f897a8b
com.amazonaws	aws-athena-federation-sdk	2021.18.1		26bcc958bab9f541aa7d3221d0f8dbbfeb9c750e
com.amazonaws	aws-athena-federation-sdk	2021.18.1	shaded	ad71459a8d9a465957d3d8320b985ed6eeec5be6
com.amazonaws	aws-athena-federation-sdk	2021.18.1	with-arrow	2813d6668d82d3093562d22ac991c06f6a05d634
com.amazonaws	aws-athena-federation-sdk	2021.18.1	withdep	fcb50a163cece6bb0856cf787ea7e212180defd8
com.amazonaws	aws-athena-federation-sdk	2021.21.1		31a6cab27c7cbfdc28c2d8eb420f07a210dc5881
com.amazonaws	aws-athena-federation-sdk	2021.21.1	shaded	c288a9e0ff90c8efe6532eb6e991724a3f212b67
com.amazonaws	aws-athena-federation-sdk	2021.21.1	with-arrow	b64b6a08ea4a50dc6dce9af024ae2453922255d8
com.amazonaws	aws-athena-federation-sdk	2021.21.1	withdep	01a358a5c8d256e0df77a1aaf8737476501a69e5
com.amazonaws	aws-athena-federation-sdk	2021.27.1		b5ab5f809f84c3d9ebe6830c6ffa2bb2b54a902c
com.amazonaws	aws-athena-federation-sdk	2021.27.1	shaded	1f8c44d7c5b6c270dcc689d15dbc11e3fe8ebf67
com.amazonaws	aws-athena-federation-sdk	2021.27.1	with-arrow	109a0124809026b3958892b1f51f3f88c0a560e3
com.amazonaws	aws-athena-federation-sdk	2021.27.1	withdep	627b082ee7e8a3ac1654cdb4cf83a6993e6ab458
com.amazonaws	aws-athena-federation-sdk	2021.30.1		d60cefa3c6e74e3ac0172416023e4ddba5530d20
com.amazonaws	aws-athena-federation-sdk	2021.30.1	shaded	9fa2130b2c707d8f3bfd00791d4db9b21988f786
com.amazonaws	aws-athena-federation-sdk	2021.30.1	with-arrow	8c639b03990722419e8a674c335b88ac07e410c6
com.amazonaws	aws-athena-federation-sdk	2021.30.1	withdep	129b728a7ca5d8354880755e839490e373eed352
com.amazonaws	aws-athena-federation-sdk	2021.33.1		e585a8bb88428cd441ad4fb73fa90033da256e5a
com.amazonaws	aws-athena-federation-sdk	2021.33.1	shaded	76aab5b7a453918df22a29ec85de3d8b0d8363de
com.amazonaws	aws-athena-federation-sdk	2021.33.1	with-arrow	ab1345472cd537bcaebdf76dee4a6beb56e266e1
com.amazonaws	aws-athena-federation-sdk	2021.33.1	withdep	c137b30c333f994969ca63ff0334fddedb18c3e3
com.amazonaws	aws-athena-federation-sdk	2021.37.1		961b92640f436861f2299402aca884da007798ac
com.amazonaws	aws-athena-federation-sdk	2021.37.1	shaded	621459f19f7fbe979bb5294700bc3a7abd110341
com.amazonaws	aws-athena-federation-sdk	2021.37.1	with-arrow	130cebceadca86d92dcf2798213538fcce2df421
com.amazonaws	aws-athena-federation-sdk	2021.37.1	withdep	1408e8cada84b0ce8f9a544e139a408cc83ccada
