be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	skolemisation-transformer-processor	2.12.0		N/A
ch.admin.bit.jeap	jeap-message-exchange-service-instance	2.12.1		N/A
ch.admin.bit.jeap	jeap-message-exchange-service-instance	2.13.0		N/A
ch.admin.bit.jeap	jeap-message-exchange-service-instance	2.14.0		N/A
ch.admin.bit.jeap	jeap-message-exchange-service-instance	2.15.0		N/A
ch.admin.bit.jeap	jeap-message-exchange-service-instance	2.16.0		N/A
ch.admin.bit.jeap	jeap-message-exchange-service-instance	2.16.1		N/A
ch.admin.bit.jeap	jeap-message-exchange-service-instance	2.17.0		N/A
ch.admin.bit.jeap	jeap-message-exchange-service-instance	2.18.0		N/A
ch.admin.bit.jeap	jeap-message-exchange-service-instance	2.18.1		N/A
ch.squaredesk.nova	parentpom	4.0.0-beta-1		N/A
ch.squaredesk.nova	parentpom	4.0.0-beta-2		N/A
ch.squaredesk.nova	parentpom	5.0.0		N/A
ch.squaredesk.nova	parentpom	5.2.0		N/A
ch.squaredesk.nova	parentpom	5.3.0		N/A
ch.squaredesk.nova	parentpom	6.0.0		N/A
ch.squaredesk.nova	parentpom	7.0.0		N/A
ch.squaredesk.nova	parentpom	7.0.1		N/A
com.antgroup.antchain.openapi	openapi-ak_8e639b1417154bf0b5ecf4edaa7d6aa9	1.0.0		b803d303b44d52f0cbaf125b11365979d36724e7
com.couchbase.lite	couchbase-lite-java-native	1.1.0		5f3265b7d02c900d65c6205f5421041e603147ba
com.crescentflare.smartmock	SmartMockLib	1.2.1		N/A
com.github.ajalt.mordant	mordant-core-wasm-js	3.0.0		N/A
com.github.ajalt.mordant	mordant-core-wasm-js	3.0.1		N/A
com.github.ajalt.mordant	mordant-core-wasm-js	3.0.2		N/A
com.github.beothorn	junrar	0.6		df8f9210c7329e972ee97a2c7222bfdbd0333a62
com.github.fomkin	pushka-core_sjs0.6_2.10	0.6.0		2189f0f039ba10c13147765151fc6e314d47ca70
com.github.fomkin	pushka-core_sjs0.6_2.10	0.6.1		fb1814339764350a5cc19fa6ee5d621a7377a161
com.github.fomkin	pushka-core_sjs0.6_2.10	0.6.2		c8abb3c4b35a1d8cca1352e5369b63f2ef74e755
com.github.fomkin	pushka-core_sjs0.6_2.10	0.7.0		1c69f7155fdc92641a31f7e4e51230d2c5a24e07
com.github.fomkin	pushka-core_sjs0.6_2.10	0.7.1		a54e933055944ba7cc2bd8c6720462a76307701c
com.github.fomkin	pushka-core_sjs0.6_2.10	0.8.0		f5fbea776226b427139d025332fc14e11671d731
com.github.kevinsawicki	android-pusher	0.1		dfd44085545d53d9f6195a3b8f58ead46038419e
com.github.kevinsawicki	android-pusher	0.2		02ef01b1441cc03f7dee043e6d4e9d948f87613a
com.github.kevinsawicki	android-pusher	0.3		5b0a9ec72da575e3798ce690478e9212ed3db4a9
com.github.kevinsawicki	android-pusher	0.4		043b4f364f57eb0e9f26b2a598ddb7081487bc49
com.github.kevinsawicki	android-pusher	0.5		b5890443f29e08c36abdf12702c79051d294c9b8
com.github.kevinsawicki	android-pusher	0.6		ea53585070abe6e74f7cfeb175def92b12530be8
com.github.tknudsen	attribute-analyzer	0.0.3		66d53f3b3de27ddc358b2f957f7ba3d2121cb65f
com.github.tknudsen	attribute-analyzer	0.0.4		d144ec0fa37390bea5b18fc1f499326facc0a334
com.github.tknudsen	attribute-analyzer	0.0.5		ca424245b467669caecc70c3477c6d7a74cfd07d
com.github.tknudsen	attribute-analyzer	0.0.6		afd25a28ee59b8f9bf893b2e2e297baeb5bdd113
com.github.tknudsen	attribute-analyzer	0.0.7		14ff0bdd8729912c11088940e7734218f3fdc7d5
com.github.tknudsen	attribute-analyzer	0.0.8		08fb07f9b2f41ef47702005db62df7e30f4b20a4
com.github.vicpara	exploratory-data-analysis_2.10	1.0.0		04f6c6cfa8436390983886f83e1f32c2bf966f43
com.github.vongosling	dependency-mediator-maven-plugin	1.0.1		2a94decfa72214060023dd6fa1a494bfb26b437f
com.github.vongosling	dependency-mediator-maven-plugin	1.0.2		446abe962fafae4736103de8ddeca76409f43a40
com.github.zengfr.platform	access-sdk-wxmpp	2.7.2.6		9d35f42d63140aa719d87940851a2fef420f4a83
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.10.0		5c7cf1d42468ab4fb0ceb0bbd7d96204881d0761
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.11.0		6fa7d6fd5411d5158b7fe4e05006d1420cf9953e
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.12.0		6927994fbd70feaf6834b0f95168801df3645145
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.13.0		d4f54b9d4c3109f0bacf02a60257a6bbfc336164
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.14.0		c001943f84691669ed2a75a47f2525da859b0d30
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.15.0		db2c3034ace89527bb2b543bc0481e67b14e4cb5
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.16.0		dcdf23561c656ed010815a41d83a109157893a64
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.17.0		51f9dbc6a786ab88da7959a90e14753dbc7c83b0
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.18.0		87cdaa212794fc6b2a50dc47de5acd4e09142cc5
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.19.0		3b8e252ef9e36a4a4644469274cb4a21ec6c8e56
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.2.0		cb4d4f471614878c5f082f24a5e8ab8a79c45afd
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.2.1		b75547322cf238bb7cb6626e3684187f89a517b1
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.2.2		9f307a30ba746cf6799da1c64557454d3bc68a5b
com.google.api.grpc	proto-google-cloud-dataform-v1alpha2	0.2.3		dc23899f55578d6d38d321e195ec0563d081e4b5
