ai.asleep.asleepsdk	AsleepSDK	2.0.0		N/A
ch.epfl.lamp	dotty-library_0.10	0.10.0		0a3eeff11e882d32712a6bd3bb9b835135075940
ch.epfl.lamp	dotty-library_0.10	0.10.0-RC1		a2f0ae0f9f81d77a774a4bbed2919a3b4a41d127
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180705-61840b6-NIGHTLY		b41971555cb1033886c0710da7769e5ffa791f9e
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180706-7a80060-NIGHTLY		856f270370483eebd7aac386e246f2975409fdf2
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180707-64bd0fe-NIGHTLY		6af98071cf4ba14cc45dc4e099e00f7759cfa431
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180708-346b8fa-NIGHTLY		e014a61c11eebbdcee823eb43417519b0dd07f40
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180709-acd0c6e-NIGHTLY		c207c31885bd96d8bde11f1bc0c61c32d1125a97
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180710-385082b-NIGHTLY		00b6cfb6d497782f379c6302cb284aa4f7e844c0
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180712-2e53688-NIGHTLY		66a4374e3cbd700e1a9cd974294bc59461a8fb09
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180715-b668f16-NIGHTLY		e6cc6ed27fc66b1517dab5c447b627b657254cae
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180716-76972ab-NIGHTLY		8a33b2691e7856f9bc607a38219add0a722a0ec2
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180717-37a5443-NIGHTLY		9a89205ce4fec866211f39c3ab172bfcf21d9c33
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180718-bfbd1af-NIGHTLY		0c23c85b0bc67f09b044b568b2736722f77ca9e8
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180719-fe8d050-NIGHTLY		75d05035fb90c83525ad544cfff4be6a409ca109
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180802-38c066f-NIGHTLY		1a294d25ea0137b9f1b079f446d32ed00a9f451f
ch.epfl.lamp	dotty-library_0.10	0.10.0-bin-20180803-429c1f2-NIGHTLY		37674c653024e38ffe2d97e027b0f81bf8ba3064
