ba.sake	sbt-build-extract-core_2.13	0.0.1		dc786ca8a51fd3aab071c7feb22643b08b19660e
ch.epfl.scala	scalafix-cli_2.12.11	0.9.12		4093b692ae45c762598fe32dfc9f9e71164e2cc3
ch.epfl.scala	scalafix-cli_2.12.11	0.9.13		bff8a692fafcf40f5de1344d14797e87219871ed
ch.epfl.scala	scalafix-cli_2.12.11	0.9.14		377290c668b9b7c2150e68585c2eed6ab918c912
ch.epfl.scala	scalafix-cli_2.12.11	0.9.15		1ea2907ed0d2ddd1f6b896abb56aa29dc4158b33
ch.epfl.scala	scalafix-cli_2.12.11	0.9.16		ba77ac615562b1d3b126742d13e4475129f13967
ch.epfl.scala	scalafix-cli_2.12.11	0.9.17		ad55575a8f80cd4a7ac5ca01900ca30b59674925
ch.epfl.scala	scalafix-cli_2.12.11	0.9.18		656e3a9c75cb8dfb9ea533affb37df0f0bf59720
ch.ethz.inf.vs	cf-helloworld-server	0.18.7-final		e3dbfd0342313b08d7b0c51ada519429e0adfafb
city.smartb.cccev	certification-f2-api	0.14.0		1d085d2087ac9e2e3f7ee48397c35118195ffa3c
city.smartb.cccev	certification-f2-api	0.14.1		fa610f26eb6eaee8ed5fa188a8ad4fc08f3237f5
city.smartb.cccev	certification-f2-api	0.14.2		a3b28d5f0d0285003de664e47ee500c46f630c9f
city.smartb.cccev	certification-f2-api	0.15.0-RC1		d10037546b80c5b156e4b4460c260232c7d72481
com.aliyun.emr	emr-maxcompute_2.11	1.4.0		23d6b33cbf6956438ef28de2ad9790c8ccc13273
com.aliyun.emr	emr-maxcompute_2.11	1.4.1		f6f59ea962658bb8e0a512567756c07cb32fd46d
com.aliyun.emr	emr-maxcompute_2.11	1.4.2		a99684016b99524738edbd846c3b3539c6df9ca5
com.aliyun.emr	emr-maxcompute_2.11	1.4.3		69d4a49019f729b3532970acd6d7d82f9efd47c3
com.aliyun.emr	emr-maxcompute_2.11	1.4.4		cf7b2edcaec4da00ba8e5d17764feed41aadc3ba
com.aliyun.emr	emr-maxcompute_2.11	1.5.0		1c18bdc295be7d5a186b25281c7bde58ae4df44a
com.aliyun.emr	emr-maxcompute_2.11	1.6.0		0d030a7ee3838df4e4a12031cca5d8b09a887f04
com.aliyun.emr	emr-maxcompute_2.11	1.7.0		edbd4a3e3d030387be892af0a9c4d4c2647dc977
com.aliyun.emr	emr-maxcompute_2.11	1.8.0		6381359695fc560e0d16d42fa7765bf36e51f12c
com.aliyun.emr	emr-maxcompute_2.11	1.9.0		8c11830c451113485bb7d5380da4e7766d383c9f
com.aliyun.emr	emr-maxcompute_2.11	2.0.0		c6d0df553d04cb3b6ec6c9503d6024c6e9da3b43
com.aliyun.emr	emr-maxcompute_2.11	2.1.0		71a30c45fe75ac37df4b452b4b537c679f5e6aaf
com.aliyun.emr	emr-maxcompute_2.11	2.2.0		338e360b3ad83f2305430aab60794558fb0a0ae6
com.aliyun.lindorm	calcite-linq4j	1.26.0		c59393ef12c802b9bd71f8a70847ba77c0dccbbc
com.aliyun.lindorm	calcite-linq4j	1.26.1		8823132e71464e23a1c07def903f5de29cc39e9d
com.aoapps	ao-javadoc-offline	3.0.0		3a0a1cc1f509d83e109032900850d96e4982ad9c
com.aoapps	ao-javadoc-offline	3.0.1		c4e2453fc95ac47abaf0ba406587e0f152458299
com.aoapps	ao-javadoc-offline	3.1.0		24de1af4cd0aec0cf676aee8545f475f87496794
com.aoapps	ao-javadoc-offline	3.2.0		09f0f26a89b0676bb7aa8bb0162b220a3b5d6069
com.aoapps	ao-javadoc-offline	3.3.0		a968f8225dcf49fdfb0d3329eeca8c9a7510529e
com.aoapps	ao-javadoc-offline	3.4.0		88e5947642fa847fe0cb1b136785b7b865b07fc9
com.aoapps	ao-javadoc-offline	3.4.1		9925f27b7fdca20129226acf702972ff7f3b4cdc
com.aoapps	ao-javadoc-offline	3.5.0		79bb53b684e883d741368baef798c33151a45046
com.beepiz.blegattcoroutines	blegattcoroutines-core-android	0.5.0		N/A
com.comcast	ip4s-test-kit_3.0.0-M3	1.4-93-f0b0dbb		0d612087cb980066f5c548a2dea457b9580dbbf0
com.comcast	ip4s-test-kit_3.0.0-M3	1.4-94-7b5d4a4		08faa47b755daeae56510f7f50f43985b3c6f560
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-103-f6b30da		3b722ae4a27ce1170806d494d3dd89d0ddba7ca3
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-105-4c40ba0		b31515b599bccab4e7b54f0ec1294f26a681521a
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-107-8f91d0a		4755a43993d5e6b1b3303052614f54d4a0f568ad
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-109-d0f0f9e		8a3fa271c5255b39cb3bae654325f170a4e90042
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-114-0dca0a6		5fadab1eb709ffc3420abf4895cb8bf36ed6cba9
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-116-aee6177		b81a1d2bf98a0ced46c21626c99e9d1ea0ac31f6
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-118-49fa0a1		7a875c1c6dc1ff395c0fb21a30c602377cb2a508
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-120-b5b65a6		28750ee52b79a608da02681ebf2faa4c312c57ca
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-122-b761acf		0971878f624d650956e329cac99683713e484ced
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-124-737c2e0		386b3c5e4ad52a8f230f2dbe824690985486edf6
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-127-625686b		26c75b165b9ee5be343c8bf6cc8360e2b7697aff
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-95-cf26fdf		5e95a608f69a4434ebda9d272b8010c9b8439752
com.comcast	ip4s-test-kit_3.0.0-M3	2.0-96-4888d3e		135103b3756fe521e7359b85174510723ce80992
com.comcast	ip4s-test-kit_3.0.0-M3	2.0.0-M1		a557e2ae247cfdc2617bc4301055504174d41456
com.comcast	ip4s-test-kit_3.0.0-M3	2.0.0-RC1		dba43792d90a35e6cb9676bb5b1cf703bb582aa6
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-128-6a7986b		04a6759950f3db2745250695feb5b479281e2390
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-2-48a7099		a3dfd420313535572a721dcd69e6406cc814fba4
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-2-8b5f8a9		713cef77a7ce7cc0090f9b554e37f7011e6205ae
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-2-ebd0688		e0ed031481b3982c22a5c92c8a148eaeac400f7a
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-3-2ded997		a6c209675daade063c2ab2a1dfa99ad95b93920f
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-4-6e4ea50		a850a77b042d3a7b12e217905594dd9e10002f4e
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-4-7204d48		9fa18f842b65aec112995113558007ea21cdd0cb
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-4-faee609		ff5b8f58a9979e9d1913a0da8eef2b871025d575
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-5-f7c6914		6398ac8a952a0773dcdc4ee96a2d7bda5c41a216
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-6-6dbde42		2e4a2a71fc51248475a51c6a8f316839e6c9554e
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-7-c13ad06		5b0d6a19cb35295154c757c7c9967881fe8cb33c
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-8-0a9b006		12b65a8e8f928cae8049a5aa9d4d4d07bc92b45b
com.comcast	ip4s-test-kit_3.0.0-M3	3.0-8-2a8baa9		8f4ca310cc7fcb60373bf91902512e66cbc52d2f
com.comcast	ip4s-test-kit_3.0.0-M3	3.0.0-M1		d62027a87199f797990d4d11a85894a5c74573c6
com.comcast	ip4s-test-kit_3.0.0-M3	3.0.0-RC1		34a7cb50fb995045d50fbce5e7092cf94e0d9bed
com.comcast	ip4s-test-kit_3.0.0-M3	3.0.0-RC2		71ec9a0c05745303305039f05312c959e9331160
com.day.crx	crx-eventlogger	2.3.10		15675362106e727251797b97dd01ec232a7763c4
com.day.crx	crx-eventlogger	2.3.11		042ca8cd4e75723c003c3867aa220b62f4f22622
com.day.crx	crx-eventlogger	2.3.16		166e3bbc8fb343b9483a339f5b193582c1427aa4
com.day.crx	crx-eventlogger	2.3.17		fc2729ec49cd4583dd69de17bd6a85df702ed427
com.day.crx	crx-eventlogger	2.3.18		10cb2a4b569666404d7f737fbbe90fbd93d49dd2
com.day.crx	crx-eventlogger	2.3.20		298c10213eccc766cc6ab368720229d5d6b632e8
com.day.crx	crx-eventlogger	2.3.26		e3b5d8be7f5148cc447828d3821f9adf9b0b56e5
com.day.crx	crx-eventlogger	2.3.27		b5f88b074f0278e7d29c2d9675f2b3b42463fa90
