br.com.anteros.social	anteros-social-android-facebook	1.0.1		N/A
cloud.oneentry	sdk-events-macosx64	1.1.1		N/A
cloud.oneentry	sdk-events-macosx64	1.1.1	metadata	f059c29fb022fea360e1679e7cb29f5de8715230
cloud.oneentry	sdk-events-macosx64	1.2.0		N/A
cloud.oneentry	sdk-events-macosx64	1.2.0	metadata	dd4760e7a507e14d7891d12564fd22cba2a30187
cloud.oneentry	sdk-events-macosx64	1.2.2		N/A
cloud.oneentry	sdk-events-macosx64	1.2.2	metadata	21a2aa465dc3f0f4523c861759899ff5a35cb7ff
cloud.oneentry	sdk-events-macosx64	1.2.4		N/A
cloud.oneentry	sdk-events-macosx64	1.2.4	metadata	0e52a6fd039880328b08fcc66c204912f40d8543
cloud.oneentry	sdk-events-macosx64	1.2.5		N/A
cloud.oneentry	sdk-events-macosx64	1.2.5	metadata	92b21e0397a9818f97b85f17e85f0b92e63c0028
cloud.oneentry	sdk-events-macosx64	1.2.6		N/A
cloud.oneentry	sdk-events-macosx64	1.2.6	metadata	b6eac50ec7d8213baa336de4bd665fd3b2892cfc
co.touchlab	kermit-simple	2.0.0		48e7dd2a9253caca4563601eb55e110167e6674f
co.touchlab	kermit-simple	2.0.0-RC		f0e87b8db6f3ac0d024c8a05cbd9ed6a14fc547e
co.touchlab	kermit-simple	2.0.0-RC	all	2d42fd210d8be2417190e4e46626793b2fadfdcc
co.touchlab	kermit-simple	2.0.0-RC2		8a66a35a27e51610bf2ad5e95834344e1d3dd391
co.touchlab	kermit-simple	2.0.0-RC2	all	2d42fd210d8be2417190e4e46626793b2fadfdcc
co.touchlab	kermit-simple	2.0.0-RC3		1da575d70cfca8f91d0b46639cc24f6d5f7d4465
co.touchlab	kermit-simple	2.0.0-RC3	all	a23e7ac88dbf2128ffef160634bd2083516517c3
co.touchlab	kermit-simple	2.0.0-RC4		80b35964c1e3c7aad21e4e92707425c8a622d5b4
co.touchlab	kermit-simple	2.0.0-RC4	all	a23e7ac88dbf2128ffef160634bd2083516517c3
co.touchlab	kermit-simple	2.0.0-RC5		4b14ae12137f77ba83a7cbdab53b1e028f3074d1
