co.actioniq	coursier-s3_2.13	0.6.2		2577ddb7f2126a3882c7026dbe1ed324044eddc6
com.apollographql.ktor	apollo-engine-ktor-iosx64	0.0.1		N/A
com.apollographql.ktor	apollo-engine-ktor-iosx64	0.0.1	metadata	3a70f04e992fc747aba84e7c8dcbcb7ca0b33e9f
com.apollographql.ktor	apollo-engine-ktor-iosx64	0.0.2		N/A
com.apollographql.ktor	apollo-engine-ktor-iosx64	0.0.2	metadata	838d94e0fa3eccda4abc9bb9ef141edc541f8c0b
com.apollographql.ktor	apollo-engine-ktor-iosx64	0.1.0		N/A
com.apollographql.ktor	apollo-engine-ktor-iosx64	0.1.0	metadata	63d1c2b197666341889786aecea0678a0c65232c
com.apollographql.ktor	apollo-engine-ktor-iosx64	0.1.1		N/A
com.apollographql.ktor	apollo-engine-ktor-iosx64	0.1.1	metadata	12851c52c3611bf0100c36ccec61c9632b5adce2
com.checkmarx	cx-client-common	2020.2.11.SCA		062acef35304dedf54ca412cc36e86ac48773bb3
com.checkmarx	cx-client-common	2020.2.11.SCA	jar-with-dependencies	780e9375fd7b651ea1053370d24aed82647c0b2b
com.checkmarx	cx-client-common	2020.2.15.SCA		261a0402ee67f37cd4007df4efb639adf7dda76d
com.checkmarx	cx-client-common	2020.2.15.SCA	jar-with-dependencies	22d3e26fa0721f88036ca11814e0b191bbccbe32
com.checkmarx	cx-client-common	2020.2.20.SCA		e945110036dbb4cd36f0d0cee34ec925ab671aab
com.checkmarx	cx-client-common	2020.2.20.SCA	jar-with-dependencies	e5905db6685867f79e32064a2780baa2d279aa1d
com.checkmarx	cx-client-common	2020.2.23		a47065c7f3deed05b423f79a537298705a8c5284
com.checkmarx	cx-client-common	2020.2.23	jar-with-dependencies	4375c809228c09ad4e3aeccb251fddfff942fa37
com.checkmarx	cx-client-common	2020.2.24		f3e712044c30416df1123cea2b9a31087f15eb22
com.checkmarx	cx-client-common	2020.2.24	jar-with-dependencies	86181bea3371e11be4f24c0b560b6ed60609c740
