br.com.objectos	preconditions	0.2.0		041446723d949a35fdf7fe2b09be05b382094d74
cd.connect.composites.java	connect-composite-restapp	1.1		ccfef090ddd91fb570497393e3a120036753bfe8
cn.gybyt	tools	0.0.1		N/A
cn.gybyt	tools	0.0.2		N/A
cn.vertxup	zero-excel	0.4.10		dd2ca668e0e3a881d8f5d990544c0a8dfa05cf21
cn.vertxup	zero-excel	0.5		a612eba1335ea34e75db7fd043b0ab5f3c3bffae
cn.vertxup	zero-excel	0.5.1		379446a9206ffbce11d4ac0d55f5e25bbd209744
cn.vertxup	zero-excel	0.5.2		850c0607b5763bfadc7d221548ae64a39912438a
com.aapbd.maventest	maventest	1.0.1		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.0		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.0	metadata	a3a9cc6a442e30c2cb0a32e043a6470ae4664221
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.01		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.01	metadata	374edb811667b05a3feb008ee630fe62f6d4de95
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.02		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.02	metadata	2b39e98d89fb094077e00741692c917b37829a32
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.03		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.03	metadata	a9b28ca55235c14c25b9d28c80d8dcd26804cac4
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.04		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.04	metadata	3cc34e2186e39e693a1b438f33252ba2bdfd685d
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.05		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.05	metadata	d37d2de07793c96ffc8211306eff509aa67d88bd
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.06		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.5.06	metadata	cd6f5fa24bedfe19b651ad10c473bffdbcc657c8
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.0		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.0	metadata	6b6996356ab799edc417568bd7bd8f2066d78ddd
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.0-rc.1		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.0-rc.1	metadata	8bc9353316640b194dc44b8426eeda44500eafdb
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.0-rc.2		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.0-rc.2	metadata	b26016fc34c64e269c2e643d94acca830f1dbd4d
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.01		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.01	metadata	3e329c23248778a77fd1605784547953a335c7e0
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.02		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.02	metadata	1d5fec9967e7ee7bbc1b59a2826bd48e1628da46
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.03		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.6.03	metadata	03012dd5d6811e35fef8a17237decb3e5e14786e
com.adamratzman	spotify-api-kotlin-mingwx64	3.7.0		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.7.0	metadata	a5f78ecbd6786bbf8392f1fb98348445fb98538d
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.0		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.0	metadata	347410347a455fdff6a337117e15b75e2661f41c
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.1		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.1	metadata	567a212660aad33287b163335a80004ab66bdf73
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.2		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.2	metadata	b6429e71324c8af0c76becfe82e6066631dcf6f4
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.3		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.3	metadata	9b8f7f0db59a7d930b5bb6776f478d953d18ffc9
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.4		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.4	metadata	d54bb18eb4e47eb4f73c1412ad4d83b380f45fc1
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.5		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.5	metadata	4256f24a2ade322c519dc5c2c65e45ffc4ed5ed4
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.6		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.7		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	3.8.8		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	4.0.0		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	4.0.1		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	4.0.2		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	4.0.3		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	4.1.0		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	4.1.1		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	4.1.2		N/A
com.adamratzman	spotify-api-kotlin-mingwx64	4.1.3		N/A
com.amplifino.nestor	amplifino.counters	1.1.0		51edf677316b1c79daa4ff38a9ae20171368d0bc
com.dimafeng	testcontainers-scala-pulsar_2.12	0.35.0		416ab895819e3c138b0d4ce78de22c777c730d53
com.dimafeng	testcontainers-scala-pulsar_2.12	0.35.1		3cd67379a6ad909a341e6a5fb8b738c0f357d1f6
com.dimafeng	testcontainers-scala-pulsar_2.12	0.35.2		1e9d75a36edf4d8c4007b988e0a887258cb46878
com.dimafeng	testcontainers-scala-pulsar_2.12	0.36.0		5f6464d17fe5a22f4d6121cd033eea51e3e745b3
com.dimafeng	testcontainers-scala-pulsar_2.12	0.36.1		85e01d7a853898648f513ccfd14e8db978bb39a5
com.dimafeng	testcontainers-scala-pulsar_2.12	0.37.0		2276fa73c4e7e746e6a0c0b8e8e29ab9b6a08804
com.dimafeng	testcontainers-scala-pulsar_2.12	0.38.0		d343b9d6525b21e1856bfaad955213968a80f939
com.dimafeng	testcontainers-scala-pulsar_2.12	0.38.1		92d3898cf7f691a75ec763e17952c4e5db966fc8
com.dimafeng	testcontainers-scala-pulsar_2.12	0.38.3		9660a3285d793b94dc7fcd999fd7a3a0e44d23fc
com.dimafeng	testcontainers-scala-pulsar_2.12	0.38.4		ac51d31069d6129729b57244c78f7d56b313eba8
com.dimafeng	testcontainers-scala-pulsar_2.12	0.38.5		a8ec19ccc76b59c0ca78a8f7afd65f6c98493ebd
com.dimafeng	testcontainers-scala-pulsar_2.12	0.38.6		56f669be9f9f9a6acb2404df4b5446362bad8a61
com.dimafeng	testcontainers-scala-pulsar_2.12	0.38.7		fc1741b5b95ffef6faa8ce44ccfa2c57e0ad7bda
com.dimafeng	testcontainers-scala-pulsar_2.12	0.38.8		52ef268a3a1c03795a431705ad6b958c7e898ff9
com.dimafeng	testcontainers-scala-pulsar_2.12	0.38.9		d5bf2af1ecc0188b8a5624319ac09d39115b04e1
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.0		c28e48ee0787183a19f382f18b28cae6c421f75e
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.1		f825d34e1195a3dcc0cd85f6ecb198599fe2d7c0
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.10		4a18e520fd5fac3efcc62c64a8f3e76eb2d3f163
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.11		b3cd1d8c9a4f1abec7672a107cb7de017216f07f
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.12		b11456fa3c37a29f9d82e67f71e2dc03bb6c2737
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.2		59624cf9e050a43b5e14238018bd5efc4823e9a8
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.3		b7ade1a8ebdcdb9d86eb8662b2e4a219bad4d82f
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.4		4c1b2971fb4add764e1122e7dfbfa1e9f9aed473
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.5		12a5d4534543ee5050e1bda98f46d6f7c38ae016
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.6		7afcec54701cd394f6ec923f542a952cf400ff48
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.7		5c92c6a639cc05b7322be79091fc79807f64e747
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.8		513a838e2d22dfe43e41f5999b6e981463d0ec01
com.dimafeng	testcontainers-scala-pulsar_2.12	0.39.9		5d34082353c7cdd045e84aa3ff5c94c9e021961e
com.dimafeng	testcontainers-scala-pulsar_2.12	0.40.0		7ab75f68b920e99a6fe0c158c096919772b618f0
com.dimafeng	testcontainers-scala-pulsar_2.12	0.40.1		2856b788bdc89f7b5bbe9ea4c33019b91836790f
com.dimafeng	testcontainers-scala-pulsar_2.12	0.40.10		1070d82cdfffdea53b9c3a4c68dc1bfc0a74b7e8
com.dimafeng	testcontainers-scala-pulsar_2.12	0.40.11		3a765698f7540efdb568be5273f44d47fe7d294e
com.dimafeng	testcontainers-scala-pulsar_2.12	0.40.12		1a9bf9601fbb7c9f8b98f330f963651f7af0371a
com.dimafeng	testcontainers-scala-pulsar_2.12	0.40.13		805ff3a7424c6f51a483a27d85965932cd025cb1
com.dimafeng	testcontainers-scala-pulsar_2.12	0.40.14		183fb02b77018701584e4e7c72d9274aa03a4dde
com.dimafeng	testcontainers-scala-pulsar_2.12	0.40.15		6110a95865dcb4248d80cc70d5ef244a747d172d
