activemq	jaxb-api	20050407	-	b7a286350f4c1d83c6b763650c1538d09cf1bee6
am.ik.archetype	spring-boot-gae-blank-archetype	1.0.2	-	39d988143baa314474a0d9a073221ff93e2c461a
am.ik.archetype	spring-boot-gae-blank-archetype	1.0.3	-	d55944adfe1186b58f971f811a84584fe937c839
am.ik.archetype	spring-boot-gae-blank-archetype	1.0.4	-	e308ccc96e89497f9a3f332dcde8ef2bdf0b7797
am.ik.archetype	spring-boot-gae-blank-archetype	1.0.5	-	034ab29df567461931a5f479a61af9c506474c11
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.16.0	-	b5640799871810377490475dadd895a800ccc238
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.16.1-beta	-	4078825514dbc4a629a9ac8f7af7e99e31a1e50d
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.16.2-beta	-	9d09f6ddb7b40db20650dde7eda630a47dd7164d
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.16.3-beta	-	79f928ec47ad9a91570074c7a5d8cd631bcf9d1e
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.16.4-beta	-	f33fde509e3a456b1c517a5839547be092759521
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.16.5-beta	-	6940b1478e8d07f0447433101f3420d250345935
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.16.6-beta	-	ff2d39511debccec0bd35579f60b35e2d8240b2f
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.16.7-beta	-	670059cd5351fc4053a51232fcd8ca8b3d4ff077
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.17.0-beta	-	26c298bb000bb2da06b4db27b9599520f3776dfe
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.17.1-beta	-	433b8e0f326c675516d4eb0d607fb98066d2f7d2
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.17.10-beta	-	589dcdf7f66f0a1645ee658e15eb665eb4b3a127
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.17.11-beta	-	f9095ad8a4997a3877f707f20e2209604207e8fa
aws.sdk.kotlin	elasticloadbalancingv2-jvm	0.17.12-beta	-	e9b525f81ceb4e41f5c750c50d6f9e58ac51bd1e
