app.nekogram.prism4j	prism4j	2.1.0		e951edf7f718a9cde666545a8130db7d34009325
cn.net.pap	pap4j-boot3-starters	0.0.1		N/A
com.atomikos	spring-boot3	6.0.0		N/A
com.atomikos	spring-boot3	6.0.0M1		N/A
com.atomikos	spring-boot3	6.0.0M2		N/A
com.blacksquircle.ui	language-python	1.2.1		N/A
com.blacksquircle.ui	language-python	1.3.0		N/A
com.blacksquircle.ui	language-python	2.0.0		N/A
com.blacksquircle.ui	language-python	2.1.0		N/A
com.blacksquircle.ui	language-python	2.1.1		N/A
com.blacksquircle.ui	language-python	2.1.2		N/A
com.blacksquircle.ui	language-python	2.1.3		N/A
com.blacksquircle.ui	language-python	2.2.0		N/A
com.blacksquircle.ui	language-python	2.3.0		N/A
com.blacksquircle.ui	language-python	2.3.1		N/A
com.blacksquircle.ui	language-python	2.4.0		N/A
com.blacksquircle.ui	language-python	2.5.0		N/A
com.blacksquircle.ui	language-python	2.6.0		2b1d5728e44b6a380c6707cb70d188800230ac01
com.blacksquircle.ui	language-python	2.7.0		3647904ebb4da463bcac220d241e0e0b938eca29
com.blacksquircle.ui	language-python	2.8.0		5b4c5084d97ecc8593ea2a1b463431474480e9b4
com.blacksquircle.ui	language-python	2.9.0		8810b7ed0d492cee01ad1097b7a423cec279c6a7
com.bladejava	blade-startup	1.0.0		b85f7d047663054ffa78bd47db4f630de10d1ab1
com.bladejava	blade-startup	1.0.1		8d5ceff93fc233f72c01bef2799c85e02a0cd6a9
com.datadoghq	dd-sdk-kotlin-multiplatform-rum-android	0.0.1		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-rum-android	0.0.2		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-rum-android	0.0.3		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-rum-android	0.4.0		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-rum-android	0.5.0		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-rum-android	1.0.0		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-rum-android	1.1.0		N/A
com.dragselectcompose	grid-android	2.0.0		N/A
com.dragselectcompose	grid-android	2.0.0-alpha05		N/A
com.dragselectcompose	grid-android	2.0.1		N/A
com.dragselectcompose	grid-android	2.0.2		N/A
com.dragselectcompose	grid-android	2.1.0		N/A
com.dragselectcompose	grid-android	2.1.2		N/A
com.dragselectcompose	grid-android	2.1.3		N/A
com.dragselectcompose	grid-android	2.2.0		N/A
com.dragselectcompose	grid-android	2.2.1		N/A
com.dragselectcompose	grid-android	2.2.2		N/A
com.dragselectcompose	grid-android	2.2.3		N/A
com.dragselectcompose	grid-android	2.2.4		N/A
com.dragselectcompose	grid-android	2.2.5		N/A
com.dragselectcompose	grid-android	2.2.6		N/A
com.dragselectcompose	grid-android	2.2.7		N/A
com.dragselectcompose	grid-android	2.3.0		N/A
com.dragselectcompose	grid-android	2.3.2		N/A
com.dragselectcompose	grid-android	2.4.0		N/A
com.dragselectcompose	grid-android	2.4.1		N/A
com.dragselectcompose	grid-android	2.4.3		N/A
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.15.0		1c8cc0066f2f934ae5720c6e7119ad127a454535
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.15.0-rc1		9670b5c09f33f9f8c4adc3d74679b935d38c7037
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.15.0-rc2		dd70e7bfc794c50f03428b0ae9e85bf39fd66709
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.15.0-rc3		db89b6c52561f94acf2b3eff47c02216b5a22c3e
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.15.1		b336c703adaabbec727fdde83057f4d28029f107
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.15.2		effa8fbfae757d03624ff59113f201e586152454
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.15.3		2963e15e68291a338b820eb2b5a90fa03e2bfce2
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.15.4		8b89939d758208a875857c274e3a2be68c85bbca
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.16.0		4b7d11603fc7b0a8120199faccf2c30c581a1fc7
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.16.0-rc1		d6bbf9434f0bf3e42161b6f681df6807974fbe5c
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.16.1		1aa14569a59b08874143585a6f46f4d39f488975
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.16.2		328201969373ea0ffcd488c2a49d4275aac3311e
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.17.0		207162ab29bb8b8b8a3b96395d3433bfa816da3c
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.17.0-rc1		a17b6345ab612da7527e73b933bf6408e5fa8b6c
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.17.1		4b031ba8404453b5e56a5daf71476a67d2a803bc
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.17.2		e16a0b58f593b92584e2dd63b5e36dc7acec62d6
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.17.3		6897e80bcc60f644fb3badaa95e11a8790c4a6ba
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.18.0		2cb382b9322d6e52b83973efb233c4b0ef70c183
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.18.0-rc1		0e8b89505d009b570926e7c7c3fa36996b8ed8e1
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.18.1		aa56a74f18d746bea7cdbd046e90a74153695f56
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.18.2		afa8f7babeeae6ad45b71663295820d82c878154
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.18.3		fd9c258e0187aa02215ce56236ca20150cab5b06
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.18.4		055be580a45fda639257c9cae151928b3c96822d
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.19.0		632109820833c17cd16cceda8b2f043388e67b38
com.fasterxml.jackson.module	jackson-module-jsonSchema-jakarta	2.19.0-rc2		11c19775315f05ed9e61405afc49ca215567925d
com.github.ajalt.mordant	mordant-markdown-mingwx64	3.0.0		N/A
com.github.ajalt.mordant	mordant-markdown-mingwx64	3.0.1		N/A
com.github.ajalt.mordant	mordant-markdown-mingwx64	3.0.2		N/A
com.github.benhutchison	mouse_2.10	0.1		ea698f704a4bedfa03a685e0326dfa03e10d5091
com.github.benhutchison	mouse_2.10	0.10-MF		34d19cd828d6d3396b1aca48b6bea934ba4e1b40
com.github.benhutchison	mouse_2.10	0.2		70ef0cbfeabe6e87ae70513a71e06d191eee1d88
com.github.benhutchison	mouse_2.10	0.3		b9e31a247d912186a0f5c7c8009e092c03fb1118
com.github.benhutchison	mouse_2.10	0.4		fcff781d7316079c769f36d3e30be1a7e5677a05
com.github.benhutchison	mouse_2.10	0.5		d1924ea55f1cb4064036fd68c4aa28c47a2e936c
com.github.benhutchison	mouse_2.10	0.6		eb7bf60d81bdc7422955eec7af1814762fb91248
com.github.benhutchison	mouse_2.10	0.7		62e7bfb475aff98225e6369787b6ae1ad8cbed68
com.github.benhutchison	mouse_2.10	0.8		70270c2f5f14c5653e885b7fc101f29486c82f22
com.github.benhutchison	mouse_2.10	0.9		6d2cad7c76f359b9645188441b34d66661f495bf
com.github.grepplabs	kafka-sasl-plain	1.0.0		88fa8cf465ae2c3cb3427a4201e5a86bb5ee60ca
com.github.lamba92	kotlin-leveldb-tvosx64	0.0.1-RC.5		N/A
com.github.lamba92	kotlin-leveldb-tvosx64	0.0.1-RC.5	metadata	78d21cdf889af16ae70de2c13a74e48d9c0bde9b
