activesoap	jaxb-xalan	1.5		6b10269457d75d4bd2a045e81cf620102f54692a
cloud.oneentry	sdk-events-iossimulatorarm64	1.1.1		N/A
cloud.oneentry	sdk-events-iossimulatorarm64	1.1.1	metadata	0312c9fcd41ec74830ecfffc4b6d91355b89525d
cloud.oneentry	sdk-events-iossimulatorarm64	1.2.0		N/A
cloud.oneentry	sdk-events-iossimulatorarm64	1.2.0	metadata	a11d96880cce30873f04a5eb3a60c9445997f972
cloud.oneentry	sdk-events-iossimulatorarm64	1.2.2		N/A
cloud.oneentry	sdk-events-iossimulatorarm64	1.2.2	metadata	72e4293cdbbc6fc0ff13f7694dba143176375ca7
cloud.oneentry	sdk-events-iossimulatorarm64	1.2.4		N/A
cloud.oneentry	sdk-events-iossimulatorarm64	1.2.4	metadata	7fd27a5c6f32e42938bf99f46217bf70ca238b95
cloud.oneentry	sdk-events-iossimulatorarm64	1.2.5		N/A
cloud.oneentry	sdk-events-iossimulatorarm64	1.2.5	metadata	c0e7fc44959caad69726dde96ac35dbc5c0274b5
cloud.oneentry	sdk-events-iossimulatorarm64	1.2.6		N/A
cloud.oneentry	sdk-events-iossimulatorarm64	1.2.6	metadata	2b6a89abd5b1d1d0ec1f9d40c26c8529481a2d20
cn.featherfly	featherfly-common	1.2.6		7b848bdfc1dd47ac44828d8297b8a83aaf3b0009
cn.featherfly	featherfly-common	1.2.7		5290ecc220ad783db64a6c3912ecb45cc6642bb8
cn.featherfly	featherfly-common	1.2.8		65741bde807e8a10decfdd46b1bdcc1a0b11835b
cn.featherfly	featherfly-common	1.2.9		43265525e0fa30239ad77b515707d80cde6838da
cn.featherfly	featherfly-common	1.4.3		f5f8d3cb626f4c421357d00656bcf7baa97da09b
cn.featherfly	featherfly-common	1.5.1		ff4a198e8d4346c9525bf37909344038875cc8cd
cn.featherfly	featherfly-common	1.5.2		1c2cfd096e13353f97ca0cf55245f124c7e18797
cn.featherfly	featherfly-common	1.6.0		e3c430ef057b0e4ba72f15756dbbece477c1d7b2
cn.featherfly	featherfly-common	1.6.2		0f0dd6b9d5a36dd20491a026a7dfee4977e4f7ae
cn.featherfly	featherfly-common	1.6.3		416e75c1ddcef5551609e2ac6c17df7feebb7329
cn.featherfly	featherfly-common	1.7.0		abd7a9d1b56224485519cc0752a32afc0ab4388c
cn.featherfly	featherfly-common	1.7.1		8c3362ee6775944cbd1ae2faaac876b1958ed52a
cn.featherfly	featherfly-common	1.7.10		78cc601281a7ea5fe5e561005187a794c3abd297
cn.featherfly	featherfly-common	1.7.11		2b6e4f9a854e23fa48edbc9e57e92ba828254a6a
cn.featherfly	featherfly-common	1.7.12		02602b85562c647e5aa964fb862748f81d760e14
cn.featherfly	featherfly-common	1.7.2		1f209f685571b90acbf535408437f6412d64c46d
cn.featherfly	featherfly-common	1.7.3		8411ff1b24ddbec43548be11ac1c734453339e73
cn.featherfly	featherfly-common	1.7.4		c5988987e3c0db43aea8b6a8a165fe56acf2ca3d
cn.featherfly	featherfly-common	1.7.5		69cce9e2867c9c72cecefe0eff15d96697ce0a30
cn.featherfly	featherfly-common	1.7.6		b5042779ab1b6d23d7c18724e8a3891dcd91a976
cn.featherfly	featherfly-common	1.7.7		f23855eaec7fdaf4fa5e41cc57634ea5b94d134e
cn.featherfly	featherfly-common	1.7.8		bf983301d3203c7da49025553d991ef0a254060c
cn.featherfly	featherfly-common	1.7.9		680d1ddd09524264905564d74c67e40e0ca4dbe2
cn.pivoto.polaris.toolkit	polaris-annotation-processor	2.0.1		N/A
cn.pivoto.polaris.toolkit	polaris-annotation-processor	2.0.2		N/A
cn.pivoto.polaris.toolkit	polaris-annotation-processor	2.0.3		N/A
com.aliyun	nbftestpop20210806_151255420	1.0.0		debbd32a0f13cc4b97e97627311254ec153dc114
com.bidyut.tech.seahorse	seahorse-core-tvosx64	0.10.0		N/A
com.bidyut.tech.seahorse	seahorse-core-tvosx64	0.10.0	metadata	3ef9a4aaa4711fc683b0eb671c41866c7e1642b8
com.bidyut.tech.seahorse	seahorse-core-tvosx64	0.11.0		N/A
com.bidyut.tech.seahorse	seahorse-core-tvosx64	0.11.0	metadata	24d9e8a3631948f36f953ef0d8835ee2c486085d
com.bidyut.tech.seahorse	seahorse-core-tvosx64	0.12.0		N/A
com.bidyut.tech.seahorse	seahorse-core-tvosx64	0.12.0	metadata	108bc962bde2b259aa128c6712cabbb6f76d62ba
com.bidyut.tech.seahorse	seahorse-core-tvosx64	0.8.0		N/A
com.bidyut.tech.seahorse	seahorse-core-tvosx64	0.8.0	metadata	211d1702f1b96ff40454be40e2bae15b8f66b6ed
com.bidyut.tech.seahorse	seahorse-core-tvosx64	0.9.0		N/A
com.bidyut.tech.seahorse	seahorse-core-tvosx64	0.9.0	metadata	365a3aecce6a3233a1ee937900ae17f287c38324
com.cloudogu.versionName	versionName	2.0.0		038c269e7342a0a559a2d1d172e34a4670f374cd
com.cloudogu.versionName	versionName	2.0.1		873d05b50b1e8b38b2a9ab7588f7e68f00566da4
com.cloudogu.versionName	versionName	2.1.0		a7016c9c91cb09cf45065930d9b88645d3567e50
com.cloudogu.versionName	versionName	2.2.0		c9cc78fcb177def8980b6c3153990352e8ab9649
com.df4j.boot	df4j-boot-starter-security	1.0.0		a5d537cac661a1bd61cdd032a18fd1ba616fd929
com.df4j.boot	df4j-boot-starter-security	1.0.1		55e5f7afa357ab168d785d47d236dbf46d114cf9
com.df4j.boot	df4j-boot-starter-security	1.0.2		50d1743736d0e4af56e70169daec8ca54cb3e9a2
com.emergetools.reaper	reaper	1.0.0		N/A
com.emergetools.reaper	reaper	1.0.0-beta01		N/A
com.emergetools.reaper	reaper	1.0.0-beta02		N/A
com.emergetools.reaper	reaper	1.0.0-beta03		N/A
com.emergetools.reaper	reaper	1.0.0-rc01		N/A
com.emergetools.reaper	reaper	1.0.0-rc02		N/A
com.emergetools.reaper	reaper	1.0.0-rc03		N/A
com.emergetools.reaper	reaper	1.0.1		N/A
com.enonic.lib	lib-recaptcha	3.0.1		55ff3942035c997413baa60ee84a1e66505f49a9
com.fiatjaf	sn-random_native0.4_3	0.1.0		8b0d30af49eb2d6203ce1dbc9eda8a520cecba41
com.gitee.chinasoft_ohos	Skeleton	1.0.0		N/A
com.github.batscream	actuator-metrics-collector	1.0.1		5bea7722c12b7c5a1e2f4e5a4ad98e9284a5e60c
com.github.batscream	actuator-metrics-collector	2.0.0		9a9758c91918cffd0b7737e61a0ecddbc2003530
com.github.cb372	cats-retry-mtl_3	2.1.2		9ad6873682949e8f17abc6fac8a8f9b8c5a7bbd2
com.github.cb372	cats-retry-mtl_3	3.1.0		84b5e7dcf0bba1286a70748b67161fc4cc71ec44
com.github.cb372	cats-retry-mtl_3	3.1.3		c174afa58a088c6065b166c28673e1a28367af73
com.github.cb372	cats-retry-mtl_3	4.0.0		4457077c60a1d23d24e2fd903eb42d28fb159df0
com.github.cb372	cats-retry-mtl_3	4.0.0-RC1		ca6431b0559da99ed181ef88160a55a2ef6cdfe2
com.github.cb372	cats-retry-mtl_3	4.0.0-RC2		9f50166fa8d5ffe5da98eb67653a93066d353e5e
com.github.egbakou	marathon-compilers	1.0		ae8f72e40239f367412f486aa9ed354fcda4e8ba
com.github.egbakou	marathon-compilers	1.1		ad98247c7f71b513256e52df370de3af7908ddc9
com.github.h-thurow	TomcatJNDI	1.0.0		4a96aab5c6122a699bd41860185b0da34aeb5cac
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.0		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.0	metadata	ce5c1d8ff9be73bc41ce91f85d492a8de1a7db4b
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.1		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.1	metadata	94172ff847d6f7fac99abbcace169f0fe24314ce
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.10		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.10	metadata	ed2d1df7bef166c5bf12988641d5f80563b989bf
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.11		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.11	metadata	4d37073668ce230bc7ac221aef911b0267705916
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.2		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.2	metadata	4416f860de337d319849f5df22e22be79652eccb
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.3		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.3	metadata	f06cffda5df18cff5b5b5a9d3b21055fca2429be
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.4		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.4	metadata	4bbf520ccb07f59b8e0c3a58d73c545bdb09ba0e
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.5		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.5	metadata	0542b855ac7ee4d9d2bd8392e26a63c7726b61ad
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.6		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.6	metadata	af9af07bc9b2ca14037b7ea071c21f5cb24c2f48
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.7		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.7	metadata	2598cd7d727294fefa5b98ec275086bf37db1031
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.8		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.8	metadata	7a2d8ec533e1c0842af8e0eaaa6e03784eb8e5cb
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.9		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.0.9	metadata	37f53242f41b731d99d3e61cd547be880a4a08b3
com.github.skydoves	sandwich-ktorfit-iosx64	2.1.0		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.1.0	metadata	f858a0c13c3ce471aa88cc47f560c665cf08add9
com.github.skydoves	sandwich-ktorfit-iosx64	2.1.1		N/A
com.github.skydoves	sandwich-ktorfit-iosx64	2.1.1	metadata	f94d8de609e123dc45eee196360c7d723300fd7e
com.github.xuwei-k	httpz-all_2.13	0.6.0		N/A
com.github.xuwei-k	httpz-all_2.13	0.6.1		N/A
com.github.xuwei-k	httpz-all_2.13	0.7.0		N/A
com.github.xuwei-k	httpz-all_2.13	0.8.0		N/A
com.greenbird.camel	greenbird-camel-configuration	1.0.0		57282ffac1bf389539d0369e6d7a06e7e3ee32ac
com.greenbird.camel	greenbird-camel-configuration	1.1.0		d6519baf95f2fda3da91a6c202555511f3b04089
com.hotels	plunger	1.0.0		2aa6d2509a73b52d7e92b92b4d7ebae8b9000082
com.hotels	plunger	1.0.1		b39ea06918e8c1fc9dcfe5d80dbdf4e6a2fd45ba
com.hotels	plunger	1.0.2		a87749aadb42768ebab94bca6134e776e697bd7b
com.hotels	plunger	1.0.3		5e84d9002ee9d535c8a80f8602906b6497122494
com.hotels	plunger	1.0.4		e5a738dac31e21b8f2f7704e5a33b3f31c5230da
com.hotels	plunger	2.0.0		0056c76066c2fa541186134e1bf6bd1be7cc8ec4
com.hotels	plunger	2.1.0		5765cd7071544af06e953d089f7cb50b81b13f40
com.hotels	plunger	2.1.1		c942beecbd90ce347704baad301a7bac739ba5f0
com.hotels	plunger	3.0.0		0399b0bbe0fd3079b0c3bc8caea4396de7cab3fd
com.hotels	plunger	3.0.1		d9d6876ad299ccf5fd1cca9503bd7c0564d16891
com.hotels	plunger	3.0.2		c50f9495df4edf61e4b6a7220150d4b4e690d853
com.indusspay.sdk.payouts	payouts	0.0.1		e245540a21123cdfc873d0b32ff2cfa1193ad1b3
com.jeevansurendran	work	0.0.1		bcf45350511b8263a5ec9f6b93edb7dbcc85f6c7
com.jeevansurendran	work	0.0.1	all	c560fdcba0bfc22d3528c75883e515586f5fbc79
com.jeevansurendran	work	0.0.2		3d24210377c49014247e13f9939279e30e42f44d
com.jeevansurendran	work	0.0.2	all	4d3a93ddbe8d0ebc0cab83aec4615fd765bd7953
com.jeevansurendran	work	0.0.3		ae7cc061f32785859a1ea4a501a7895a5777add6
com.jeevansurendran	work	0.0.3	all	98e415fa08b2f98caf4f309ab9933c27ec35fcba
com.jeevansurendran	work	0.0.8		6fda908238310dff61f300d136f8489ea73a02f0
com.jeevansurendran	work	0.0.8	all	162f5f3880ae615623b0e1fa83949a33a4f61899
com.jeevansurendran	work	1		0114cbf83eb6cf66d8f8d9bf22e47849aef4cb17
com.jeevansurendran	work	1	all	98a476643d3413c6fd716db628ac4c0de4e97df0
com.leibnix	secuencial-ids	1.0.0		25e7f9b5e517030d9e2478602a9ab7e930f16030
com.leibnix	secuencial-ids	2.0.0		f099faf27a87a17d9e0f21aa973bc8c5b303bef5
