biz.netcentric.aem.ops.healthchecks.migration	hc-migration-felix-healthcheck-package	1.0.0		N/A
ch.epfl.scala	scalafix-testkit_2.12.10	0.9.10		5b67e13165cff98e1578e8cb923968d20f264ba0
ch.epfl.scala	scalafix-testkit_2.12.10	0.9.11		ca131a9efcdf16c1899ecf974f01a54ad71d4b99
ch.epfl.scala	scalafix-testkit_2.12.10	0.9.7		4872dd2fc4c0e82acca21decf32310b7c18e8a9a
ch.epfl.scala	scalafix-testkit_2.12.10	0.9.8		9be604ceb5eb70a20b7200f550623664986fd611
ch.epfl.scala	scalafix-testkit_2.12.10	0.9.9		f492969aeea647c233d77f976ac6c36c109760c8
ch.epfl.scala	scalafix-testkit_2.12.10	2.3.0-RC1		d8c39e67577b48bbb2f1901e481ad0e589b1d0f0
cn.jiangzeyin.security	des-random	1.0.1		df59f0a605cfb7c575bf2b3442d5e81c9b5f1d30
co.cask.cdap	WordCount	2.6.3		0e1a1df1146cb697fce386bfc6576841a277f07c
co.cask.cdap	WordCount	2.8.1		14faeba391068a65ab8fb75a07c9da019973e8ac
co.cask.cdap	WordCount	2.8.2		5e32c1f1a54091079dbd66104aca75c72afcbde1
co.cask.cdap	WordCount	2.8.3		3b5ce77bbfd7cdce1098648fd6f3ee77fb2fefee
co.cask.cdap	WordCount	3.0.1		727744ee013bcb3a1bb8b28cb792d0e1f7b1310b
co.cask.cdap	WordCount	3.0.2		4a0041725423ecb127cdd4645ae9fd2b58f2e6c4
co.cask.cdap	WordCount	3.0.3		1b845e9e482a91d54ebfbb782381937e9e54bade
co.cask.cdap	WordCount	3.0.4		2e21240210a15a780c0ac7cc146438a7544f8104
co.cask.cdap	WordCount	3.0.5		5058a7313a0c4d458f7cc93211effc33431620c9
co.cask.cdap	WordCount	3.0.6		b45fe9860545eefe8cd19e8ce046f5cfe196a37a
co.cask.cdap	WordCount	3.1.0		3e7ff779e248ac8a30e091e528a461e6b94201dd
co.cask.cdap	WordCount	3.1.1		141f1a6c3694dc07d31a862d7df60e4ee27e1f81
co.cask.cdap	WordCount	3.1.2		871a5357e3fb585ab3a03be3e75aa9466bbfc72e
co.cask.cdap	WordCount	3.2.0		fd7a0df8fdcc43b5e063f9bcd940b63212ae3d74
co.cask.cdap	WordCount	3.2.1		f5d84bc2a3dd259134b6a0a0c00246094fc80b82
co.cask.cdap	WordCount	3.2.2		107afe503559a64fa416a70c125e0aeebad2be39
co.cask.cdap	WordCount	3.3.0		60b6acdbce3097f97478e6c968c12ae968942ee9
co.cask.cdap	WordCount	3.3.1		fe629fd575111421527515f2ad543c490de09b46
co.cask.cdap	WordCount	3.3.2		3d7e9b636fc4bbd765d276702dc0c82b5ca5c7a1
co.cask.cdap	WordCount	3.3.3		1995577acf0fe51e11df81a34bed09bb1a6d2eeb
co.cask.cdap	WordCount	3.3.4		908b1f7a3d3d3215a48dc50854643cf47ba1d592
co.cask.cdap	WordCount	3.3.5		641fc7089c0ee6f18d89c4122a82e067c1ef96b3
co.cask.cdap	WordCount	3.3.6		d2b71f65034f0e9461c6461734b7cb05c4719e33
co.cask.cdap	WordCount	3.3.7		f243f25d2f3bde4a119e73e172e2b0e2bbbd6cc5
co.cask.cdap	WordCount	3.4.0		bc8d9aeb4dc30838b353350e73dc12fb5fed7614
co.cask.cdap	WordCount	3.4.1		af16477c5497bf976bd13248528086add091f968
co.cask.cdap	WordCount	3.4.2		243bc253a9cad5ecf20ae9d226dc4aeecfea6706
co.cask.cdap	WordCount	3.4.3		d8b2b17c7d32f25428a6a3917deee0cd415cabff
co.cask.cdap	WordCount	3.5.0		4bef3dc464c7f51aff040c25fdf84a7fd75452e1
co.cask.cdap	WordCount	3.5.1		2e9b58e4d97d4d63dd6985befb248f5682f0d7ea
co.cask.cdap	WordCount	3.5.3		ebaa95d2598d4539c79e83364ca65f5dd4dd5a86
co.cask.cdap	WordCount	3.5.4		61f9274d6c332347ca296aee2440cd8c0b23d46c
co.cask.cdap	WordCount	3.5.5		60360e4e905b330923d7984a2ad4a6bd1fb44692
co.cask.cdap	WordCount	3.6.0		5d52c99fc75cde7a6acee94fe5534bda5fa80b8d
co.cask.cdap	WordCount	4.0.0		ba96b8d9894999b7b27ea2d6208680700a164b04
co.cask.cdap	WordCount	4.0.1		a0331432f4b721be8890e11dcca380ccb04b8ef7
co.cask.cdap	WordCount	4.1.0		7e00236d0c9db737473465061b2be26decffc803
co.cask.cdap	WordCount	4.1.1		1efacc616770ae8ff9eba6c9506831ca656ab32d
co.cask.cdap	WordCount	4.1.2		1bcf79abe3775cbff1c88e0acbb5f4aed89ca122
co.cask.cdap	WordCount	4.1.3		1baecde238e0cfc41cc99f875d445114b38dec94
co.cask.cdap	WordCount	4.2.0		05be246b2a4e09cc2a1f169683a02ac3d9025535
co.cask.cdap	WordCount	4.3.0		c3c92445b8940421b3da1f8a8376fae8904c22d0
co.cask.cdap	WordCount	4.3.1		f1c593320d25fd4715ae306ab4103de24b8dcdaa
co.cask.cdap	WordCount	4.3.2		1df21a9cf449ce63934c1e028049542d0c288576
co.cask.cdap	WordCount	4.3.3		a5fe2ebaee96cfde915612fc1b3183dc45673173
co.cask.cdap	WordCount	4.3.4		20fe0213a55be5c4cc8e52b221d58fb21f579607
co.cask.cdap	WordCount	4.3.5		8d0ff4f32b67b9e7942f4c90c55c5adfc57a53fd
co.cask.cdap	WordCount	5.0.0		07b49dad00d9ab52c108893e733209f033327d97
co.cask.cdap	WordCount	5.1.0		7f44151d3f45baead55f03cc3b4e3827c892b9cb
co.cask.cdap	WordCount	5.1.1		7947d56064e2ce06054cbe9eec2fa2b84dc63b85
co.cask.cdap	WordCount	5.1.2		d7ba26cdca23103cd45e9b3b4f1a933ed2060bbc
co.touchlab.skie	configuration-annotations-watchosarm64	0.10.0		N/A
co.touchlab.skie	configuration-annotations-watchosarm64	0.10.0	metadata	f0e79d958c2eb8f71a798a11a8cecfc51c191717
co.touchlab.skie	configuration-annotations-watchosarm64	0.10.1		N/A
co.touchlab.skie	configuration-annotations-watchosarm64	0.10.1	metadata	bf3e2a636bd3c770c14f07e1ace6911dfac35996
co.touchlab.skie	configuration-annotations-watchosarm64	0.10.2-preview.2.1.20		N/A
co.touchlab.skie	configuration-annotations-watchosarm64	0.10.2-preview.2.1.20	metadata	9589bbedd0b8d49c17f4daed6eee1b18a2518fe5
