be.billington.android.light-sensitive-color	library	1.0.1		328ef5d39d7f20eadb0dd0d86b4a751a7db9bd89
ca.gosyer	voyager-core-android	1.0.0-rc03		N/A
ca.gosyer	voyager-core-android	1.0.0-rc04		N/A
ca.gosyer	voyager-core-android	1.0.0-rc05		N/A
ca.gosyer	voyager-core-android	1.0.0-rc06		N/A
ca.gosyer	voyager-core-android	1.0.0-rc07		N/A
ca.gosyer	voyager-core-android	1.0.0-rc08		N/A
ch.petikoch.libs	jtrag	2.0.0		0b4078fbd7df72a3bbe4e6c03a341f417a67ede3
cn.net.pap	pap4j-common-opencv	0.0.1		5b1b67edfeb4a6b4823e44b3d651b36e198181ee
cn.net.pap	pap4j-common-opencv	0.0.1	execute	2e0fb7c5af28af6b4d8403dfe3bbad97758e5686
co.touchlab.skie	configuration-annotations-2.1.0-tvosarm64	0.10.0		N/A
co.touchlab.skie	configuration-annotations-2.1.0-tvosarm64	0.10.0	metadata	0a81d60dde075df6f95944915b3b47d8d199ee2a
co.touchlab.skie	configuration-annotations-2.1.0-tvosarm64	0.10.1		N/A
co.touchlab.skie	configuration-annotations-2.1.0-tvosarm64	0.10.1	metadata	0238e46be7b270a8c0eb78151ff87dda0e8d3a59
co.touchlab.skie	configuration-annotations-2.1.0-tvosarm64	0.10.2-preview.2.1.20		N/A
co.touchlab.skie	configuration-annotations-2.1.0-tvosarm64	0.10.2-preview.2.1.20	metadata	66e26b24be152004451705f34178d4b0a4a059ad
co.touchlab.skie	configuration-annotations-2.1.0-tvosarm64	0.9.4		N/A
co.touchlab.skie	configuration-annotations-2.1.0-tvosarm64	0.9.4	metadata	6408aef747e93d5fd1cdcb2f73ed2a03ec9c8652
co.touchlab.skie	configuration-annotations-2.1.0-tvosarm64	0.9.5		N/A
co.touchlab.skie	configuration-annotations-2.1.0-tvosarm64	0.9.5	metadata	0e14fd7525b762820b6d372574ed33e465d6682d
