cn.lovecyy	relaxed-spring-boot-starter-secret	1.6.0		e544e476a9114156b4aea7c0ea18c2bd8bd5f4af
cn.org.thinkcloud.quickstart	think-cloud-quickstart	1.0.1.RELEASE		N/A
cn.renlm.plugins	My-Plugin	1.0.1.RELEASE		8b6a4f5338053a8d8a4dbae7f3e3043749700470
cn.renlm.plugins	My-Plugin	1.0.2.RELEASE		2fcfbcc9304eed39be571be27eaff6d0a0803813
cn.renlm.plugins	My-Plugin	1.0.3.RELEASE		a59218ee1c68f2a428727c5194926cf42adc35b4
cn.renlm.plugins	My-Plugin	1.0.4.RELEASE		4bbc402d0f76867640902019e7d3aa8380aa447f
cn.renlm.plugins	My-Plugin	1.0.5.RELEASE		f81addb31886e90ca54a8f0db9ef26611fbf6b25
cn.renlm.plugins	My-Plugin	1.0.6.RELEASE		2ca147aff76a4d5f4b7ae9e6dc3c85271ad6e255
cn.renlm.plugins	My-Plugin	1.0.7.RELEASE		302d42a547f14ec6a4d287e05e98e592716c9337
cn.renlm.plugins	My-Plugin	1.0.8.RELEASE		916a7cf705e20d9c4f54f5cc74093d76f8c92825
cn.renlm.plugins	My-Plugin	1.0.9.RELEASE		937b87b299f9d66a47fc2f6350e07cde56e5132f
cn.renlm.plugins	My-Plugin	1.1.1.RELEASE		241cfd86e9256bc0cc0eb5a7ee856a271a7e4c06
cn.renlm.plugins	My-Plugin	1.2.1		367429a690559b9e176365cb25382a4de5d7113a
cn.renlm.plugins	My-Plugin	1.3.1		580416be82f50ce3e6d843dbf4994414dc8d5127
cn.renlm.plugins	My-Plugin	1.3.2		569101f6b28b456dfd65898bd5f711f076a00c51
cn.renlm.plugins	My-Plugin	1.4.1		65fa0be6cfe3a40110d95feaa216f8ae71195898
cn.renlm.plugins	My-Plugin	1.5.1		a9285043e62ee35320505819f666730d5a2aed87
cn.renlm.plugins	My-Plugin	1.5.10		a5b2fcfba0d3b6c42c73be19591af37804be1b78
cn.renlm.plugins	My-Plugin	1.5.2		bed66f3ea91e5610548c54e1bff5b61b872cdbb1
cn.renlm.plugins	My-Plugin	1.5.3		f11af8321f43da81f9a876f09e7a5d561a699c15
