app.cash.sqldelight	android-paging3-extensions	2.0.0-alpha01		2bf5d4b8c6b483b79b57916102d1b0089b6a79c3
br.net.woodstock.rockframework	rockframework-parent	1.2.1		N/A
br.net.woodstock.rockframework	rockframework-parent	1.2.2		N/A
br.net.woodstock.rockframework	rockframework-parent	1.2.4		N/A
br.net.woodstock.rockframework	rockframework-parent	2.0.0		N/A
br.net.woodstock.rockframework	rockframework-parent	2.0.1		N/A
br.net.woodstock.rockframework	rockframework-parent	2.0.2		N/A
br.net.woodstock.rockframework	rockframework-parent	2.0.3		N/A
br.net.woodstock.rockframework	rockframework-parent	2.0.4		N/A
br.net.woodstock.rockframework	rockframework-parent	2.0.5		N/A
br.net.woodstock.rockframework	rockframework-parent	2.0.6		N/A
br.net.woodstock.rockframework	rockframework-parent	2.0.7		N/A
br.net.woodstock.rockframework	rockframework-parent	2.0.8		N/A
br.net.woodstock.rockframework	rockframework-parent	3.0.0		N/A
br.net.woodstock.rockframework	rockframework-parent	3.0.1		N/A
cn.itlym	shoulder-plugins	0.6		N/A
cn.itlym	shoulder-plugins	0.7		N/A
cn.itlym	shoulder-plugins	0.7.1		N/A
cn.jiguang.sdk.plugin	meizu	3.7.0		N/A
cn.jiguang.sdk.plugin	meizu	3.8.0		N/A
cn.jiguang.sdk.plugin	meizu	3.8.5		N/A
cn.jiguang.sdk.plugin	meizu	3.9.0		N/A
cn.jiguang.sdk.plugin	meizu	3.9.1		N/A
cn.jiguang.sdk.plugin	meizu	4.0.0		N/A
cn.jiguang.sdk.plugin	meizu	4.0.6		N/A
cn.jiguang.sdk.plugin	meizu	4.0.8		N/A
cn.jiguang.sdk.plugin	meizu	4.0.9		N/A
cn.jiguang.sdk.plugin	meizu	4.1.0		N/A
cn.jiguang.sdk.plugin	meizu	4.1.5		N/A
cn.jiguang.sdk.plugin	meizu	4.2.0		N/A
cn.jiguang.sdk.plugin	meizu	4.2.2		N/A
cn.jiguang.sdk.plugin	meizu	4.2.4		N/A
cn.jiguang.sdk.plugin	meizu	4.2.8		N/A
cn.jiguang.sdk.plugin	meizu	4.3.0		N/A
cn.jiguang.sdk.plugin	meizu	4.4.0		N/A
cn.jiguang.sdk.plugin	meizu	4.4.5		N/A
cn.jiguang.sdk.plugin	meizu	4.5.0		N/A
cn.jiguang.sdk.plugin	meizu	4.6.0		N/A
cn.jiguang.sdk.plugin	meizu	4.6.2		N/A
cn.jiguang.sdk.plugin	meizu	4.6.3		N/A
cn.jiguang.sdk.plugin	meizu	4.6.4		N/A
cn.jiguang.sdk.plugin	meizu	4.6.6		N/A
cn.jiguang.sdk.plugin	meizu	4.7.0		N/A
cn.jiguang.sdk.plugin	meizu	4.7.2		N/A
cn.jiguang.sdk.plugin	meizu	4.8.0		N/A
cn.jiguang.sdk.plugin	meizu	4.8.1		N/A
cn.jiguang.sdk.plugin	meizu	4.8.3		N/A
cn.jiguang.sdk.plugin	meizu	4.8.4		N/A
cn.jiguang.sdk.plugin	meizu	4.8.5		N/A
cn.jiguang.sdk.plugin	meizu	4.9.0		N/A
cn.jiguang.sdk.plugin	meizu	5.0.0		N/A
cn.jiguang.sdk.plugin	meizu	5.0.3		N/A
cn.jiguang.sdk.plugin	meizu	5.0.4		N/A
cn.jiguang.sdk.plugin	meizu	5.0.7		N/A
cn.jiguang.sdk.plugin	meizu	5.0.8		N/A
cn.jiguang.sdk.plugin	meizu	5.2.0		N/A
cn.jiguang.sdk.plugin	meizu	5.2.2		N/A
cn.jiguang.sdk.plugin	meizu	5.2.3		N/A
cn.jiguang.sdk.plugin	meizu	5.2.4		N/A
cn.jiguang.sdk.plugin	meizu	5.2.4.a		N/A
cn.jiguang.sdk.plugin	meizu	5.3.0		N/A
cn.jiguang.sdk.plugin	meizu	5.3.1		N/A
cn.jiguang.sdk.plugin	meizu	5.4.0		N/A
cn.jiguang.sdk.plugin	meizu	5.4.2		N/A
cn.jiguang.sdk.plugin	meizu	5.5.0		N/A
cn.jiguang.sdk.plugin	meizu	5.5.1		N/A
cn.jiguang.sdk.plugin	meizu	5.5.3		N/A
cn.jiguang.sdk.plugin	meizu	5.5.4		N/A
cn.jiguang.sdk.plugin	meizu	5.6.0		N/A
cn.jiguang.sdk.plugin	meizu	5.6.1		N/A
cn.jiguang.sdk.plugin	meizu	5.7.0		N/A
com.9isuper.pelecanus	pelecanus-mq	1.0.3.M1		N/A
com.adamglin	clean-iossimulatorarm64	0.0.1-alpha01		N/A
com.adamglin	clean-iossimulatorarm64	0.0.1-alpha01	metadata	547791b33d4806c3bddb278a7e18a5cbad2022a4
com.alibaba.blink	flink-connector-postgres	blink-3.5.0-RELEASE		N/A
com.alibaba.blink	flink-connector-postgres	blink-3.6.4		e03af739bb8130019e7b246724b047efa3cd0157
com.alibaba.blink	flink-connector-postgres	blink-3.6.8		08dae7a80a37f5925fafbb39ac984abceaab9793
com.alibaba.blink	flink-connector-postgres	blink-3.7.0		b5fd10316541d53e86e0f8608311b17b8dfe64cb
com.avsystem.scex	scex-macros_2.13.1	1.20.21		3d8394bba65a14e605251dddece16ad379829462
com.avsystem.scex	scex-macros_2.13.1	1.20.22		e3c03f39bdaa93faf83a9a56851cb6751f9e7b1b
com.avsystem.scex	scex-macros_2.13.1	1.20.23		714d93b63a2376f8c3e4b91eb4874f123449c833
com.avsystem.scex	scex-macros_2.13.1	1.22.10		d8a1d23c8cb826bcce7f04de4ccd687253bad50f
com.caoccao.javet	javet-v8-macos-x86_64	4.0.0		5196c09cb2e7ea8e679fae00fab6a1e170f42a90
com.caoccao.javet	javet-v8-macos-x86_64	4.1.0		a20174c5d341a7a9578a2090055a18e7a5f5e40e
com.caoccao.javet	javet-v8-macos-x86_64	4.1.1		06607410732f895d8bdd763f8343ef22711c3d1e
com.caoccao.javet	javet-v8-macos-x86_64	4.1.2		7d829335726b3499e75929b9e08d349ac4ab2d93
com.caoccao.javet	javet-v8-macos-x86_64	4.1.3		1ca231a9d5f16f9248df8651fedfe44661769de1
com.fleeksoft.io	okio-tvosarm64	0.0.2		N/A
com.fleeksoft.io	okio-tvosarm64	0.0.2	metadata	1e5dccbd1c9f78672687a4f563f0e6d541e12681
com.fleeksoft.io	okio-tvosarm64	0.0.3		N/A
com.fleeksoft.io	okio-tvosarm64	0.0.3	metadata	cbecfe25243843789ec250a9edb1af8842ab8012
com.fleeksoft.io	okio-tvosarm64	0.0.4		N/A
com.fleeksoft.io	okio-tvosarm64	0.0.4	metadata	bdcc8f07d1cf7763a4dee1e85889d8979601e8a9
com.flipkart.fdp.ml	spark-transformers	0.1		N/A
com.flipkart.fdp.ml	spark-transformers	0.1.1		N/A
com.flipkart.fdp.ml	spark-transformers	0.1.1-java1.7		N/A
com.flipkart.fdp.ml	spark-transformers	0.1.2		N/A
com.flipkart.fdp.ml	spark-transformers	0.1.3		N/A
com.flipkart.fdp.ml	spark-transformers	0.1.4		N/A
com.flipkart.fdp.ml	spark-transformers	0.1.5		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.0		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.1		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.10		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.2		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.3		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.4		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.5		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.6		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.7		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.8		N/A
com.flipkart.fdp.ml	spark-transformers	0.2.9		N/A
com.flipkart.fdp.ml	spark-transformers	0.3.0		N/A
com.flipkart.fdp.ml	spark-transformers	0.3.1		N/A
com.flipkart.fdp.ml	spark-transformers	0.4.0		N/A
com.gitee.chinasoft_ohos	TagView	1.0.0		N/A
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.10		6fc60dd0b5040f225f9268fefb8ca0ac0c38bf94
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.11		f95c34bf22f499de1803bc80ed31d55bd60a3dac
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.12		20298e47f54cff0eb819597fe7c2348d05190f9b
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.13		ed397f8abc58cd9b48868ea8c7aefe70ca6b9769
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.14		cd1cccad49d5a9b46203d3a29acbaa90fab7ad66
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.15		a15e858dc1ef241010ae98872328455814b324eb
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.16		076c239d7de65373aba589eafc54f36f9073f1e1
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.17		3c1ccda5d9b0578ba9a750b3c56710cdf2d0b414
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.18		e2a9c52c580989b7e513a3ce04a0b141ba2f45f1
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.19		8ca581459b0da6e7ad74ebe2aaf8dd9b68196a9a
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.20		5a0d3fc3bf9ef0fcd8d0a6308f72857fbbcc7720
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.21		3db68882df0cc393ed5d044ae4db67633536e5d0
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.22		d954f538e69a93b2835e791a8c5f889e274241c6
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.23		7202df3b5791178e6f46a6674f061d35ab4411c4
com.github.j5ik2o	pekko-persistence-dynamodb-snapshot-base_2.13	1.0.24		9977b434143c5d8e7db323823351ffdf3e68c4ef
