com.alibaba.middleware	metrics-reporter	2.0.2		ddf6029d7b7ee63e5b2508d0f858857e2408335e
com.alibaba.middleware	metrics-reporter	2.0.6		edba3e9d5ba9a272ba87ef2f161da95e2dd5106c
com.amysta.jclouds	jclouds-compute	2.0.0		814801c562166e5578683fe008193da361b9c76d
com.amysta.jclouds	jclouds-compute	2.0.1		063a6a3fdd1c1106f0b31600ab0795a9e32f7bb4
com.autodesk	coroutineworker-tvosarm64	0.7.1		N/A
com.autodesk	coroutineworker-tvosarm64	0.7.1	metadata	5166de0959726a3695189c3055e6ee7436c02861
com.autodesk	coroutineworker-tvosarm64	0.7.2		N/A
com.autodesk	coroutineworker-tvosarm64	0.7.2	metadata	c798e50a6b72e46743da0035565e1978f279106d
com.autodesk	coroutineworker-tvosarm64	0.8.0		N/A
com.autodesk	coroutineworker-tvosarm64	0.8.0	metadata	08b3255b8a2370aefa055652b25b135beab7463b
com.autodesk	coroutineworker-tvosarm64	0.8.1		N/A
com.autodesk	coroutineworker-tvosarm64	0.8.1	metadata	4c65e44ccf6ef572ebda180ff859de7d61b20432
com.autodesk	coroutineworker-tvosarm64	0.8.2		N/A
com.autodesk	coroutineworker-tvosarm64	0.8.2	metadata	b0bf741ec3f60277715e60e774acf0345588670a
com.autodesk	coroutineworker-tvosarm64	0.8.3		N/A
com.autodesk	coroutineworker-tvosarm64	0.8.3	metadata	922dd444027eed52f24ab1cba9b6ed034f7a4eda
com.bakdata.kafka	streams-bootstrap-test	2.14.0		6746818cb92c70c07008414c890a8e6de0c6cb4f
com.bakdata.kafka	streams-bootstrap-test	2.15.0		1b68d8667ed67b0b6b89e2d312e3192e8f23190f
com.bakdata.kafka	streams-bootstrap-test	2.15.1		34314c6d2bdd35ac7a58da2cc95f8764437d2057
com.bakdata.kafka	streams-bootstrap-test	2.15.2		18c8605614d3a2c9b04875055cd5fd88571449c5
com.bakdata.kafka	streams-bootstrap-test	2.15.3		f7c81f7c956003dee1a2781d600780bb150c1bab
com.bakdata.kafka	streams-bootstrap-test	2.16.0		36ea48cd6fa24151af6af0b796bc983460dc1d49
