br.com.ingenieux.launchify	launchify-spi	0.0.1		3956858609dcf808070a68ffd540d0cc2a551469
ch.dsivd.copper	copper-parent	1.2.0		N/A
cn.com.antcloud.api	antcloud-api-provider-das	1.0.5		0269f7b83d01377dfb86ba95540f6bb67c7b74e5
cn.com.antcloud.api	antcloud-api-provider-das	1.1.16		f04ad38a160783389f4cc58b94228c54c778900a
cn.com.antcloud.api	antcloud-api-provider-das	1.1.2		43b96c8bf42f13617452b9341708aacc11fddc3e
cn.com.antcloud.api	antcloud-api-provider-das	1.1.29		b8649525cfb5afe88301229e4c590ed54a2f38a8
cn.com.antcloud.api	antcloud-api-provider-das	1.1.3		510ad6b61e50911af9e44c559d07a4c466895f7c
cn.com.antcloud.api	antcloud-api-provider-das	1.1.4		4d0a653465f531ba43557839740a559f3dc50f30
cn.com.antcloud.api	antcloud-api-provider-das	1.1.41		8280bc6351c41a6d419f2f60557b48c097a8d96e
cn.com.antcloud.api	antcloud-api-provider-das	1.1.42		09d98f3e8f78515ca742bbbdb45ddaa4a855a43d
cn.com.antcloud.api	antcloud-api-provider-das	1.1.44		b4f6196779e2554d3e2350b4374747a3f434c8f5
cn.com.antcloud.api	antcloud-api-provider-das	1.1.46		1c8051b6c0d02442f888297a4e02231053e61064
cn.com.antcloud.api	antcloud-api-provider-das	1.1.5		9daff94b6ac228e9c6a2f98f977975753592c978
cn.com.antcloud.api	antcloud-api-provider-das	1.1.50		188e1c1dbfbfce3f287c5839f44c1ed79158572f
cn.com.antcloud.api	antcloud-api-provider-das	1.1.52		7f579fdd1bd91acb07db0f793901f9e6b1b2cd5f
cn.com.antcloud.api	antcloud-api-provider-das	1.1.53		0f9efbadd784248621f0933e30a4d796e5c74921
cn.com.antcloud.api	antcloud-api-provider-das	1.1.54		eb9767a19e01ece56c02dd9f075b69cd3565ebdf
cn.com.antcloud.api	antcloud-api-provider-das	1.1.55		148499dfddb3df146c16dc49b26fbb5ea62d7b4e
cn.com.antcloud.api	antcloud-api-provider-das	1.1.57		d393670d2526ea184ee66b8c122c1f115984329c
cn.com.antcloud.api	antcloud-api-provider-das	1.1.58		dd42c62141c1db90683ae51e3e9c7ee47a3f377e
cn.com.antcloud.api	antcloud-api-provider-das	1.1.6		0ba135d705a54eaff16365b1f03452d7e36661c4
com.alibaba.ververica	ververica-connector-hive-2.3.6	1.11-vvr-2.1.3		d9122023053ae3ec1b2c79334a83e2196af5ea41
com.alibaba.ververica	ververica-connector-hive-2.3.6	1.12-vvr-3.0.2		d2988bb907305213fccd3142395bfafdd5a83bd9
com.alibaba.ververica	ververica-connector-hive-2.3.6	1.13-vvr-4.0.15		cef57ab61f66e73881eba9f369b998038e22ec8f
com.alibaba.ververica	ververica-connector-hive-2.3.6	1.13-vvr-4.0.7		49ff0721acaeb1f9c98ed52fd3a7775073c72a09
com.alibaba.ververica	ververica-connector-hive-2.3.6	1.15-vvr-6.0.2-3		b1654777b0081915dac8f919ccc2d9b992b327ec
com.armanbilge	schrodinger-testkit_3	0.3-0058c56		7e34b9cd4661dffe745e8ebc57a0c59618f011b8
com.armanbilge	schrodinger-testkit_3	0.3-02d8e71		3b841458ac9bbdf2e373a8256a748dda51ca3eeb
com.armanbilge	schrodinger-testkit_3	0.3-0fc03e3		ad8a850e02ca6d31fa908e1ad4bc7b58d36a4f69
com.armanbilge	schrodinger-testkit_3	0.3-11-bb6ba3d		3a528458a3f3eea1bef0e1041a046c420fe608cd
com.armanbilge	schrodinger-testkit_3	0.3-14-954cc71		223bce2bc1e1af9cbe32b391f445d73f82760571
