activemq	jaxb-xjc	20050407		e292a3e57f6d266721c94859fd2cc20759b2c716
app.cash.redwood	redwood-layout-api-density-iossimulatorarm64	0.3.0		N/A
app.cash.redwood	redwood-layout-api-density-iossimulatorarm64	0.3.0	metadata	f5dff343106ae82f474388a8d9d90fc2c7a2c616
cn.bctools	jvs-design	1.1.0		N/A
com.chimerapps.kotlin-inject-viewmodelfactory	runtime-iosx64	0.1.0		N/A
com.chimerapps.kotlin-inject-viewmodelfactory	runtime-iosx64	0.1.0	metadata	22f703625c2ee3329fefbe86395ee5f1389a0c99
com.dnbcloud	dnbcloud-rest-value-objects	0.1		e79addaa9f884cdd8b3c6f92a910058329b3667a
com.dnbcloud	dnbcloud-rest-value-objects	0.2		9bb847f8228d431d5d868560f51d8523724dc2d2
com.dnbcloud	dnbcloud-rest-value-objects	0.2.1		c7f8849315220d15251b4ec11c160fbd8fd51aa0
com.dnbcloud	dnbcloud-rest-value-objects	0.2.10		fae8a6029d2fc86205922ea7b0b19e92fba0aebe
com.dnbcloud	dnbcloud-rest-value-objects	0.2.11		5f7fa55645366b7915d0f057eb9386891f13daac
com.dnbcloud	dnbcloud-rest-value-objects	0.2.12		8c32958d5e82eccd07dc578b66e5343851ce7178
com.dnbcloud	dnbcloud-rest-value-objects	0.2.13		f7d3e8bd069500d43052c86ab866debf56ed18a5
com.dnbcloud	dnbcloud-rest-value-objects	0.2.14		ee352848d3669f804cf8ad60d276a631960c4f27
com.dnbcloud	dnbcloud-rest-value-objects	0.2.15		5162e163dd6cb1a6b88ae59f2a5794fb97256a2d
com.dnbcloud	dnbcloud-rest-value-objects	0.2.16		c328a7de90a883aaf336e5610dfe247ad241e38e
com.dnbcloud	dnbcloud-rest-value-objects	0.2.2		49097f3dd3826ab2474106a475ee1c65d7b3f1f9
com.dnbcloud	dnbcloud-rest-value-objects	0.2.3		debfe09fdbb4dee945891254165fa6f410eae0f0
com.dnbcloud	dnbcloud-rest-value-objects	0.2.4		3fbd46f57742c976d4a43e0d5b9cf1290f15aaec
com.dnbcloud	dnbcloud-rest-value-objects	0.2.5		5b68496491b2fccbfb7d646795664caa5a6f0def
