co.amity.android	amity-api	5.35.0		N/A
com.adeo.libres	libres-android-debug	1.0.0		N/A
com.adeo.libres	libres-android-debug	1.0.1		N/A
com.adeo.libres	libres-android-debug	1.1.0		N/A
com.adeo.libres	libres-android-debug	1.1.1		N/A
com.adeo.libres	libres-android-debug	1.1.2		N/A
com.adeo.libres	libres-android-debug	1.1.3		N/A
com.akexorcist	screenorientationhelper	1.0.0		N/A
com.badlogicgames.gdxpay	gdx-pay-server	0.1.0		2dcae6755a4bdfb6762eca3254041589e4cdbb9b
com.badlogicgames.gdxpay	gdx-pay-server	0.1.0	library	2ace1c86d5feccb86fd7bef918af32f2c7f2cba9
com.badlogicgames.gdxpay	gdx-pay-server	0.10.0		0e81c45ab4fcfbfbd3d71fc6faae315d944b6bd6
com.badlogicgames.gdxpay	gdx-pay-server	0.10.0	library	be1a196c2161979d5ad02d1ed96b0af1dee6bcc7
com.badlogicgames.gdxpay	gdx-pay-server	0.10.1		418f1fe2f3330af8187b3bbc7ccfb7c34d900a0e
com.badlogicgames.gdxpay	gdx-pay-server	0.10.1	library	38974cecb025491e197ce5d00cf8423c3cf675f7
com.badlogicgames.gdxpay	gdx-pay-server	0.10.2		6914123f46cba7f031c0844d1214768c3415095c
com.badlogicgames.gdxpay	gdx-pay-server	0.10.2	library	27c07461e10601c5bca06adeac16aca345e1c5bc
com.badlogicgames.gdxpay	gdx-pay-server	0.10.3		cd2d998852d435fe918f1698a072e522e39ff915
com.badlogicgames.gdxpay	gdx-pay-server	0.10.3	library	4f4ac978dca488b1de0fd399e5e39554f6eeacfb
com.badlogicgames.gdxpay	gdx-pay-server	0.11.0		1a7ea0d34b5632f54bcaaf74c1dcee199a477997
com.badlogicgames.gdxpay	gdx-pay-server	0.11.0	library	1a7ea0d34b5632f54bcaaf74c1dcee199a477997
com.badlogicgames.gdxpay	gdx-pay-server	0.11.1		f4e0b1dd26a533efca4679196e6ff250c7ed63d4
com.badlogicgames.gdxpay	gdx-pay-server	0.11.1	library	f4e0b1dd26a533efca4679196e6ff250c7ed63d4
com.badlogicgames.gdxpay	gdx-pay-server	0.11.2		dae56e51bc6c375f41ea4664fd860408538d1b99
com.badlogicgames.gdxpay	gdx-pay-server	0.11.2	library	dae56e51bc6c375f41ea4664fd860408538d1b99
com.badlogicgames.gdxpay	gdx-pay-server	0.11.3		9caae561deedf4b9246846bb9b9c67d7d110fe8f
com.badlogicgames.gdxpay	gdx-pay-server	0.11.3	library	7d0221cfa2252cadacd0e32573ca1937f6e91c36
com.badlogicgames.gdxpay	gdx-pay-server	0.11.4		3900d13e3692086071fd82dcc7cd4876f1c44aac
com.badlogicgames.gdxpay	gdx-pay-server	0.11.4	library	9c3c2135db2a3046073321bd64617e8499691a5d
com.badlogicgames.gdxpay	gdx-pay-server	0.12.0		1a3034228b310698b2cec6f08af0e8ce03acbaa7
com.badlogicgames.gdxpay	gdx-pay-server	0.12.0	library	38b610595d1bf45791a887f6182a5c385c0df15a
com.badlogicgames.gdxpay	gdx-pay-server	0.12.1		4948720e0e997a5211a861df6df6bc44acd10e5a
com.badlogicgames.gdxpay	gdx-pay-server	0.12.1	library	4948720e0e997a5211a861df6df6bc44acd10e5a
com.badlogicgames.gdxpay	gdx-pay-server	0.2.0		193bd2e86e7d6c1af19f451faf5fea5a56e21002
com.badlogicgames.gdxpay	gdx-pay-server	0.2.0	library	e3f95e4115c108022b95138bd8e96d4edd5a50a7
com.badlogicgames.gdxpay	gdx-pay-server	0.3.0		07ff04cb89283d058217b14b87d2f25097b1e9e3
com.badlogicgames.gdxpay	gdx-pay-server	0.3.0	library	12b0dc68c0088b1eda8c45c7373e1b32678be75e
com.badlogicgames.gdxpay	gdx-pay-server	0.4.0		747ec973cd53b079d2b0971c1b79b7aeb6631c59
com.badlogicgames.gdxpay	gdx-pay-server	0.4.0	library	747ec973cd53b079d2b0971c1b79b7aeb6631c59
com.badlogicgames.gdxpay	gdx-pay-server	0.5.0		8c5c59d2ef30bbd1f4fea2801c836aaca3604a90
com.badlogicgames.gdxpay	gdx-pay-server	0.5.0	library	8c5c59d2ef30bbd1f4fea2801c836aaca3604a90
com.badlogicgames.gdxpay	gdx-pay-server	0.6.0		487d11d6719d662dbc3abddd3e66c7c1ec962fba
com.badlogicgames.gdxpay	gdx-pay-server	0.6.0	library	7ef2609920640b64541d02b5992ea17445cf2bfa
com.badlogicgames.gdxpay	gdx-pay-server	0.7.0		759c72fb46ae49807c7e7ef0482b12c56cc552dc
com.badlogicgames.gdxpay	gdx-pay-server	0.7.0	library	759c72fb46ae49807c7e7ef0482b12c56cc552dc
com.badlogicgames.gdxpay	gdx-pay-server	0.8.0		3fe6b06b1b8615d47741bd61a60365bfdb2ff766
com.badlogicgames.gdxpay	gdx-pay-server	0.8.0	library	3fe6b06b1b8615d47741bd61a60365bfdb2ff766
com.badlogicgames.gdxpay	gdx-pay-server	0.9.0		ffab148bc0e4e4954772bedf0943fb418e035f7d
com.badlogicgames.gdxpay	gdx-pay-server	0.9.0	library	c68766c8aa6f2f416372670da6a368b4c617b941
com.badlogicgames.gdxpay	gdx-pay-server	0.9.1		6c63ac795bb417b0d0e3fd907eb3d8b40886d5c9
com.badlogicgames.gdxpay	gdx-pay-server	0.9.1	library	6c63ac795bb417b0d0e3fd907eb3d8b40886d5c9
com.badlogicgames.gdxpay	gdx-pay-server	0.9.2		85241d02d5728c656a4d07787bc9afae9fbc22d2
com.badlogicgames.gdxpay	gdx-pay-server	0.9.2	library	85241d02d5728c656a4d07787bc9afae9fbc22d2
com.badlogicgames.gdxpay	gdx-pay-server	1.0.0		3380a083c5194ebe195a06562a066b4759efab45
com.badlogicgames.gdxpay	gdx-pay-server	1.0.0	library	3380a083c5194ebe195a06562a066b4759efab45
com.badlogicgames.gdxpay	gdx-pay-server	1.1.0		96e05bb644c654c4fdc2072b36520ca034dcb229
com.badlogicgames.gdxpay	gdx-pay-server	1.1.0	library	a617c488f4199c557b60f853824e363f1e3a83d6
com.badlogicgames.gdxpay	gdx-pay-server	1.2.0		aee0d2b27ff77b9d33ab046871e7fcf6dc8a9969
com.badlogicgames.gdxpay	gdx-pay-server	1.2.0	library	aee0d2b27ff77b9d33ab046871e7fcf6dc8a9969
com.badlogicgames.gdxpay	gdx-pay-server	1.3.0		fad55bca7897c3f83a45f312f57191cac0cf62c0
com.badlogicgames.gdxpay	gdx-pay-server	1.3.0	library	fad55bca7897c3f83a45f312f57191cac0cf62c0
