cn.icanci.loopstack.rec	rec-admin-dal	1.0.0.0		70f870f21f56e41a1ec84a849d45fcd3a9c38f10
com.auth0	lock-sms	1.0.0		N/A
com.boschsemanticstack	semanticstack-rql-parser	1.0.0		d349e8058e24984ed0bd0f96ce08961a6e54e73a
com.boschsemanticstack	semanticstack-rql-parser	1.1.0		0a95feb98ef429ec203f0a82e274cdb77fb82e28
com.boschsemanticstack	semanticstack-rql-parser	1.1.1		7999477a899849c2fd95eef0a3ccb17fa38f38af
com.boschsemanticstack	semanticstack-rql-parser	1.1.4		5869c6ff10c96cfc3171b8e39f7b1b99c187bd75
com.boschsemanticstack	semanticstack-rql-parser	1.2.0		7aac550e5b54047a34f0bd37357ef9de55902cf4
com.boschsemanticstack	semanticstack-rql-parser	1.2.1		75bb68def046ff33705f8bf79db1af71979e5dde
com.boschsemanticstack	semanticstack-rql-parser	1.3.0		132ee3ece8190d4e1855aa5928ba632b9cadb9b5
com.boschsemanticstack	semanticstack-rql-parser	1.3.1		d7ece8f0b6fb8daf71cba63d77ac1f8a71c00bd2
com.boschsemanticstack	semanticstack-rql-parser	1.3.2		2eea9478a3c112d649612b8eb50b150a235d1b93
com.cognitect.aws	elasticloadbalancingv2	668.2.364.0		067d6599b2f886203592b5a1537eeb02edd29400
com.cognitect.aws	elasticloadbalancingv2	675.2.367.0		81dfb55375ce2a271eab756b9fc1ba2f4587158a
com.cognitect.aws	elasticloadbalancingv2	680.2.372.0		a157fee6e4486895e67fdb578a93b33890ad19fa
com.cognitect.aws	elasticloadbalancingv2	697.2.391.0		9c17f04bbea0c79de56c0882aa794a19c94a0766
com.cognitect.aws	elasticloadbalancingv2	701.2.394.0		697725fd3efd7a94209d81c50bcbd6f7c6d170f7
com.cognitect.aws	elasticloadbalancingv2	711.2.410.0		83379d9bc528bf489dd9833bfd2ff87e1a16a6be
com.cognitect.aws	elasticloadbalancingv2	714.2.430.0		c92930b8bd50cd086c69dcffbd6b2efa515eed1a
com.cognitect.aws	elasticloadbalancingv2	726.2.481.0		67410be743cf7c1cb9b60f89e29355a632c3265f
com.cognitect.aws	elasticloadbalancingv2	742.2.528.0		b5dd80f2194a05849046a6135bd6e4779c9801c0
com.cognitect.aws	elasticloadbalancingv2	747.2.533.0		cb725b1136980584c879a2bbaefefd559270ab01
com.cognitect.aws	elasticloadbalancingv2	770.2.568.0		10816f6150a10d10a42d5a4875a77671e64a5112
com.cognitect.aws	elasticloadbalancingv2	773.2.570.0		7ebfb584574af0a792a589d59dd64b0d050d7858
com.cognitect.aws	elasticloadbalancingv2	773.2.573.0		dbefc529035ae5bb0779f28931168f9bf313a838
com.cognitect.aws	elasticloadbalancingv2	773.2.575.0		0571d412dee19838d5a3af5149693f5a5ae337e0
com.cognitect.aws	elasticloadbalancingv2	773.2.579.0		d48c99520a5b6b21098c66dc1d020b0440eae723
com.cognitect.aws	elasticloadbalancingv2	793.2.629.0		72ba60a50ddaa19502a25817f22b78afea2dbb04
com.cognitect.aws	elasticloadbalancingv2	801.2.685.0		57585e1e328d129406454842694113f5db9bc21c
com.cognitect.aws	elasticloadbalancingv2	809.2.784.0		9cf6b491224daa4db3593e8def6f448bfe232477
com.cognitect.aws	elasticloadbalancingv2	809.2.797.0		e5a32464762921997e970beab63d4d462d185042
com.cognitect.aws	elasticloadbalancingv2	811.2.844.0		5d62a9723cee1d9f418609ed3c15e87c120bc6be
com.cognitect.aws	elasticloadbalancingv2	811.2.958.0		aa0a26b109f596b1c06dc2cb2e879b20e9597fa2
com.cognitect.aws	elasticloadbalancingv2	814.2.1008.0		c1f711de88d79894d85070a0c03ec15354082be8
com.cognitect.aws	elasticloadbalancingv2	814.2.1053.0		55100d3db1e45797a24ba0c9a7f5edfbde5fab64
com.cognitect.aws	elasticloadbalancingv2	821.2.1107.0		9683bcbadf60aa3c9731a921a2915f6afe215d54
com.cognitect.aws	elasticloadbalancingv2	822.2.1171.0		6561097babe33e91dc7a9bf11d9302a54632e5e5
