br.com.anteros	br.com.anteros.client.mqttv3.repository	1.2.2		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.10.0		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.10.1		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.10.2-preview.2.1.20		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.9.0		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.9.0-RC.1		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.9.0-RC.3		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.9.0-RC.4		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.9.0-RC.5		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.9.1		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.9.2		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.9.3		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.9.4		N/A
co.touchlab.skie	configuration-annotations-1.8.0-mingwx64	0.9.5		N/A
com.aliyun	paiflow20210202	1.0.35-tea1.1.13		854b06052443e9aea4761d85fc4ef95f907946f3
com.aliyun	paiflow20210202	1.1.0		27a74deb3f44529530ab4b7d2b008f6db607e1d3
com.aliyun	paiflow20210202	1.1.0	shaded	4472caae9f4d9c49d9df8d407abd605d89ef4fdd
com.aliyun	paiflow20210202	1.1.1		7d916e121ba65ffc728c6c38fb6470d652200cd6
com.aliyun	paiflow20210202	1.1.1	shaded	38248acf328a866f31a548213c19d6a40c6b2224
com.dongxiguo	scala-junction_2.9.0	0.1.0		a096fb773e03b5cab53515058f8029a1339af579
com.gitee.archermind-ti	materialimageloading	1.0.0-beta		N/A
com.github.alinvasile.jsla	jsla-sample-web	0.0.1-alpha1		N/A
com.github.alinvasile.jsla	jsla-sample-web	0.0.1-alpha2		N/A
com.github.helenusdriver	helenus-examples	1.0.9		e6b31ed711bb711da19b4f66bcfce4f9c58ddda5
