ch.cern.spark	spark-token-provider-kafka-0-10_2.12	3.0.1		c2417422c31b183ab9544f65630b2ef4aaeeb12a
io.insert-koin	koin-ksp-compiler	2.0.0-Beta2		b2a2121b3fd93396e4f797e74775456f628563ae
io.insert-koin	koin-ksp-compiler	2.0.0-Beta3		b2a2121b3fd93396e4f797e74775456f628563ae
io.insert-koin	koin-ksp-compiler	2.0.0-RC1		b2a2121b3fd93396e4f797e74775456f628563ae
io.insert-koin	koin-ksp-compiler	2.0.0-RC3		b2a2121b3fd93396e4f797e74775456f628563ae
io.insert-koin	koin-ksp-compiler	2.0.0-RC4		b2a2121b3fd93396e4f797e74775456f628563ae
io.insert-koin	koin-ksp-compiler	2.0.0-RC5		b2a2121b3fd93396e4f797e74775456f628563ae
io.insert-koin	koin-ksp-compiler	2.0.1-Beta1		b2a2121b3fd93396e4f797e74775456f628563ae
io.insert-koin	koin-ksp-compiler	2.0.1-RC1		b2a2121b3fd93396e4f797e74775456f628563ae
io.xlate	staedi-parent	0.0.1		N/A
it.tidalwave.imageio	jrawio-all	1.5.0		N/A
net.tirasa.openjpa-azure	openjpa-azure	0.2		ad712b514f1265926b45b9a13cfa7e58b7e1dbe4
net.tirasa.openjpa-azure	openjpa-azure	0.3		17967068853799396720a9d1dabecadf8630ddfe
net.tirasa.openjpa-azure	openjpa-azure	0.4		b6e82fe1d2683982ca22a00f867b5fb279b74f3f
org.actframework	act-maven-archetypes	1.8.11.0		N/A
org.actframework	act-maven-archetypes	1.8.12.0		N/A
org.actframework	act-maven-archetypes	1.8.13.0		N/A
org.actframework	act-maven-archetypes	1.8.14.0		N/A
org.actframework	act-maven-archetypes	1.8.15.0		N/A
org.actframework	act-maven-archetypes	1.8.16.0		N/A
org.actframework	act-maven-archetypes	1.8.16.1		N/A
org.actframework	act-maven-archetypes	1.8.17.0		N/A
org.actframework	act-maven-archetypes	1.8.17.1		N/A
org.actframework	act-maven-archetypes	1.8.18.0		N/A
org.actframework	act-maven-archetypes	1.8.19.0		N/A
