br.com.objectos.oss-java8	objectos-more-logging	1.0.0		c832dbf983d1d69867a5a9c99f6c34a864c2ce9b
cn.mapway	openapi-spring-boot-starter	1.0.0		a96ba92ce02bcdffa2bee8c3ce560f1bbdf30382
cn.mapway	openapi-spring-boot-starter	1.1.0		dc65fc5cf62d56b569b2a85ad68fac266ee731b4
cn.mapway	openapi-spring-boot-starter	1.2.0		2a11e1f9f6b3ebf49f6c20192aab0734d1ea6107
cn.mapway	openapi-spring-boot-starter	1.3.4		e6a2eef17ea1dbe5da9072d9de45d2ceea8bc4dd
co.early.n8	n8-core-watchosarm64	2.0.0-rc.1		N/A
co.early.n8	n8-core-watchosarm64	2.0.0-rc.1	metadata	c0998bfe454cce0a0a35236cb355179e08d7f607
co.yml	ychat-core-iossimulatorarm64	1.4.0		N/A
co.yml	ychat-core-iossimulatorarm64	1.4.0	metadata	82d7c18c0eb6f6cdaafde6accb93575f2b8149f0
co.yml	ychat-core-iossimulatorarm64	1.4.1		N/A
co.yml	ychat-core-iossimulatorarm64	1.4.1	metadata	ca338c0741dc8167c7492ca339d9de041627c556
com.47deg	freestyle-doobie_2.11	0.1.0		b964f27bde7c48b6c8d9e9e34683a6aeb858ee73
com.aliyun.angelia	angelia-rpc	1.0.0		87fa6c84d9b57493b4f37d9435a9b215a4eb8646
com.bidyut.tech.seahorse	seahorse-full-mingwx64	0.10.0		N/A
com.bidyut.tech.seahorse	seahorse-full-mingwx64	0.11.0		N/A
com.bidyut.tech.seahorse	seahorse-full-mingwx64	0.12.0		N/A
com.bidyut.tech.seahorse	seahorse-full-mingwx64	0.9.0		N/A
com.bq.oss.corbel	webfs	1.20.0		dfbd5cfeab274d9ccd486da68f0a647c68e9269b
com.codereligion	codereligion-diff	0.1.0		62c086b62280b5246d6f453f6c96fc9a2e61156d
com.codereligion	codereligion-diff	1.0.0		e09dbfc5c36106fa194221fdb5cc4911294c1656
com.daml	ledger-api-auth_2.13	0.0.0		c252ad8ec593096a4407e86b105038a02702149f
com.daml	ledger-api-auth_2.13	1.11.0		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.0-snapshot.20210217.6338.0.ba6ba901		c252ad8ec593096a4407e86b105038a02702149f
com.daml	ledger-api-auth_2.13	1.11.0-snapshot.20210224.6373.0.b0b0b4ea		c252ad8ec593096a4407e86b105038a02702149f
com.daml	ledger-api-auth_2.13	1.11.0-snapshot.20210224.6385.0.dba114a2		c252ad8ec593096a4407e86b105038a02702149f
com.daml	ledger-api-auth_2.13	1.11.0-snapshot.20210225.6390.0.0617fbde		c252ad8ec593096a4407e86b105038a02702149f
com.daml	ledger-api-auth_2.13	1.11.0-snapshot.20210303.6421.0.145ddaa8		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.0-snapshot.20210304.6422.0.d3d5042a		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.1		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.1-snapshot.20210312.6429.0.7cd6380e		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.1-snapshot.20210312.6429.1.7cd6380e		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
com.daml	ledger-api-auth_2.13	1.11.2		8ca6dc8df2cb97ed8bdf6b034bb828cbecb20274
