br.ufrn.sinfo	JApi	1.0.0		N/A
com.aftership	aftership-sdk	2.0.7		0aa86c0b059472c57cdbe10def70f8c72265e5b7
com.aftership	aftership-sdk	2.0.8		68b82c54ed47ca8688a7ca9ef1a3ce0690a0b4d4
com.aftership	aftership-sdk	2.1.0		a52b91c3f01d476bdd08510e4b14617e46b8cdff
com.aftership	aftership-sdk	2.1.10		f0b75a800293f58b6e912fae421b384e007a38a0
com.aftership	aftership-sdk	2.1.11		8078b3eb927306ffdd7516d10257aace692f2dc9
com.aftership	aftership-sdk	2.1.2		7e8fc95cfa65252a7f2a7bd747900c1097257048
com.aftership	aftership-sdk	2.1.3		f898854043027e26542d0367bd84de4c8b187446
com.aftership	aftership-sdk	2.1.4		401c02692699e5f910186fe97ef163910cfb9475
com.aftership	aftership-sdk	2.1.5		890e1b48f991b8ca59fe36ef8890a47888176ceb
com.aftership	aftership-sdk	2.1.6		8e17d591f525722c68da3e3ab83ccd58d06938f2
com.aftership	aftership-sdk	2.1.7		e1190fe7efee75c38974e6bc5f5bfe981bbcfccd
com.aftership	aftership-sdk	2.1.8		48fca745e04d4bb4bc03e3e5f4de2f907748980b
com.aftership	aftership-sdk	2.1.9		214fa18a0a6f762a9ae071f862a78e6cc217dc95
com.aftership	aftership-sdk	3.0.0		cab8dc4b70e3f8e15b52935cd1d142606e2006ca
com.aftership	aftership-sdk	4.0.0		869111b79550f6d2a85969f35b9f7c8d6fcc1230
com.aftership	aftership-sdk	4.0.1		b8b864cfe0aefcf39cee5320ef5cdf72d6f961c6
com.astralanguage	astra-docker	1.5.1		18a83d1d8652fa043b985b27a72909577b4e5080
com.astralanguage	astra-docker	2.0.0		d6482cfa6031aee33b549e23df37bd213ae32e32
com.astralanguage	astra-docker	2.0.1		94e0d34c488b10360c8c630def9363ec104a045b
com.badoo.reaktive	reaktive-annotations-watchossim	1.1.22		N/A
com.badoo.reaktive	reaktive-annotations-watchossim	1.2.0		N/A
com.datadoghq	dd-sdk-kotlin-multiplatform-logs	0.0.1		9f7281e1d2b108334fa854ef0337af8974929476
com.datadoghq	dd-sdk-kotlin-multiplatform-logs	0.0.2		d74451d11fe4b5532ea5a60d9d527a28cc3e72ac
com.datadoghq	dd-sdk-kotlin-multiplatform-logs	0.0.3		d74451d11fe4b5532ea5a60d9d527a28cc3e72ac
com.datadoghq	dd-sdk-kotlin-multiplatform-logs	0.4.0		8b01251ea8e467457a676efb560c49442d853e1c
com.datadoghq	dd-sdk-kotlin-multiplatform-logs	0.5.0		8b01251ea8e467457a676efb560c49442d853e1c
com.datadoghq	dd-sdk-kotlin-multiplatform-logs	1.0.0		8b01251ea8e467457a676efb560c49442d853e1c
com.datadoghq	dd-sdk-kotlin-multiplatform-logs	1.1.0		8b01251ea8e467457a676efb560c49442d853e1c
com.definesys.mpaas	ddmp-bpm-oracle-sdk	12.2.1.3		048b585ef8220717e592fb7afecf82bde4f74c7d
com.detmir.recycli	processors	1.0.2		595dd8796aa9c806ea16fd839b14632037a787dc
com.detmir.recycli	processors	1.0.3		74731d6f968859d3524e1bb5d332ea17be819238
com.detmir.recycli	processors	1.0.4		1f4240bee23b677b676a3d7877d2283cac16c54d
com.detmir.recycli	processors	1.0.5		65406656ca6bf1da941fcb15a4c82f4b1ed8336d
com.detmir.recycli	processors	1.0.6		4dab0fe4816e11f1373a4613cf74461827bebed1
com.detmir.recycli	processors	1.0.7		8deca9c793e85ac9ed520b715286cba8455b855f
com.detmir.recycli	processors	1.0.8		d81f681d303abeccce5c75bced75a0e3e9b377a3
com.detmir.recycli	processors	1.0.9		e83266698727b17858870311f0c40477423e01e2
com.detmir.recycli	processors	1.1.0		60f4602b4dbfb86e666c5c3c3408e09e23158b37
com.detmir.recycli	processors	1.2.0		47718ae73c0ce5e76c9f140e89879a0f229da417
com.detmir.recycli	processors	1.3.0		6fa98896717c33b538c34a15260f5d6fbe3cc471
com.detmir.recycli	processors	1.4.0		03444ecc9409fae04dc33165d87118d0af7e81cd
com.detmir.recycli	processors	1.5.0		93cb133edca877cbb2d31b2fdbfffcf55bfaaf72
com.detmir.recycli	processors	1.6.0		25c07246d322da7725c399701f8ff7fe5960c5c1
com.detmir.recycli	processors	1.7.0		c35cc2b3229be1e2e44c292ffb09bddabdb3899d
com.detmir.recycli	processors	1.8.0		68b623b32bad7c546ffc2fff124e8260cdded744
com.detmir.recycli	processors	1.9.0		e91468a26b3388a61a22f5a85a6241de22ab1703
com.detmir.recycli	processors	2.0.0		ba2cdff57067aa9508b78bd4ccea09bda67b8fe8
com.detmir.recycli	processors	2.1.0		f1236d9b47d2bdc863b4da91fe6029e26ededc6d
com.detmir.recycli	processors	2.2.0		ef48eeefbfe07f26069f11668b9d3d7c4290a2d0
com.divpundir.mavlink	connection-core-iosarm64	1.2.0		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.0	metadata	3315f1fee7d97ea41382ef5a03b3b76753563847
com.divpundir.mavlink	connection-core-iosarm64	1.2.0-alpha.5		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.0-alpha.5	metadata	453a693849fbf2f3b915901de55d083937bb7bf2
com.divpundir.mavlink	connection-core-iosarm64	1.2.0-dev.3		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.0-dev.3	metadata	4320ed1ad8f1d1f4dcf375203dabba75e83eb329
com.divpundir.mavlink	connection-core-iosarm64	1.2.1-alpha		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.1-alpha	metadata	aaf02b31c91e203ff30324120b3c2b19e13435c1
com.divpundir.mavlink	connection-core-iosarm64	1.2.2		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.2	metadata	f71485c610e14ebe70a44b0d513275a60734294c
com.divpundir.mavlink	connection-core-iosarm64	1.2.3		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.3	metadata	02758cf74bc4e8901f744538297b1b064111c065
com.divpundir.mavlink	connection-core-iosarm64	1.2.5		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.5	metadata	1c8f6651bcc5e4d1b8f9e9299a0f6e6fea710338
com.divpundir.mavlink	connection-core-iosarm64	1.2.6		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.6	metadata	e4f5870e1929e3472d541231e2e8a1945b9188fe
com.divpundir.mavlink	connection-core-iosarm64	1.2.7		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.7	metadata	cc68c0024ef6282f5f9ae114754ebf71e9c667cb
com.divpundir.mavlink	connection-core-iosarm64	1.2.7-alpha		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.7-alpha	metadata	6add16521e636fd664e5bf577eea7ffb46c12de1
com.divpundir.mavlink	connection-core-iosarm64	1.2.8		N/A
com.divpundir.mavlink	connection-core-iosarm64	1.2.8	metadata	0519070800f137907f9feaa06bfd9e58dd776b05
com.github.firststraw	jasypt-convenience	1.0		6ca33f572c0a064abec6c08587c8b038e54e9e80
com.github.firststraw	jasypt-convenience	1.0.1		925b31e4641da7494eed3533940619789d729747
com.github.firststraw	jasypt-convenience	1.0.2		35db58a15ed55135bcecb0273ede0726d08c9234
com.github.franket268.logisticstimeline	library	1.0		N/A
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC1		7a2459dc6491bca27804bd980d9fff5f698bf3bc
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC10		e243486a975f74f640b36bed1d982f1b37172a1b
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC11		eb38804b20954ea779b047d46844e5f6aedf0cd4
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC12		f168be5fbf228983ac787c3e400ac0b56e9a986f
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC2		69fa38d627ab3463b6e272e44f45c9ceaf4a7ff0
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC3		c5f4ac80242e75ac3a9114869d061156feb897d0
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC4		7679ec7b90abb52d76057a2cabd026c17958b88e
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC5		cd99cbc63e3e0101c2cdbbbfd628aefbfa0287e8
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC6		8633020beca4a27c7b77b5734caf2e3a28d5b7a6
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC7		7820e95fd21c32e9f673e829b247959596464312
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC8		23e18da49ad417a3c7bbaee830b3659cf8e2bcef
com.github.japgolly.webapp-util	core-cats-effect_2.13	2.0.0-RC9		3840652dd42f7f95befd4e47b6664d7c427fec3e
