cloud.piranha.webapp	piranha-admin-webapp	20.2.0		N/A
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.6.3		b3e98dd66594c695cd0e0f6ccc4717e211d63d67
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.6.4		811ee3fd4f2f456ffb354abc32b110cec278e7ec
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.7.0		17d66b9b4d1f4efac0ee2dcbe82b38272c4c8e72
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.7.0-preview.2.0.0-RC2		17d66b9b4d1f4efac0ee2dcbe82b38272c4c8e72
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.7.0-preview.2.0.0-RC3		17d66b9b4d1f4efac0ee2dcbe82b38272c4c8e72
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.7.1		fad7ed97dfacd86b6fad4be4b0e443e48a1d7ddd
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.7.1-preview.2.0.0-RC3		fad7ed97dfacd86b6fad4be4b0e443e48a1d7ddd
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.7.2		fad7ed97dfacd86b6fad4be4b0e443e48a1d7ddd
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.7.2-preview.2.0.0-RC3		fad7ed97dfacd86b6fad4be4b0e443e48a1d7ddd
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.8.0		03f4b94ce624ae3c2f61d63449970673b66fb5d8
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.8.1		03f4b94ce624ae3c2f61d63449970673b66fb5d8
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.8.2		03f4b94ce624ae3c2f61d63449970673b66fb5d8
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.1	0.8.3		03f4b94ce624ae3c2f61d63449970673b66fb5d8
