cn.easyproject	easycommons	1.0.1-RELEASE		N/A
cn.huangxulin	service-broker-parent	2024.4.8		N/A
cn.huangxulin	service-broker-parent	2024.5.8		N/A
com.airsaid.sample	com.airsaid.sample.gradle.plugin	1.0.0		N/A
com.airsaid.sample	com.airsaid.sample.gradle.plugin	1.0.1		N/A
com.airsaid.sample	com.airsaid.sample.gradle.plugin	1.1.0		N/A
com.airsaid.sample	com.airsaid.sample.gradle.plugin	1.1.1		N/A
com.airsaid.sample	com.airsaid.sample.gradle.plugin	1.1.2		N/A
com.airsaid.sample	com.airsaid.sample.gradle.plugin	1.1.3		N/A
com.blackducksoftware.integration	hub-sbt-plugin_2.10_0.13	1.0.0		1b814fd9576c6dfe73e8e6b4bcafbcbc620d17bd
com.blackducksoftware.integration	hub-sbt-plugin_2.10_0.13	1.1.0		35c996d504a6eea2f5cce94adabda0224c4a6cf1
com.composum.ai.aem.tools	composum-ai.config.fulltextindex	2.2.4		N/A
com.coralogix	sdkcore_2.12	0.0.1		52cf806836d98665bef111d8f4a75352ad453303
com.dwolla	fs2-pgp_2.13	0.1.0		407eec36db6498e41b7f0f528cc1a9a9201fea86
com.dwolla	fs2-pgp_2.13	0.2.0		017622cb1d376d4633fd3c8aa0cfea44c02ac626
com.dwolla	fs2-pgp_2.13	0.2.1		25a1f8c5879976bd54cc801bd822cac0adb9ed1f
com.dwolla	fs2-pgp_2.13	0.2.2		a32d979ea9e5ff584b9a1e644742761028dddf1a
com.dwolla	fs2-pgp_2.13	0.2.3		c95556bef7bb30fac8287e84e989cc2d736c8b41
com.dwolla	fs2-pgp_2.13	0.2.4		14933099ee6a71c2a9ec99ecd0dd40118af9bb77
com.dwolla	fs2-pgp_2.13	0.2.5		af65ab1f0767ec2d57e3e78a17faa77ed9d8648c
com.dwolla	fs2-pgp_2.13	0.3.0		036a0a2435cbb8f204f5e66efaecab4bffab9305
com.dwolla	fs2-pgp_2.13	0.4.0		2abe7a18a75863e60ff48b161e26d1478dce3a21
com.dwolla	fs2-pgp_2.13	0.4.1		830007afbf137f8d6a8c804ffcfdbdec32efddb2
com.dwolla	fs2-pgp_2.13	0.4.2		bb5f9b187bc53f0787a8d8023aff4ec131c8d08c
com.dwolla	fs2-pgp_2.13	0.4.3		f0cc7e69fcc85727dacc282f7bbee1df357e2666
com.dwolla	fs2-pgp_2.13	0.4.4		2c8f5fd6b59b49e9ae85f84cb1fe14fdfbd5dcd8
com.dwolla	fs2-pgp_2.13	0.4.5		dcb591174e1937be2cebd2482067bad4df065c8e
com.dwolla	fs2-pgp_2.13	0.4.6		ed4db7fcde826ac30a9f2a763d4d53de7610fc28
com.eelot	easy-base	1.1.7		N/A
com.eelot	easy-base	1.1.8		N/A
com.fastjrun.codeg.apibase	sdkg-apibase-client	3.1		6217f73a71c5f507f5bce8c96e962ad0d85a7ee3
com.fastjrun.codeg.apibase	sdkg-apibase-client	3.2		56d3ae914a32aef5806c7bdb4808a8130758e4e8
com.fastjrun.codeg.apibase	sdkg-apibase-client	3.2.1		07d16c67aeed1ae1a507c29b40fa168026cce576
