ai.x	safe_2.10	0.1.0		b1e12f8bfd3d0228c81fd800929066648b6bee20
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.10.0		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.10.0	metadata	b8b02b8314083b13f0056cce4928f2a65f47142c
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.10.1		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.10.1	metadata	b52f7cec991603b4f8ad0bd03de5c102c9a893a8
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.11.0		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.11.0	metadata	d3ac7e4aed4f5865bc882bad5f4d41981bcbd213
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.11.1		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.11.1	metadata	6d2b2f6ba234b638e63c8f179354eb37ebd8b495
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.12.0		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.12.0	metadata	0d750854c4985e66b7642fa1ebf92cef8198ddd9
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.12.1		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.12.1	metadata	281bd700ab2e9ebbbb23166f5808b1cd87bed1f7
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.13.0		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.13.0	metadata	f06b58fc27168bf1c9b83953155a1b1a1a9eb435
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.14.0		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.14.0	metadata	4262587ebe410af196a7d0404ccb3a80a5cd56ba
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.15.0		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.15.0	metadata	20c2df204ddc7b7da9e9af84f34253a78c207b0b
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.15.1		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.15.1	metadata	04f02753d44451da4457c3a2412256a127b215ff
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.15.2		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.15.2	metadata	c56777af860a5d540e49d29606d626ead9747c01
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.16.0		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.16.0	metadata	9471d6eb3133ab3291acff8a94d6cade5358ad3b
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.16.1		N/A
at.asitplus.signum	indispensable-asn1-tvossimulatorarm64	3.16.1	metadata	23b272d98e236f70a03967a15e0c117db22f0707
aws.sdk.kotlin	ec2instanceconnect-jvm	0.16.0		29a023c258b858a6653220a976299acb73adb640
aws.sdk.kotlin	ec2instanceconnect-jvm	0.16.1-beta		770f0ff3b917988fd77636cd85b6d98c1b6254fd
aws.sdk.kotlin	ec2instanceconnect-jvm	0.16.2-beta		334bad675049363dccad88b96daeb1ac6c3db208
aws.sdk.kotlin	ec2instanceconnect-jvm	0.16.3-beta		5a881987abdc00e954337b3da2612a625025666d
aws.sdk.kotlin	ec2instanceconnect-jvm	0.16.4-beta		444b28f1a720134edf75be423f6369df6c55b288
