ai.hypergraph	kaliningraph-js	0.2.1		N/A
app.cash.exhaustive	exhaustive-annotation-iosarm64	0.1.0		N/A
app.cash.exhaustive	exhaustive-annotation-iosarm64	0.1.1		N/A
app.cash.exhaustive	exhaustive-annotation-iosarm64	0.2.0		N/A
app.cash.exhaustive	exhaustive-annotation-iosarm64	0.2.0-M1		N/A
app.cash.sqldelight	androidx-paging3-extensions-linuxx64	2.0.0		N/A
app.cash.sqldelight	androidx-paging3-extensions-linuxx64	2.0.0-rc02		N/A
app.cash.sqldelight	androidx-paging3-extensions-linuxx64	2.0.1		N/A
app.cash.sqldelight	androidx-paging3-extensions-linuxx64	2.0.2		N/A
ch.sahits.game	OpenPatricianGameEvent	0.0.1		5c33c93f71c1350100be2e40557e773f559c82d9
ch.sahits.game	OpenPatricianGameEvent	0.0.2		5165fde9640ad6397148001a34c48b67047cd1b9
ch.sahits.game	OpenPatricianGameEvent	0.4.0		18c8f3c750a0d05a595968b8d0539aea8bbfb2c8
ch.sahits.game	OpenPatricianGameEvent	0.4.1		f43006586d40f8f99708a602c67a16d0bdacbdbc
ch.sahits.game	OpenPatricianGameEvent	0.5.0		c6d4dd58371c344eb72e6cdbec71b147ceec4f0c
ch.sahits.game	OpenPatricianGameEvent	0.5.0-RC2		f587a53aeaded9f85a6c6855fa12e480a8059515
ch.sahits.game	OpenPatricianGameEvent	0.6.0		4bde58f5f4d665c3faf4f3669775dc0403909e07
ch.sahits.game	OpenPatricianGameEvent	0.6.0-RC1		f2ca4aefb641be8c7c8a6cbbbfbbe7dbff7bd23d
ch.sahits.game	OpenPatricianGameEvent	0.7.0		1fc974011018fd64c7b1978c7e2bc581a7c9c773
ch.sahits.game	OpenPatricianGameEvent	0.7.0-RC1		ef8475010db7d9883e4ef9d44d825cf028c6c8ff
ch.sahits.game	OpenPatricianGameEvent	0.8.0		fbf6d2b78cc57ba995c19cd4f2280f0468836f05
ch.sahits.game	OpenPatricianGameEvent	0.8.0-RC1		00324683bf7bc18b052381262b5332e3800edd7b
ch.sahits.game	OpenPatricianGameEvent	0.9.0		26fbadf29b8a1324273b9b3d686677e2d5980705
ch.sahits.game	OpenPatricianGameEvent	0.9.0-RC1		cbf9b7f313b75ea7ef75ab7890a93091f5e44c3c
ch.sahits.game	OpenPatricianGameEvent	0.9.0-RC2		c42d3e1c30e91650d688280c1b1f44a405c87037
ch.sahits.game	OpenPatricianGameEvent	0.9.1		3edcf4a8dcc292de581e9b23cbe11d1510fdd0e9
ch.sahits.game	OpenPatricianGameEvent	0.9.1-RC1		f275af73f0730d88a44eea51d7acadd92c96dc17
ch.sahits.game	OpenPatricianGameEvent	1.0.0		465bdbda633cdb1edf9114d76dd31b9036d21cf5
ch.sahits.game	OpenPatricianGameEvent	1.0.0_RC2		d48752bafcc562ab1648e7903779439e2835cbe7
ch.sahits.game	OpenPatricianGameEvent	1.0.0_RC3		be92c202cf7f42227c026dde0ff1da1689ba1864
ch.sahits.game	OpenPatricianGameEvent	1.0.1		87d5a3a30783a6d6ab12ef0f2cd96ee7b4ed0efb
cn.fox-tech	fox-edge-server-common-utils-time-interval	1.1.8		f86db421e2c3ad0d170c063a75c461c17948593d
cn.fox-tech	fox-edge-server-common-utils-time-interval	1.1.9		8914934cf866d289318868dd4dce652a2808719a
cn.fox-tech	fox-edge-server-common-utils-time-interval	1.2.0		943fc4fe3a151cbbc2f7bc19f510302194c2b931
cn.fox-tech	fox-edge-server-common-utils-time-interval	1.2.1		369303a4bc3fd6c52538da06f92cc2a8cd93b14e
cn.fox-tech	fox-edge-server-common-utils-time-interval	1.2.3		11e7f48d05cf7f32dd501c03e6624b831532d8a7
com.17jee	e-core-template-freemarker	3.0.0		fad1ab9f38f5a367f60fece8edd2a8c33df02b81
com.17jee	e-core-template-freemarker	3.0.0.RELEASE		08c83a3cda16445af3bf9c5dd02d381044ed2148
com.17jee	e-core-template-freemarker	3.0.1.0		046e7be0433f39e64bf0dce039ffd17570524a14
com.17jee	e-core-template-freemarker	3.0.1.1		7eaeb96adef187ef7d1016e573092169957651d5
com.17jee	e-core-template-freemarker	3.0.1.10		07570e0661e9941f667362c6ea0507af68c6930a
com.17jee	e-core-template-freemarker	3.0.1.11		1b6f7da555a06487d77aef5b7c0daac670b22836
com.17jee	e-core-template-freemarker	3.0.1.2		654c80c2d06ca24c29aa0eced60968e52db6e650
com.17jee	e-core-template-freemarker	3.0.1.3		de25a792bbf67a3b109d566d4d2210778a434a81
com.17jee	e-core-template-freemarker	3.0.1.4		f573c9100ddaeed6c30e5860f20bbe860e7da10f
com.17jee	e-core-template-freemarker	3.0.1.5		50ae0379cfbaa88b561b65cc966284dd3b7942b2
com.17jee	e-core-template-freemarker	3.0.1.6		48f19cbfea11e5774b95841949f98c37d56e55a5
com.17jee	e-core-template-freemarker	3.0.1.7		4149dc15fbb30b2f46189608e84e6bcb71855f1e
com.17jee	e-core-template-freemarker	3.0.1.8		223ff67ce00738184935a2044a02697fa308d1f4
com.17jee	e-core-template-freemarker	3.0.1.9		0cac9198993c4f39799b3dc6feface52435f54f6
com.acooly	acooly-portlets-alog-openapi	5.2.0		fdbadcc2a2dc349fbbf80c307616cd0a976b005f
com.acooly	acooly-portlets-alog-openapi	5.2.1		8d0d11acac044c395077cdb89b50bdedb869e53f
com.aizuda	easy-retry-client-starter	0.0.1		c133082e7e8557d30994fc311ec109a44ec34667
com.aizuda	easy-retry-client-starter	0.0.2		1c345e3622f5efd7c7603282a0c4d86950872055
com.aizuda	easy-retry-client-starter	1.0.0		234a4dd56d965ceb7bb61eceb6c27b2823352f32
com.aizuda	easy-retry-client-starter	1.1.0		aaf190772aa437243a71342812073ff99ea32d5f
com.aizuda	easy-retry-client-starter	1.2.0		e8b7d92f8284a8a15c5b49a5d597e70cb4ae5eec
com.aizuda	easy-retry-client-starter	1.3.0		74ef38c4be58e4d6de52275d20ea49f8c22f07ba
com.aizuda	easy-retry-client-starter	1.4.0		60061238d4b7fd1d3e4429c03ce869ac32080ee8
com.aizuda	easy-retry-client-starter	1.5.0		197c4e551c3649cb07c1be2d2e78eab5555e647e
com.aizuda	easy-retry-client-starter	1.5.1		b08656fbb953d8af1ae6d64dd95d90d25fe57607
com.aizuda	easy-retry-client-starter	2.0.0		80671460e3f9f0a9323944ea6463409bff680fbe
com.aizuda	easy-retry-client-starter	2.0.1		3a21ef52f0d67f2b2002fa985eed75386e171628
com.aizuda	easy-retry-client-starter	2.0.2		baabae67652dabe20661d3cc03a7787d4ec27d7a
com.aizuda	easy-retry-client-starter	2.0.3		6600fb4590028b9dfff3b693bc35237189a9571d
com.aizuda	easy-retry-client-starter	2.1.0		d042592cc246ecce5cb4276fbba0552b5c297cdc
com.aizuda	easy-retry-client-starter	2.1.1		5c87259b9b30aa74e2878f1366fe8fb50ce0874d
com.aizuda	easy-retry-client-starter	2.2.0		068f9c101d35e1a946ba954f676a9fe3b53bfc15
com.aizuda	easy-retry-client-starter	2.3.0		d8a55ccb24ac1b0505048f237c1feae1fdf0eb97
com.aizuda	easy-retry-client-starter	2.3.1		30f7b84308a80a14f9512d485416a3ffb590def5
com.aizuda	easy-retry-client-starter	2.3.2		fb5c72f017fefe39afd6e31d1399f4d63ba88bfa
com.aizuda	easy-retry-client-starter	2.4.0		3408f3d2f9ae39939954dec7f7b04c37498cfd2b
com.aizuda	easy-retry-client-starter	2.5.0		4bf121a3a2532020b7994089a7bcea374fa668fe
com.aizuda	easy-retry-client-starter	2.6.0		4d686c929aec35ba6c87d926de3e0d3837e840d1
com.aizuda	easy-retry-client-starter	2.6.1		d0be9bf7c0b055558e226cfa499838384f87099d
com.aizuda	easy-retry-client-starter	3.0.0		6b5aef56fb3d3f501e24913803a95ab9265ae419
com.aizuda	easy-retry-client-starter	3.1.0		9e89c3543815a742bd44337c2a3f74934756279b
com.aizuda	easy-retry-client-starter	3.1.1		a507fe1f68bfeee77e592031cae1ff52a8f9fa02
com.aizuda	easy-retry-client-starter	3.2.0		a366dc6b4eade0f307967257ff9cb725f3036c7e
com.bytedance.tools.codelocator	codelocator-lancet-popup-support	2.0.0		N/A
com.carltian	doc4j-xhtmlrenderer	3.0.0-M0		b029e4a4e7beb9d5fadb97986020e35ba757f6f4
com.carltian	doc4j-xhtmlrenderer	3.0.0-M1		26f1bfb54377a80e13ea932573dd8d6ac88b7792
com.eurodyn.qlack.fuse	qlack-fuse-aaa	2.3.18		219c1d8373639b010cdda2e7751455e844bf83bf
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.0.0		ea0bab9ab31da9f106e2f3f0b06927274b9a8506
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.0.1		6b0b32419c76e91418b6642f23bfc32fcc4c0d42
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.1.0		da810496c1dc0f180cf23af33203f6eca1d88aee
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.1.1		9ad20d23910ac3183a0624442995cb75ec8d4ba7
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.1.2		3a4b94883d2768e560d9748fdf7a8f77225f3952
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.2.0		4cc789c273f4435127457e438738da1b6072964b
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.2.1		748e693dafe0cd7117966579dd5239594cc7bf23
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.2.2		77f70146e658108167ee24605a9afd2faa77b0b3
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.2.3		01e9bbcb723c5056007dde243564048d0aa302d1
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.2.4		8c37488e89148ba479da4efdc7316aed0ab200d6
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.2.5		e49b22ca91e545a23fedb3c4783ad5587767d184
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.2.6		2d2c840f255621c03981b640e5e12466c9d3bcf6
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.2.7		b5b72b5879291c7da88b59c93f0f77c8d796e06d
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.2.8		bc3924c7b33dee4d231871dcb0bb6e2b38bea29b
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.3.0		91227ab6089bb6cbf96715ee3e575bda60652a37
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.4.0		48e7d251594456f7a95b00eedc94f7493a2f9fc5
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.4.2		e635054297ff39f747d305ba56d0c4b47c241e28
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.4.3		2e40372427a71d5915ff9892c3a27152b826ba9f
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.4.4		c9f128ef8abdd5056d43f815c61c3b12d9789d90
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.4.5		6ee135d88351f0b694163f42ad6757414908a1c3
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.4.6		2e7db2240f66d6d779af62711ad86ab85b427ab6
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.0		de6bef333f54aa84bd2d2a72a01b21470154e485
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.1		3c3f41038e3e8e2366f3c9f2b5b72ca4cefb6ddd
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.10		f2d37c386f761ae29bffa34e1b42c2cfd57198c7
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.11		f4f84da0f7ea5b4c096afb52ebd31f2008835953
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.2		e0ee2940d2faa7e8cc229f6ecfee82e359c2acfd
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.3		77318c15c4e6326bbc9dc723f8f649d2ddd956f7
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.4		7ed9ff952e8d1d7ea07caa0c0d3f08febc19c5f6
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.5		54cd2e8f9acadd343bfa2e1bff8429fc6238412f
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.6		5a442482515aab17c5565912555a7306b79c1e38
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.7		bdc505cae5f3dc1f5ddd04fe66b7c211e49cd37c
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.8		9315755bbbc394a176a30b845c3e77620aa44c53
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.5.9		5943b7114dcae2b9c6f0475877b910a50e9471ee
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.6.0		1c538499f0ec650268e3f84a6ee0f8dd099ac40e
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.6.1		2cad6bf618ad6190e045fdd443eabe53725195e0
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.6.2		65e256fc343e0e2778df27eb8c7bf67217258557
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.6.3		aacb5ec1cd97bfe9edd439be0eeb9dc9aac30ad0
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.6.4		6e34a0333d66c4aace6fdf28ae36caf720741209
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.6.5		074ee653ac25890ddf6659c27393b81096c91a97
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.6.6		86cd98bed1e2a66e71177d07ee25c7b568497b5a
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.6.7		9fcc1e15fd8dfa7a5b2bb3a98f81f16e307fae57
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.6.8		034d48598feee144f97bb86d56e0351d15b9ebab
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.6.9		f289e125fc1b02fa6a14c8d456f99897c3fedc14
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.8.10		4b687d3d30f181de07916af189647d32d80507c6
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.8.11		54fd9c5f742295678bc18b255c21fed33f57ed56
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.8.9		a5441974c5fa2a5348dbf8685806c980056649e8
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.9.0		b547da0f2aa2f69e6139a2c78ff2815351ddd66f
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.9.1		087d66a10c941768d523f297aef991ea3119b899
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.9.2		cd493fa1eb0b0e8472061e07cb131a0e272612c0
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.9.3		0019c611551df8f8ff15cf463227828379a544a0
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.9.4		317c0d76b33955d02e78e34af628a4808c57a99f
com.eurodyn.qlack.fuse	qlack-fuse-aaa	3.9.5		bc85d30f5a4c62d9ea7d3d458a65e165235142a3
com.github.hekonsek	rxjava-connect-kafka	0.0		1454d4447d12a38612750082646b8bf9323f0528
com.github.hekonsek	rxjava-connect-kafka	0.1		b4f68322370e311f7c389ab74d4617b0bf9d7c99
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.0.0		96260b399da4a1eadcae9672116fc2d1671fad49
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.0.0-RC2		a7862012782da7d58c97879722cfbe918929080a
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.0.0-RC3		318c7a48d98e0d25079cd2ba6f26724590e63468
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.0.0-RC4		46a439ff3429029e6db2bbe493d4ceeff28bf069
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.0.0-RC5		37cc2f80a3b225168186ad22712a6d2400bf3728
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.0.1		d2c6747c2dd4593ff1303736d42b85080c23baec
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.1.0		3257d37307f72fd74f1c52e943311740e1059b99
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.1.1		637e623ede13b2110d46bafbeeb74ea369683544
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.1.2		6610aa45865e025e297eecddcc1e36b9a91d0279
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.2.0-beta1		90085e0184f8edb552d1d27a5d999a3f76836d70
com.github.japgolly.scalajs-react	util-dummy-defaults_sjs1_2.13	2.2.0-beta2		42b719e9dbdbbe6e741520307c81c646a3c940f6
