at.a-sit	grapheme-clusters-linuxx64	0.0.1		N/A
cn.safekeeper	safekeeper-common	0.0.1		4065e72938ffa5dfd5522f5b595db89d534c777f
cn.safekeeper	safekeeper-common	0.0.2		2f5136356bcbb09f6df6e721a25198a4dbb54c85
cn.safekeeper	safekeeper-common	0.0.3		ce9e9b45a4dad2ce0d7627df5fdeeac7d5d90eab
cn.safekeeper	safekeeper-common	1.0.0		b7726e5a9a74df2991140bdf4572aaa083c39c91
cn.safekeeper	safekeeper-common	1.1.0		074cdff0803aa0f87a66e22628255ba4e4c7054e
com.andyserver.maven.plugins	jenkinsfile-maven-plugin	1.0.0		30ee3f43d298d8dc73c81eee601dbaabcbc882fa
com.andyserver.maven.plugins	jenkinsfile-maven-plugin	1.0.1		600991e3a525620ed346fac142b447484e870c78
com.astrapay.sdk	astrapayui	1.25.0		N/A
com.carecon.fabric3	fabric3-execution	3.0.0		d90249b38c9a1eb2311518a24fd01a9a6132a701
com.carecon.fabric3	fabric3-execution	3.1.0		b6720fb91cc559a47e93956881c16b7b36c47e50
com.codestepfish	vline-spring-boot-starter	0.0.1		96dd6ef7a22cdc7a66316ba69f96b6fbd0c67682
com.codestepfish	vline-spring-boot-starter	0.0.2		a251c8881b53200a4206658a46ec1f3e15d0614c
com.codestepfish	vline-spring-boot-starter	0.0.3		e959c4c0bf87e7ecb77a13b533b1e5477aa9d16e
com.codestepfish	vline-spring-boot-starter	0.0.4		37a76d8507e7c7cf83e173cf2db38a000ddcfe25
com.cognitect.aws	appstream	668.2.364.0		913f1cd9b313b842fe9d13f5d98f73b7f338e5cd
com.cognitect.aws	appstream	697.2.391.0		4fb03e06fa6c0ed74a1a90431369acd89b1df49f
com.cognitect.aws	appstream	701.2.392.0		f0fc0c301dca0ace0be694a61c75c2c86a41026e
com.cognitect.aws	appstream	705.2.401.0		8abf9d10fe32207f48581e636467260f8f58e44f
com.cognitect.aws	appstream	719.2.458.0		8d9665f52d6126790117990fb824fdc7a2aaeb6b
com.cognitect.aws	appstream	723.2.476.0		3ad9d553816efd61d63e9feb353ae6e298b0a8e9
com.cognitect.aws	appstream	726.2.487.0		4bebfdd0cd0d72381abf851ebc400554f67fb301
com.cognitect.aws	appstream	742.2.514.0		42738478927f22050f6398508e59531b63d13f89
com.cognitect.aws	appstream	742.2.525.0		d5fc58d281b0c40973cfd0cdd40016d08426e11e
com.cognitect.aws	appstream	746.2.533.0		0a61d4cd3fb947008fd43e117ffd08c4a40b11e8
com.cognitect.aws	appstream	762.2.559.0		254fdaa4f0594cba4e89f028b5432851808dccac
com.cognitect.aws	appstream	770.2.568.0		9e89b946c8f9d09fa737b508ea35c5a1ae16b7cd
com.cognitect.aws	appstream	809.2.734.0		5071ae76c48b526ec44d0667e30935dd600f6f18
com.cognitect.aws	appstream	811.2.834.0		bbb8e84be1989b22b763f7e34923bd80c4c5dde8
com.cognitect.aws	appstream	811.2.889.0		ddaa6a4c785540bd42c5d204bf903b6a465b9572
com.cognitect.aws	appstream	814.2.1053.0		4d0629a9210d73a1f0e8c9e98611377d37c6b526
com.cognitect.aws	appstream	821.2.1107.0		21530128d546f4064c2c6e77589e7a5a28110bc5
com.cognitect.aws	appstream	822.2.1122.0		1ff1c58b87496a15e54074db5e85a169752e5154
com.cognitect.aws	appstream	822.2.1171.0		1f5f60779583760ee4435e624638b71733bbe0e7
com.cognitect.aws	appstream	825.2.1250.0		2e8d018e73c60d60670fe548cb3b2f9370611231
com.cognitect.aws	appstream	847.2.1365.0		da3c345ea1d2bf0a93df0d2a8c3f4ab556053f0c
com.cognitect.aws	appstream	848.2.1413.0		d43f5ad48bf5222e5b81b554937cbecc5ef520f4
com.cognitect.aws	appstream	852.2.1525.0		7038dc35652c476e3cb45161dd55b7bf722cbfae
com.cognitect.aws	appstream	869.2.1687.0		df3736fec868b0b79701d66ce23bcdf21401158d
com.cognitect.aws	appstream	871.2.29.35		a4b37ec42b655b8562a7580d9f0b68d3599c1b0f
com.cognitect.aws	appstream	871.2.29.39		d01c51f0c7a331d534413b6e78787db60376de93
com.cognitect.aws	appstream	871.2.30.11		8fd4029a704754a4d55d8f1fd15aad71f8c9b20a
com.cognitect.aws	appstream	871.2.31.23		9f345302fadc6535266d1adc3d30fb1b8838ade5
com.distelli.persistence	persistence-interface	3.8.10		35b20c0e270027430596315c6592feeb4b715705
com.distelli.persistence	persistence-interface	3.8.11		dda5e7f3d2d45eac4c7cf1a970fec4375818e9ea
com.distelli.persistence	persistence-interface	3.8.12		dbbdabd5430a812c5eddddadb2b90e74ecaacaf4
com.distelli.persistence	persistence-interface	3.8.13		2cfd2cf7c83e5007ef40b59f0afcd2f8237ad854
com.distelli.persistence	persistence-interface	3.8.14		894263f63cc3e100a2e7b9c5fcc34ace2f2fe863
com.distelli.persistence	persistence-interface	3.8.15		24ed4e0329478eb6e25671cdfb65c64ed70dd81d
com.distelli.persistence	persistence-interface	3.8.16		82b00328e9f43ede35b64d35434eb868b39da76d
com.distelli.persistence	persistence-interface	3.8.8		42ecdb8ed1c47232da64d087d338e37ea06748bb
