biz.paluch.visualizr	visualizr	1.0		addbffc22b90edae36f64790d3b55fe9b4a23ff2
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.3.1	metadata	9307a601b7072b60bad8698bb0eddba69880cc19
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.3.2		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.3.2	metadata	fd2f0e91e05edbe0aaf10315f5250f63ac2832e3
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.4.0		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.4.0	metadata	fac465068c17ac3c0dc272823da321ea1f13f8ac
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.5.0		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.5.0	metadata	599c244d185dc68315bd5a309a2ce9af82e456f0
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.6.0		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.6.0	metadata	8ea0200da15036b18944fb6af7df7eab9e2bf7ba
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.6.1		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.6.1	metadata	aef334a6d6c893d0ecac83527c7a292caeec3001
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.6.2		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.6.2	metadata	615d38d2192ee19faa2e5c63bf8def8589109e1f
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.0		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.0	metadata	0335ea1bdf33b2578e56f428fde8e78bbf3bbd9b
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.1		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.1	metadata	5664af3d984325113a18b791e6fa5c49ca58bfd2
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.2		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.2	metadata	09a9fdd9e4b5fdd3e1522012825d937969eb3f2c
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.3		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.3	metadata	8756be37606620881a4cdd8ce7667b01d6ed84c5
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.4		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.4	metadata	d932bbe0834ff787128377fba6cf97627802cda3
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.5		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.7.5	metadata	85902e5825487b07782543194969f765162d50e9
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.0		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.0	metadata	027504714effdbb5c398c04696475c23ec210158
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.1		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.1	metadata	129ee8b7fe0e64a061b9f145a65dd57be93fcbdc
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.2		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.2	metadata	331b0c6dfcebefeabc472e624a26197ca8b13929
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.3		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.3	metadata	eed6526b382b35a50588a3401d7ef0eef940cecf
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.4		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.4	metadata	c2b0c29a90dbe996e3b3b0e06ad020acbfa3735b
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.5		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.8.5	metadata	2f007f180c94d1745df905749d8873001dfb97c2
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-alpha.1		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-alpha.1	metadata	735cd42bd88780a6e11d5a950fed4ff5ef1f9c5e
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-alpha.2		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-alpha.2	metadata	2f8f0440d4fbcda1c2e034e4b7b87a747a99387a
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-alpha.3		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-alpha.3	metadata	30e3f760aa58071de7595b0e032f3cc225071436
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.1		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.1	metadata	fb97e8fa97221db7bfe2190561480d5a3886fd14
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.2		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.2	metadata	40c04d411c3dd6db7f663b12d05f48ab633ef6af
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.3		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.3	metadata	ef39187549dacedb1fc4d829121a862319467901
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.4		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.4	metadata	1323c248cbedbd2d12e3cb552a8713af13e6f3eb
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.5		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.5	metadata	493faccdf0135f9864a93f178ad88b9689947c28
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.6		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.6	metadata	4369433514c6b6995537565a463c1df8c5b84ae9
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.7		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	4.0.0-beta.7	metadata	6ec11f968c9122a43fb4c3062a0b91ba4c87d66a
com.bennyhuo.kotlin.apt	deepcopy-compiler	1.5.0		234edd9b7486ed520cea088cef23c86a2b88020e
com.buschmais.jqassistant.examples	jqassistant.examples.rules.asciidoc	1.0.0		0c50e53d0ce3135c68f85c3bac526fde02841579
com.buschmais.jqassistant.examples	jqassistant.examples.rules.asciidoc	1.0.0-RC1		4c250a8f5ee5384d1d74bbf851044ffc33fbc6d4
com.buschmais.jqassistant.examples	jqassistant.examples.rules.asciidoc	1.1.0		feee9e56e530b7f4122e746e686dd9efdf511397
com.buschmais.jqassistant.examples	jqassistant.examples.rules.asciidoc	1.1.0-RC1		a3b6c5e3cf2b91602377c09d8f8145972fb111c9
com.buschmais.jqassistant.examples	jqassistant.examples.rules.asciidoc	1.1.0-RC2		7ccce51581fe00c44916a1ef6cb46b0854f73c5c
com.buschmais.jqassistant.examples	jqassistant.examples.rules.asciidoc	1.1.1		d25cbb6386997ff8b1cf2186c96a7f788769f9db
com.buschmais.jqassistant.examples	jqassistant.examples.rules.asciidoc	1.1.2		72f14d590e09b4dcde22944e8ba64a88cbbc27a4
com.buschmais.jqassistant.examples	jqassistant.examples.rules.asciidoc	1.1.3		3e4c72fc29cb1587ed82529210a2a36577d3d1c4
com.buschmais.jqassistant.examples	jqassistant.examples.rules.asciidoc	1.1.4		f9c8a29158530743cd51ca33b845d84e11411406
com.ciaransloan	salient-iossimulatorarm64	1.0.0-alpha02		N/A
com.ciaransloan	salient-iossimulatorarm64	1.0.0-alpha02	metadata	cf3b4721dce17c5beb25ea753d25bdc5b022cc2a
com.gilcloud.fs2	fs2-sink-http-salesforce_2.13	0.1.0		77a18243714b0c41732ca1e5c65c6822c5710810
com.gilcloud.fs2	fs2-sink-http-salesforce_2.13	0.1.2		1fee35ce57c7c902e76adec236063cc33e0b62d3
com.github.arvyy	srfi-189	0.0.1		b50c2df9ed80ed37ed603f8715ac5749046277c6
com.github.luoshu-open	luoshu-http	0.22		138a9a17ec1e580b9ab652881e397b931251d5a9
com.github.luoshu-open	luoshu-http	0.23		8db742011ac651e1439f738e4b83c7801997bfb2
com.github.luoshu-open	luoshu-http	0.26		1500f3fc782d28af8703556c6e0403f3f07b989c
com.github.luoshu-open	luoshu-http	0.27		b1b169c40fc3da80f6a538f7fda21ed8f92cc98c
com.github.luoshu-open	luoshu-http	0.28		ae44a6638d39e628282fa7e2f1a2838cab0b942c
com.github.luoshu-open	luoshu-http	0.29		56eaeab8b5a94c6d4ccb77d7f7bfd4efb8572634
com.github.luoshu-open	luoshu-http	0.3		18aeb5c6f8cca52802bde86b447e5c74745f98e8
com.github.luoshu-open	luoshu-http	0.31		5790acd5ca42ae9b1713dfbe528a94319102bae6
com.github.luoshu-open	luoshu-http	0.32		e893cd93d5b0d0cf916242382525d7c0ff033f8d
com.google.api-ads	ad-manager	0.1.0		27f9e4d350d5865c6d640c4b6bf241dc3d5ce3de
com.google.api-ads	ad-manager	0.10.0		be2b314d66ecf317d36db8701e7f8542d85116ee
com.google.api-ads	ad-manager	0.11.0		b19af89c62a01e32c6cb174e079359b24d96c6b0
com.google.api-ads	ad-manager	0.13.0		2262dd3a2e63a7e28f01427e47458bd5b1ab91e9
com.google.api-ads	ad-manager	0.14.0		e9f9a10c7941345fec26ce9834bf00a9d0758c89
com.google.api-ads	ad-manager	0.15.0		5cf41151b5de96c684414316c5cd2f5e5ac86213
com.google.api-ads	ad-manager	0.16.0		d6d74ae3c2192a962d585cb6f59eaa95cba9221c
com.google.api-ads	ad-manager	0.17.0		a3a3ebbc8a51a31c4d787f5d050e73d1f0840a13
com.google.api-ads	ad-manager	0.18.0		2e60a0a6a552c1b5f493cfdf46e1e91ce5e8e60c
com.google.api-ads	ad-manager	0.19.0		b4ca03e02786b175107e6c3191c8d988ac9c9354
com.google.api-ads	ad-manager	0.2.0		9887a451849a4d8a36a9014b5a11f34093c6317f
com.google.api-ads	ad-manager	0.3.0		b68e85237c0075a8528280797d998bb9597cfb39
com.google.api-ads	ad-manager	0.4.0		5ee7e2b1bf2faaaed6a2bfb323a136a9d479cc92
com.google.api-ads	ad-manager	0.5.0		7d4aacc372263352c6ff8fa6e7931be3e2e3d5b5
com.google.api-ads	ad-manager	0.6.0		bb8d94e2827e80e68c21d9a71b6e8f72278ddd7b
com.google.api-ads	ad-manager	0.7.0		4c00c2943c20acd2dc80ede982a6333fe08c1e30
com.google.api-ads	ad-manager	0.8.0		a41cd9f45ba3f8e7ce6fa2f5e97650bb9b1b9a1c
com.hydraql	hydraql-template_1.2	1.0.1		7745d4cc3cd4e5de0cad9ea1fba47443cba667b9
com.hydraql	hydraql-template_1.2	1.0.1	shaded	0c07a28d2a089a1a8cd92dd42481d1dbe02d2999
com.hydraql	hydraql-template_1.2	1.0.1	shaded-sources	0753c1f0a72bdabd747c66728d843b46cdd29e52
com.hydraql	hydraql-template_1.2	1.0.2		40589c36d631bc54ab3053ee9908f92d14d8dbc8
com.hydraql	hydraql-template_1.2	1.0.3		b096682ce7c71a4f578bdc5fcb645278fccba8ac
com.hydraql	hydraql-template_1.2	1.0.4		4d2aa9529fccf4dd2349e30043045f090af18863
com.inkapplications.shade	core-macosarm64	2.0.0		N/A
com.inkapplications.shade	core-macosarm64	2.0.0	metadata	724507a48625184514de0cbd528b9bc6870a6a84
com.inkapplications.shade	core-macosarm64	2.0.0-alpha		N/A
com.inkapplications.shade	core-macosarm64	2.0.0-alpha	metadata	66942556b181babfebfc88e8f52aef6a7a0d64bc
com.inkapplications.shade	core-macosarm64	2.0.0-beta.2		N/A
com.inkapplications.shade	core-macosarm64	2.0.0-beta.2	metadata	8880fc9c8bcce9f6f12831b3af1dc680b493166f
com.inkapplications.shade	core-macosarm64	2.1.0		N/A
com.inkapplications.shade	core-macosarm64	2.1.0	metadata	b17e06b4597f44c6c45d9a2c97b7ab8f057e234a
com.inkapplications.shade	core-macosarm64	2.2.0		N/A
com.inkapplications.shade	core-macosarm64	2.2.0	metadata	92ffcefd9ed182402c89a3b0d8af501f48febcdc
com.inkapplications.shade	core-macosarm64	2.2.1		N/A
com.inkapplications.shade	core-macosarm64	2.2.1	metadata	878f3ff10ab8182cd34d960e0b9aa51ee653a79f
com.intel.analytics.bigdl.core.native.math	bigdl-core-math-mac	2.1.0		356b87eae3fa9fde6d14bc5ef566de4c58386a99
com.intel.analytics.bigdl.core.native.math	bigdl-core-math-mac	2.2.0		801e5a21b46cbe2e626384a283fe4cf734492d58
com.intel.analytics.bigdl.core.native.math	bigdl-core-math-mac	2.3.0		ef2d41fb81b3cf41a2bdd8be777e22ffe4d511f1
com.intellisig	hello-world	1.${buildNumber}		6f83880547f4cf7e70b6ef9c60ebabca3cfe9b96
com.intellisig	hello-world	1.0		b2c0d4ec32528f4de784133d9568919451fb437c
com.intellisig	hello-world	18.1109.1553		e1c26d85adb0265a855695a65a3780c0c529af10
com.intellisig	hello-world	18.1129.1420		823067a6bde0209a0e727e7ee9e99ec56e669ec0
com.moriatsushi.koject	koject-compose-core-iosarm64	1.1.0		N/A
com.moriatsushi.koject	koject-compose-core-iosarm64	1.1.0	metadata	2f0f6345fa061b46079a5ff38706f1a51251f7ac
