cn.supzx.utils	zx-common	1.0.0		N/A
com.aayushatharva.brotli4j	native-windows-x86_64	1.10.0		ae164b27bf684da001ce68e07a550ea5f5059198
com.aayushatharva.brotli4j	native-windows-x86_64	1.11.0		9a2e8b02afca194574ea2f265207de8789f99a33
com.aayushatharva.brotli4j	native-windows-x86_64	1.12.0		1a3c3517669948f423748de0af287fc06015c630
com.aayushatharva.brotli4j	native-windows-x86_64	1.13.0		03e2a5a3c496b7931d61734a077da04369d2cb39
com.aayushatharva.brotli4j	native-windows-x86_64	1.14.0		58e42eb7a69c78eacaa5c6c09af3b94d98498912
com.aayushatharva.brotli4j	native-windows-x86_64	1.15.0		ebd736edf512f47f00e9453e1bd9dfb743ff3243
com.aayushatharva.brotli4j	native-windows-x86_64	1.16.0		af546957311fa0ed42739767abc3952524e71887
com.aayushatharva.brotli4j	native-windows-x86_64	1.17.0		f077bf2787335e4363bc4ac7e96c97c919a4f04b
com.aayushatharva.brotli4j	native-windows-x86_64	1.18.0		3b7a5afb9bdcc80350770f45f664a56c71232dfe
com.aayushatharva.brotli4j	native-windows-x86_64	1.3.0		30f2f86db5b426011250c16a33e70268e1af8d32
com.aayushatharva.brotli4j	native-windows-x86_64	1.3.1		eeb6d9268774070549abcb29b6543e12bc929c3c
com.aayushatharva.brotli4j	native-windows-x86_64	1.3.2		53d2f124b67a3c44f9a2a4eaeb81061711e03c8e
com.aayushatharva.brotli4j	native-windows-x86_64	1.4.0		f3e8f626eb4894688b96ee527f05bd37c4541d6c
com.aayushatharva.brotli4j	native-windows-x86_64	1.4.1		afb01d15eaa077922605eb03bfc80fe69d0f0146
com.aayushatharva.brotli4j	native-windows-x86_64	1.4.2		9ba947c4f14d823eec0e2f835f6953fb91d9cc17
com.aayushatharva.brotli4j	native-windows-x86_64	1.5.0		4f515b092f9768ddfe7ae161cd84f737cdd5ab58
com.aayushatharva.brotli4j	native-windows-x86_64	1.6.0		b2f9463ad65efd5b61f5e5f36282608756c4a85c
com.aayushatharva.brotli4j	native-windows-x86_64	1.7.0		12a8cde48b21a28145d4a24cec2d707f10830f65
com.aayushatharva.brotli4j	native-windows-x86_64	1.7.1		24b509683396538afeaf3d6a37bf9c78935a8d8d
com.aayushatharva.brotli4j	native-windows-x86_64	1.8.0		67ab961ee24aa057081a3882b12349df8826d70a
com.aayushatharva.brotli4j	native-windows-x86_64	1.9.0		4969cfe13829176c0d9c20e355b9e8d69cd9e687
com.argonio.gora	gora-goraci	0.5		33416901061887fe7a268a6885d9115f91664fe8
com.argonio.gora	gora-goraci	0.5.1		2e050c640af5fd028c4fa7a964a752c9d0b75b6c
com.argonio.gora	gora-goraci	0.5.2		f6227717d728c65f9a556cae2a59e92404f15dfa
com.ericsson.bss.cassandra.ecchronos	fm.impl	1.0.0		ac5dd46b1b93959de33ed66c0a7a678c02ec5bb4
com.ericsson.bss.cassandra.ecchronos	fm.impl	1.0.0-alpha.3		fdb6ce8a9f8ef918147afebd91a7645e54039096
com.ericsson.bss.cassandra.ecchronos	fm.impl	1.0.0-beta.1		bf1ab0faa0ea49ddadf61542e8f60448fa95c319
com.ericsson.bss.cassandra.ecchronos	fm.impl	1.0.0-beta.3		f804cc0c5fc7f9a244ef40c289e64b5537c87fc1
