ai.begin	beginai	0.0.1b		ef29441207765032a19a2c6da68712271eb3b79d
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.1-1-2.1		d1df28d2d85e10ab182c36736d9cfbfe390497fc
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.1-1-2.1	scaladoc	825284d8bee6e2573594a7606483062d5c1b16cd
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.1-1-2.2		635e17d88803f26007d215bc98ea18d804c10464
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.1-1-2.2	scaladoc	a63ced89ec403c7266d4156d97832eb83fd6418f
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.1-1-2.3		b0cdafc55b6a8016f747381369516416c8bb34df
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.1-1-2.3	scaladoc	6a94e0a79147f1244e27fced347f3d39b28923f0
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.1-1-2.4		4dad47a30ce95c2c6e1123641fa7ef14432dd5d0
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.1-1-2.4	scaladoc	1d806ad9fdda86a6de347369bfc7d369d7b0d514
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.2-1-2.1		9c28fc246a3caa711a1beea5914876b2323d092d
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.2-1-2.1	scaladoc	626003c1a34da88c82fc654e4515c93ea7711ab1
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.2-1-2.2		d9df18cf3ad71129268100ef1711fb1714b78090
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.2-1-2.2	scaladoc	56741fe069af649bd5cd134ba0a0190e5b54ef29
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.2-1-2.3		1791008a5dca4ea13e26998f96081dc0040e2910
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.2-1-2.3	scaladoc	2757d13bbdda15ca8efcb1c360e14280730d9f5a
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.2-1-2.4		f74e8eb4e85d0fed4328a983e95b048d0a0345ee
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.2-1-2.4	scaladoc	626003c1a34da88c82fc654e4515c93ea7711ab1
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.3-1-2.1		b6cc334b66cf3ac6dfea56cd0cf4204583965285
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.3-1-2.1	scaladoc	c0c16064a3ba7aa08e0924df048299f3074ceb5e
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.3-1-2.2		319206081606d7a79c10970c224b13b9a49580f7
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.3-1-2.2	scaladoc	b58a2831f5662e334ba4931919ca85eb4d13febf
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.3-1-2.3		e66f1e0349ea0ccbda9cbc1a7f75f1e62d203f03
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.3-1-2.3	scaladoc	40f7b1849ae8d52d91f4ee21db632a40b72ddfc6
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.3-1-2.4		adfee19ea6fcea8c037a2aaf7e002718dbfe7b6d
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.3-1-2.4	scaladoc	e9488898c6a429601126602079ac3719832a9b6b
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.4-1-2.1		d244e19f49b36218b4b292c8db222e2bcb71bb82
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.4-1-2.1	scaladoc	62c19b1f3de6fca30f45bfb8b7e63454cfc5575e
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.4-1-2.2		8ef4e1df022c42c3982542c5e7ab7182fc0914e1
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.4-1-2.2	scaladoc	ff4345403f0ecc7a0cfdad3f417f071d4c26fc0d
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.4-1-2.3		6e2f4245dc682f5ce2f6ab8884bb082d1b53c938
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.4-1-2.3	scaladoc	949195713ff19248c1c1e7e05fe79a5cee256ebf
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.4-1-2.4		80b45a940b70f16208c844d3eabc1e1b264a072a
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.4-1-2.4	scaladoc	320050f1eca3eb580ead93b0d6e07cbea57b8d18
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.5-1-2.1		ff61262756a4c5ceedb2eb7b20a091be65612d4d
ai.h2o	sparkling-water-scoring-package_2.11	3.32.1.5-1-2.1	scaladoc	751ef7818f45ff707e333b3ca808c9b114845f3e
