avalon-logging	avalon-logging-logkit-syslog	1.0.dev-0		60d1d5a0d4330cb7eadc2b1dde503327aa29e510
br.com.archbase	archbase-event-driven-spec	1.0.1		f05ba5087cc19b2d13b4c5accc54697ece1583e7
br.com.archbase	archbase-event-driven-spec	1.0.10		2fd06bad27ff286cc8b0c1cec2d06d4bb9a986aa
br.com.archbase	archbase-event-driven-spec	1.0.11		8a5b76fff66a4f2598310dbb84f71ccb5102d19f
br.com.archbase	archbase-event-driven-spec	1.0.12		339578b6776e3652bf77dd02c45a61e5e191ae73
br.com.archbase	archbase-event-driven-spec	1.0.13		fec87f0c4008c20c6bf3f9dd016eaf0a823c1ec2
br.com.archbase	archbase-event-driven-spec	1.0.14		22e28817c976fed8e246b4b0126545b3d3efa629
br.com.archbase	archbase-event-driven-spec	1.0.15		8372d83106855faecd06d6c165749eae7f0b61bd
br.com.archbase	archbase-event-driven-spec	1.0.16		a81c201911526e16f73365ac1085d7f32076861b
br.com.archbase	archbase-event-driven-spec	1.0.17		fd424c0c4c853982dfe8cb086fe73fd285e55e74
br.com.archbase	archbase-event-driven-spec	1.0.18		6b74918545dac51dec7037f9618827ef12ad6004
br.com.archbase	archbase-event-driven-spec	1.0.19		3552623090fa2a8214ff3821bb4ac7f51447deb7
br.com.archbase	archbase-event-driven-spec	1.0.2		844d14cfcc2d20ba5931ebbade4e42f2c8dcdd58
br.com.archbase	archbase-event-driven-spec	1.0.20		4e3c3f0cd210ff88449aa002bd6c2731b7bf3099
br.com.archbase	archbase-event-driven-spec	1.0.21		b21ae2bbab1b55b4f317a4fef3540f8a0520670b
br.com.archbase	archbase-event-driven-spec	1.0.23		597354fa0397a88d5632dd3f9aeea46917055f97
br.com.archbase	archbase-event-driven-spec	1.0.24		fbb4910b2a1daaee8c3324d0f36860fecb0e9a7e
br.com.archbase	archbase-event-driven-spec	1.0.3		0f4fc7dbb2bda0d38863022c3bc316d41431675d
br.com.archbase	archbase-event-driven-spec	1.0.4		d65af2700b4e06f4c54145019867ca2cef433aa0
br.com.archbase	archbase-event-driven-spec	1.0.6		2c1e5de20ef91f3b3a3a0951bb2b26c517395e3e
br.com.archbase	archbase-event-driven-spec	1.0.7		ac68a1e3804162fa99b7cd01abe01720188f909d
br.com.archbase	archbase-event-driven-spec	1.0.8		46e7845548d6590928486bf1bb7dae7a1145788c
br.com.archbase	archbase-event-driven-spec	1.0.9		5bc03cb0a9584e452127c94d660748875920a36d
cc.kebei	onion-expands-script	3.0.0		c51d343950474929ede6ceee4ed9cc6ad9794efc
cc.kebei	onion-expands-script	3.0.3		25afd79a8aeed1f9a8d3dcebcc8551163e418b05
cc.kebei	onion-expands-script	3.0.4		a36455b8f06143611add63549fb3ecb4a23eeabc
cc.kebei	onion-expands-script	3.0.5		0a34067762509c9763cf0fbd35b9aaae665da344
cc.kebei	onion-expands-script	3.0.6		c3b817df142c7418ea4721649818ff35a9e514e9
cn.patterncat	extra-sleuth-tracing-configuration	0.0.1		2c9405dc856e30c3a247917d38011240217dbd26
cn.patterncat	extra-sleuth-tracing-configuration	0.0.2		09bd1a87c0b674344e62af56d4710af4905f23ca
cn.patterncat	extra-sleuth-tracing-configuration	0.0.3		af0335af7e6c95676867a7fef0756089bf17b6df
cn.patterncat	extra-sleuth-tracing-configuration	0.0.4		b25383e392a4b9542d31ecb6a0890db71bae7200
cn.patterncat	extra-sleuth-tracing-configuration	0.0.5		79bdbb7620705eba81b328dd120c55cc4e912f14
cn.patterncat	extra-sleuth-tracing-configuration	0.0.6		367a3cc0a23f47645b2f2e237d2c63cb0c4f254c
cn.patterncat	extra-sleuth-tracing-configuration	0.0.7		e999e49aafcabd1fccb830d2422104c8c08ffbdc
cn.patterncat	extra-sleuth-tracing-configuration	0.0.8		edf3f478e80d89209be2b68807be9cbf58ad8393
co.touchlab	kermit-core-wasm-js	2.0.3		N/A
co.touchlab	kermit-core-wasm-js	2.0.4		N/A
co.touchlab	kermit-core-wasm-js	2.0.5		N/A
com.aoapps	ao-dbc-book	3.0.0		c4c93aeef07be4e0698e1cd91377b58e11806151
com.aoapps	ao-dbc-book	3.1.0		ae3831be5e49603edde385a022a8bbdc6dc1679c
com.aoapps	ao-dbc-book	3.1.1		d5450351078f108ac77cf3634421ec4ee595c918
com.aoapps	ao-dbc-book	4.0.0		40855c206fac70a54d04e39de314c470a276a05c
com.arturmkrtchyan.mintds	mintds-java	0.1.0		29280294d6b369c0adfcb7052c291c8a01862d0a
com.arturmkrtchyan.mintds	mintds-java	0.1.0	all	568188407cb0cfb666e6d24d4a6b5a2038522733
com.arturmkrtchyan.mintds	mintds-java	0.1.1		27e929316bb8003f23282d25f8d2870543d505dc
com.easy-query	sql-dameng	1.10.1		81d700ca81bdd1d9702d2b9a91f4d827234eb7e1
com.easy-query	sql-dameng	1.10.10		da67c9a246ad1d8bcef2837aa8b537d8032d38ac
com.easy-query	sql-dameng	1.10.11		979b8e9399bbcde981529e3c8496e53a2f18975a
com.easy-query	sql-dameng	1.10.12		f16ab536a04e030bb244511472ae2485194f81db
com.easy-query	sql-dameng	1.10.13		adb328c0a3e432cda00dc6fc41a582f99c99ff56
com.easy-query	sql-dameng	1.10.14		b3133f25751eaa67d4f2ec0dabfaf84b08cf008e
com.easy-query	sql-dameng	1.10.16		61c2464af19a8361294ed2406663b57a924b5eec
com.easy-query	sql-dameng	1.10.18		5f2b943657d33921144b9df4b5d88b847893f52b
com.easy-query	sql-dameng	1.10.19		694e0453f98f2f2efb3c7678112c427248ff0779
com.easy-query	sql-dameng	1.10.20		a85786523626e09d466ca6352e96e299990926b1
com.easy-query	sql-dameng	1.10.23		3f2cf778c252963c760487e5341d28ced9da8dbc
com.easy-query	sql-dameng	1.10.24		2fea6c3fe87e2fb35640ffe11eb0f0ebd974ac24
com.easy-query	sql-dameng	1.10.28		f9a1b63f2d3dedaaa5b52d328ea32b07570e46f5
com.easy-query	sql-dameng	1.10.29		3dc9989294acf78bbec87b27a64441b9ac4d2d05
com.easy-query	sql-dameng	1.10.3		47248d1c819bd938179b68b2d890afa8bc4b961d
com.easy-query	sql-dameng	1.10.30		fb386ac6c11f800669dc4299f27357af19a02d03
com.easy-query	sql-dameng	1.10.31		da37f8ee8e3f4811ebcf4d8b1ad038366654a286
com.easy-query	sql-dameng	1.10.32		7264f864ca078ceca44712cd98b5c0c7c8d06e7b
com.easy-query	sql-dameng	1.10.33		f7f7e1ecdca554ca7c70febfb07d124d2a260c59
com.easy-query	sql-dameng	1.10.34		dcc51b884b86735d47fb3f22dd2f3aa880677957
com.easy-query	sql-dameng	1.10.35		37454312176e84002d65cf2f662f459c8206ff18
com.easy-query	sql-dameng	1.10.36		3b294a6843e3b35e8d1c11a905d7a888b1179614
com.easy-query	sql-dameng	1.10.37		89bd0062d04b3c7662b07ab52d3bb5c9687622d3
com.easy-query	sql-dameng	1.10.39		7f9b4e0b2a36b565b528294da0378f6edc6a17cd
com.easy-query	sql-dameng	1.10.4		488bc428a5bded138f51bc47a218ede3a1f489d4
com.easy-query	sql-dameng	1.10.40		5584b114b13a2b9379197ac7f6b7c174bda6f17d
com.easy-query	sql-dameng	1.10.41		ad4627399574fcb432c1f591b6c81893985c62c3
com.easy-query	sql-dameng	1.10.42		79afcad8d7e4c9a8b56038a717e5278c2c4f0d07
com.easy-query	sql-dameng	1.10.43		a0920088e0153c29ee64ba86ae3598b45ec62e09
com.easy-query	sql-dameng	1.10.44		c20f2c22545af4a046c865ac3ce3ddaf16a11dc5
com.easy-query	sql-dameng	1.10.45		7ed38982c59d4bdbb38352914baa8cd1605c6d34
com.easy-query	sql-dameng	1.10.46		c67f0e6ae3568ac097303e731007c72ac8e7ecc4
com.easy-query	sql-dameng	1.10.47		74cb4065f9ef911d9737ff79d07806ba0831fbb0
com.easy-query	sql-dameng	1.10.48		ab36ce117f35550204dbc64febc0bfefb66d9ce9
com.easy-query	sql-dameng	1.10.5		35a918e3b795c6284f8c2cfeb1c827ca73b964df
com.easy-query	sql-dameng	1.10.52		8bbe0632bb26149ca14870709ab5262a01d42c79
com.easy-query	sql-dameng	1.10.53		95d722cff04b76442377a0a79979fed1e70c2925
com.easy-query	sql-dameng	1.10.54		dae3cfd023bbb463e97a45e87628501344045435
com.easy-query	sql-dameng	1.10.55		5a4f72fd93087eb66ea71e4f5a8fcf1f68aeed36
com.easy-query	sql-dameng	1.10.56		108b000daea123f8158067f7761e0e7d2e7f7afa
com.easy-query	sql-dameng	1.10.57		89b5626dc5017b8c82f55ebc35bd246868401cf9
com.easy-query	sql-dameng	1.10.58		f36b7bd31bb9f56e9456f899b2c2756ea2d1fd24
com.easy-query	sql-dameng	1.10.59		7925042decb4612376352ae08d1917f4702bfc82
com.easy-query	sql-dameng	1.10.6		d5606eca3eccee933e3e546dbd2c0d10f9758b9f
com.easy-query	sql-dameng	1.10.60		1c2fdb21d3c239952144788cd77f5b4b9ad6d1a2
com.easy-query	sql-dameng	1.10.61		fd0c7a232d53e72ff00650c93425f2830c2c6a83
com.easy-query	sql-dameng	1.10.62		3a09dd478e0ca189022d50f298b0a338fbb27130
