cn.lovecyy	relaxed	1.6.0		N/A
cn.sliew	carp-module-security-core	0.0.1		7133292391a9c22bc41954e7ddb15d63d659752c
cn.sliew	carp-module-security-core	0.0.10		0ac7c4e02b7ef3fc41c10bdd3d58a68f2745c93b
cn.sliew	carp-module-security-core	0.0.11		60bf8fb8cc92d6d4b533a5230a3e687e008341b0
cn.sliew	carp-module-security-core	0.0.12		57765ea299013587b07cdd939c7d4c6b2fec8f9d
cn.sliew	carp-module-security-core	0.0.13		b25a8b72a30284d82a40033b393bff168111eed2
cn.sliew	carp-module-security-core	0.0.14		385abe187d4149a4575243be01b8f25aaa1e7348
cn.sliew	carp-module-security-core	0.0.19		6354c7c4a224f3a1ab6e0953465f90396c7b103f
cn.sliew	carp-module-security-core	0.0.2		d98dbdd6cdbc9a4258aba169e15402d9bc7f0d2e
cn.sliew	carp-module-security-core	0.0.20		f744ad610d45f676c4112cfe8ed82f3c91b3aea0
cn.sliew	carp-module-security-core	0.0.22		bae4c597a911b62f528268ed493e313385a5e5d2
cn.sliew	carp-module-security-core	0.0.23		79d351eb42ec25c32a430e89264547ffcca94bf5
cn.sliew	carp-module-security-core	0.0.24		5820f0fb4e4feab642dafd52b65f33f0e758e6f1
cn.sliew	carp-module-security-core	0.0.3		22056462350e5e889fc514bcb90244e0c4fbc24a
cn.sliew	carp-module-security-core	0.0.31		581d62e62d87cc81af09cfc639e73442872c1af8
cn.sliew	carp-module-security-core	0.0.32		ade5aa7ebca8f330395d40f80b7d547a848d1801
cn.sliew	carp-module-security-core	0.0.4		5d1b70ab40d79b0cdfcdfafed475c48b4b53faef
cn.sliew	carp-module-security-core	0.0.5		8bec60f0dd4d24f626f98e15e04f63b07f4049f7
cn.sliew	carp-module-security-core	0.0.6		367727c035aad8b54b0dc7813b50ef659c3607ef
cn.sliew	carp-module-security-core	0.0.7		ba0f66a638d6da39b4b8bb6c438a391f6e52fe70
cn.sliew	carp-module-security-core	0.0.8		6835ceeafd6c0b13d1c86e11c3021791a2d46655
cn.sliew	carp-module-security-core	0.0.9		db812c3958caff120bf4c53b221c546a22f3e9e0
com.datastax.oss	dsbulk-connectors-csv	1.10.0		ba98ec278e0ec0247f96fd45bd1c1161184a2c0e
com.datastax.oss	dsbulk-connectors-csv	1.11.0		b14c9212da8f6bc3b4a11dbd4f7ab5b2641e00b2
com.datastax.oss	dsbulk-connectors-csv	1.6.0		0704ec20c24bacea0387a445487d239b2124a1ba
com.datastax.oss	dsbulk-connectors-csv	1.7.0		10415de7c5c1dbaa3e5f8a6d3ffe99c34f699d28
com.datastax.oss	dsbulk-connectors-csv	1.8.0		bca1a0442febb0116f0fa50c98e18678f9882998
com.datastax.oss	dsbulk-connectors-csv	1.9.0		72a8072bc65e9f49a92c1351149e6928fc8493e8
com.datastax.oss	dsbulk-connectors-csv	1.9.1		6a68f4d5315c53cc1c779c0484a2e31f4c6fbec4
com.github.cafdataprocessing	worker-binaryhash-container-fs	2.0.0-3		N/A
com.github.cafdataprocessing	worker-binaryhash-container-fs	2.1.0-28		N/A
com.github.cafdataprocessing	worker-binaryhash-container-fs	2.2.0-61		N/A
com.github.jochenw.qse	qse-is-core	0.2.1		a2f70b5722427bd29ec655d05ea979fc2f1c92f1
com.github.jochenw.qse	qse-is-core	0.2.2		3e2628df064d0c6f688fd7c0ddee77b5deb90347
com.github.jochenw.qse	qse-is-core	0.2.3		8d6804f388c625ad3cfdb6f2c2d127c00df27be2
com.github.jochenw.qse	qse-is-core	0.2.4		c95cd608c3f9e7a685f6f62787bb51ef0819b17c
com.github.rasadi	SimpleGraphiteClient	1.0		7508d22e86aa945bc944b587ee1c77026469e839
com.github.rmannibucau	playx-ioc	0.0.1		1e5373c407f5be12dbfa15cb1ddc632e258ce06c
com.github.rmannibucau	playx-ioc	0.0.10		2b6167e458a76e43dee17bd86c2221015fd1dd6e
