com.elo7.nightfall	nightfall-di-kafka-0_10	2.1.1	shaded	05ff4ade95dbb4cc0f94e2f02c9b89deec18c5ed
com.elo7.nightfall	nightfall-di-kafka-0_10	2.1.2		8807226d2338c0027dfe2bfc4db9ee6f8a3bdf63
com.elo7.nightfall	nightfall-di-kafka-0_10	2.1.2	shaded	261186cde91b13bc6f010aa5eb48f8b8e5849675
com.fillumina	performance-tools	1.0		7b9f270412bb1abe766db1c428982b5153427b85
com.fillumina	performance-tools	1.1		e10d8fa49ba00d5fb57303081bb0eb05ef8b4959
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.14		5800ef74f9678813f13133ffbf54ee61af0d80fa
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.15		1657cd68cb395d5707c1e91ceeb5c5b4d72896b8
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.16		b9936f08bb2e4270ebb1451c583458e4c380ed47
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.17		9e1a0a4519d046d6c128e4b1c6f721afd33fff37
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.18		80a4632ec74837f160ab4a5740bcaf05d28e9f56
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.19		2e911df4e5d3b0d46a8a51edf2f0dab0f86d8389
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.20		5fde0d8a28197e07afacaafdc787e03de4f30ee5
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.21		a4a1d700c428b71a660cf641d525ec7d0bc9d0fc
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.22		6803034a4e439a16a145550b92fba82779ee3d8c
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.23		2ea223728382964712c345c4cdcfd00b7b5e405d
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.24		5ed2eb5d8588bb15c39da52d15e42f7039d9aae0
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.25		5b408d833638653a315afef5ad563b1cfdd930ec
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.26		a2bca56398da072c3eb34b65429da6b60452f2f0
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.27		c4e571fd4cc38bf819f262262f495662314ba3d0
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.28		6ae18de40600e33afd5abcb6dc026e070666acd2
com.gantzgulch.tools	gantzgulch-tools-jwt	1.0.29		881bb8f619e043abf4bb011adc6c4d02744dd8ca
com.github.adedayo.intellij.sdk	maven-server-api	142.1		598af27028b32b7085cd3b3d46cbb1d918cc24d1
com.github.ancane	haldr_2.13	0.5		6f51b49f3db78525d5adbe6ad1e2f9f846ee0d68
com.github.hiwepy	sitemesh3-spring-boot-starter	1.0.0.RELEASE		b7d44db85ba27180ee113d254da0c67b869fc925
com.github.tharwaninitin	etlflow-crypto_2.13	0.13.0		3f6c66641be58017f09482619911671d7734532a
com.github.tharwaninitin	etlflow-crypto_2.13	0.13.1		eeac968168fdd55c1782357ec20985bd21b66d7e
com.github.tharwaninitin	etlflow-crypto_2.13	0.13.2		1217a9655c35a7348c2cbcaa0d655acfa7732eb0
com.google.apis	google-api-services-adsense	v1-rev52-1.13.2-beta		2443b03898bf3ae92639333cc73ff85adb2f5286
com.google.apis	google-api-services-adsense	v1-rev52-1.14.1-beta		4c1748c576adc88325e2fa665ad3759514e47518
com.google.apis	google-api-services-adsense	v1-rev53-1.13.2-beta		273f2352e361c7f73dd57467a9490b307e7f9264
com.google.apis	google-api-services-adsense	v1-rev53-1.14.1-beta		2c1db2205b9ceb0028495651339fc18a69b19a2d
com.google.apis	google-api-services-adsense	v1-rev54-1.13.2-beta		c007f0037a4d915f168d482415f5c67b11d3cf34
com.google.apis	google-api-services-adsense	v1-rev54-1.14.1-beta		fb875e600370c480d46a79fa8fc02c290c6f5962
com.google.apis	google-api-services-adsense	v1-rev55-1.13.2-beta		ead478f518dc7318db691c1f77033ef6bfa9c9c3
com.google.apis	google-api-services-adsense	v1-rev55-1.14.1-beta		a8ccf7208a2389addc024e9315098bebe31f596c
com.google.apis	google-api-services-adsense	v1-rev55-1.14.2-beta		c52bac8545cee9ba7281bded2928386280b630f8
com.google.apis	google-api-services-adsense	v1-rev56-1.13.2-beta		1bc3b9dee4b71026fa4354f31d08c08141c6b5ed
com.google.apis	google-api-services-adsense	v1-rev56-1.14.2-beta		8333ffd23399ca86b07e1dd97245d694f81f970b
com.google.apis	google-api-services-adsense	v1-rev58-1.13.2-beta		a00a45cd75b44c24d4cf3560a6941fd408ac8052
com.google.apis	google-api-services-adsense	v1-rev58-1.14.2-beta		a4b84d46f7c5bb751c4ab031cb4a38aa3bcb86cb
com.google.apis	google-api-services-adsense	v1-rev59-1.13.2-beta		438302b8889bea1a59e20159151b50a5892c02d0
com.google.apis	google-api-services-adsense	v1-rev59-1.14.2-beta		5cf439045f6ecb1493002169b5a219faf13dfc81
