cloud.rio	amazonas	0.1.0		f0a4bc1ab8c1f46f0590686912248f811d67ca5b
club.javafamily	notification-manager	2.3.2-beta.1		N/A
club.javafamily	notification-manager	2.3.2-beta.10		N/A
club.javafamily	notification-manager	2.3.2-beta.11		N/A
club.javafamily	notification-manager	2.3.2-beta.12		N/A
club.javafamily	notification-manager	2.3.2-beta.13		N/A
club.javafamily	notification-manager	2.3.2-beta.14		N/A
club.javafamily	notification-manager	2.3.2-beta.2		N/A
club.javafamily	notification-manager	2.3.2-beta.3		N/A
club.javafamily	notification-manager	2.3.2-beta.4		N/A
club.javafamily	notification-manager	2.3.2-beta.5		N/A
club.javafamily	notification-manager	2.3.2-beta.6		N/A
club.javafamily	notification-manager	2.3.2-beta.7		N/A
club.javafamily	notification-manager	2.3.2-beta.8		N/A
club.javafamily	notification-manager	2.3.2-beta.9		N/A
cn.lalaki.assets	assets	0.0.1		dc085af95f2d2998a600918f58f0af87a60f35b6
cn.lalaki.assets	assets	1.1.0		dc085af95f2d2998a600918f58f0af87a60f35b6
cn.lalaki.assets	assets	3.0.0		N/A
cn.lalaki.assets	assets	3.0.1		dc085af95f2d2998a600918f58f0af87a60f35b6
cn.workde	workde-core-sample-boot	1.2.4-RELEASE		c134f76745e793746727e55bd0e202bd83c07f2a
cn.workde	workde-core-sample-boot	1.2.5-RELEASE		40529a1e3627f8c0ca6c7d70387eb4b71be9d0df
com.abdulrahman-b	HijrahDateTime-jakarta-validation	1.0.0		e933e97be30d652a4416aa3d06dc3c711eac18d2
com.abdulrahman-b	HijrahDateTime-jakarta-validation	1.0.0-beta.3		6b20396f50fd1c87bf09797813e91ccd170806d3
com.abdulrahman-b	HijrahDateTime-jakarta-validation	1.0.0-beta.4		d03c1663555045737601fb3cbc3f66b31e5d9a42
com.abdulrahman-b	HijrahDateTime-jakarta-validation	1.0.0-beta.5		53cc8a8a61d27b5510ccd8b69a881a6f6315a87a
com.abdulrahman-b	HijrahDateTime-jakarta-validation	1.0.0-rc.1		8f54bd232c4d6ae6f40963d7acbbc9de15fe11fb
com.abdulrahman-b	HijrahDateTime-jakarta-validation	1.0.1		3747200b33d21bd357cad61c9db2dc823f9f6b44
com.epam.reportportal	commons-reporting	5.12.1		adb709ba4bec2a57d6b07292d1b1dc3c86c73d1e
com.epam.reportportal	commons-reporting	5.12.2		717851819747d0b5418fdf76d0825d47d3daad88
com.epam.reportportal	commons-reporting	5.12.3		30c60e8bd1c8a1d529cb9b4eeb1b4b0098352d82
com.epam.reportportal	commons-reporting	5.13.0		fc8b28d34a393662a1eebd72a2d3c230ef49d7ee
com.epam.reportportal	commons-reporting	5.13.1		7abb11b8a1bb0f228759172438206a811d25a9de
com.fleeksoft.ksoup	ksoup-engine-common-watchosarm64	0.2.0		N/A
com.fleeksoft.ksoup	ksoup-engine-common-watchosarm64	0.2.0	metadata	34b1b3235ef443fe974672159b3122745ffeb585
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.5.15		85007702f4fb13573c54a97afe99e22e184d9723
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.5.16		a04395d33f7eee085f876ee4debf9c7de4511885
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.5.17		ad6906b665b7ef8e44e393b86e7210aeb95bfa77
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.5.18		ea0e2fc795d48dd552f5448c5eeb79b61ab0b13a
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.6.0		b364dee54f92c8ed17bdaa3be950622c59169c7a
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.6.1		d7f8a5a75df768c33fa3d10d9c50ec24304f788c
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.6.2		9f75c576d10eda5faa9252945a94d30672c91b60
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.6.3		beebc673a20276de3af2e6e8894b6ccfad90c463
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.6.4		e5e61a256054ff28454edc357176c38ef1f4d324
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.6.5		84839c9d44e6345cb7dab83db1932a980ba6a6cc
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.6.6		2209da12cd4f900c3e0f2ac25b1180963d40d4da
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.6.7		a1b2c1919e403b19cf464157cbe9989160719496
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.6.8		cff91f42ae80d40104f229a2c3e06e11ab2ecd9f
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.7.0		c84e7955c0b0caa3611dcaede5d4d61df6aa86be
com.gitee.zodiacstack	zodiac-dubbo-spring-boot-starter	1.7.1		75fa186cd1c3595ffbb9cb99ff21b5e4ce224c67
com.github.skhatri	gradle-appthwack	1.0.0		339e5012e1b937ba7e95f749fc656ccd369d0a43
com.github.skhatri	gradle-appthwack	1.0.1		aba22676994e01bd4bba0508d1d1ed8c87d8a300
com.github.skhatri	gradle-appthwack	1.0.2		2465ad884142d433fddcee725c91439d2f5acedb
com.github.sonnguyenvan9794	jxls-log4j-integration	1.0.0		N/A
com.immomo.cosmos	appasm	0.9.4_20220111_1443		N/A
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.1		4446a5f95eaa61236daa9d9a2b9396421971079d
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.10		b7a97ac29656455f38369fc1514d53730ac08db4
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.11		8dc64922df5a9beb80177cb94a9d1db298316605
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.12		765d8b9be35cbf845746682c021750fc15d61f46
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.2		249a629cebdd27cb90381c9fe80450ab4e4f7f78
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.3		3b57b6e18b6741f072dadd96701a785b7c62d4e6
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.4		0b9ba0a04445ea1bf0b5566f014e89bffa87e76e
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.5		2a05b113ac9386baad24771b7619409e189c22d2
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.6		310dd05a4df1ac5d945de0bf603b62f04880d833
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.7		ae26ee37b826a3e57f78a61a1c38a4b69e7a0459
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.8		e220aa8239df4c1577b8f2915582e3488effe724
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	0.0.9		955a35e1b8d35ffe093d8ef7066dfe8f40e463a3
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	1.0.0		656eed30137426e61eccae78b5e708f7a26052db
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	1.0.0-beta0001		868c69ec9f3aa1c791d2556bfea660f5e2e60baa
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	1.1.0		bd835a97d0025cbeff050aaf1c8b0d62613b56af
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	1.2.0		eecb32bbfca2fbc30a9cb018b9a62d51adf30cac
com.io7m.cedarbridge	com.io7m.cedarbridge.bridgedoc.spi	2.0.0		1eb576a35ce5fae361da54dcc0da4bb806bfdc52
com.jakewharton.crossword	crossword-watchosx86	0.2.0		N/A
com.jakewharton.crossword	crossword-watchosx86	0.3.0		N/A
com.jakewharton.crossword	crossword-watchosx86	0.3.0	metadata	750ff311672c998684bd794830bb759e78788c95
com.mopub	mopub-sdk-interstitial	5.10.0		N/A
com.mopub	mopub-sdk-interstitial	5.11.0		N/A
com.mopub	mopub-sdk-interstitial	5.11.1		N/A
com.mopub	mopub-sdk-interstitial	5.12.0		N/A
com.mopub	mopub-sdk-interstitial	5.8.0		N/A
com.mopub	mopub-sdk-interstitial	5.9.0		N/A
com.mopub	mopub-sdk-interstitial	5.9.1		N/A
com.outr	googleapi-scala-js_sjs0.6_2.11	0.1.0		29b4db7dcd812c39863bb28b33dbbbd635fe4622
com.outr	googleapi-scala-js_sjs0.6_2.11	0.1.1		14490511ffca872b7ba6c238dfaf2c2f9d111d6e
com.outr	googleapi-scala-js_sjs0.6_2.11	0.1.2		147240e5cde079eeac59b4131cad462d8d5b515b
com.outr	googleapi-scala-js_sjs0.6_2.11	0.1.3		f40fee440b05f9c02cb0c0b9ab691fbfb9d0f3d1
com.outr	googleapi-scala-js_sjs0.6_2.11	0.1.4		764a39b045a4967feb70c092924114322ec8ca9a
com.outr	googleapi-scala-js_sjs0.6_2.11	0.1.5		c89a9ca8e1b8829e96662b6d12508505e72c9cc0
com.rojoma	simple-arm-v2_2.10	2.0.0		38e0850dbdb6bdceca168d0d1043ba99b52f938b
com.rojoma	simple-arm-v2_2.10	2.1.0		8dbe2fa529d4deeace3cc94dd3a22d0d9843ba9b
com.rojoma	simple-arm-v2_2.10	2.2.0		eb1bc13fb0e44a000efd1b3408a08102708b72e0
com.rojoma	simple-arm-v2_2.10	2.3.0		7586c391ddbe069e6da1d81bfadb53ef5b54a6af
com.rojoma	simple-arm-v2_2.10	2.3.1		9d7b21656edea816b4df0287345c73d3544370c2
com.rojoma	simple-arm-v2_2.10	2.3.2		f35749fcf4d86732dd6356a5682ef783060a35ef
