au.net.causal.maven.native-security	maven-native-security-parent	1.0		N/A
ch.qos.logback	audit-server	0.5		1cf5ff2a33b5e8de59b706a71e5eff34a023c977
ch.qos.logback	audit-server	0.6		b122a03711f4056349a794bc588fc64662aaeb72
cloud.agileframework	agile-log	2.0.0		084f0ee46f9cddfdfe7ad30f10a2abac92ac5239
cloud.agileframework	agile-log	2.0.10		034fccae7572a2162d341d4455f08953cad60600
cloud.agileframework	agile-log	2.0.11		516da9877c1311adf03642b142c84bed057eea22
cloud.agileframework	agile-log	2.0.5		b797420bd85422fa340a25ac7fc08c3127f19f2d
cloud.agileframework	agile-log	2.0.6		ea0c8bc92286ccd7d3b98a2a62accd29112842ec
cloud.agileframework	agile-log	2.0.8		d3ebc43902381ca89c26d8c30c6c35012ef906e5
cloud.agileframework	agile-log	2.0.9		acf417eef40f7d65c0fc9d740f227f9a1389c6c7
cloud.agileframework	agile-log	2.1.0.M10		4dda660df5f41ed1766975c81cf34106f3085181
cloud.agileframework	agile-log	2.1.0.M15		ed35b0cfe999a6f170444f5136d4f9ebfd0dadc6
cloud.agileframework	agile-log	2.1.0.M16		6d090beac83c3a8ad04b67c28f107131d613cca9
cloud.agileframework	agile-log	2.1.0.M17		f4bfbeb5c232490cf1dc90fec5815dc3531fbbe9
cloud.agileframework	agile-log	2.1.0.M18		cade1839c52f6a2e930b29c76fa58ad32f5165c8
cloud.agileframework	agile-log	2.1.0.M19		d65b85582d29c62ce13e1b8cecde8b76b0669305
cloud.agileframework	agile-log	2.1.0.M20		4749e436eaec6649e8ccf1e31a8e1152f80e8268
cloud.agileframework	agile-log	2.1.0.M35		aac869a9d6e92023425c4a141367b38a39c1b3f9
cloud.agileframework	agile-log	2.1.0.M36		59f06fe69d6aa848d0a75200a659267c190519a9
cloud.agileframework	agile-log	2.1.0.M37		7e3b1d120969cbf8cbc86772d88d284af61f087e
cloud.agileframework	agile-log	2.1.0.M38		ac94fb6ad9eed89f9322ccb1c7f2fa296fd69b62
cloud.agileframework	agile-log	2.1.0.M40		0e0f330934ae32c7d676026a1f20397eefc1d16b
cloud.agileframework	agile-log	2.1.0.M41		dca435dc3148443817041aa54808f23933b35162
cloud.agileframework	agile-log	2.1.0.M42		5b3f67af76cbefe2687e9644ab7116c7f89b1e6f
cloud.agileframework	agile-log	2.1.0.M43		9d4a743252742f1a7a49337a06635626ef9d6715
cloud.agileframework	agile-log	2.1.0.M45		f7b8c429965464a00174001ccbd52a9a84b00c66
