co.elastic.otel.android	api	1.0.0		N/A
co.zsmb	requirektx-bundle-watchosarm32	2.0.0-alpha02		N/A
co.zsmb	requirektx-bundle-watchosarm32	2.0.0-alpha02	metadata	7f37ba22b8f6445b02a94834e763c8382c4648ae
co.zsmb	requirektx-bundle-watchosarm32	2.0.0-alpha03		N/A
co.zsmb	requirektx-bundle-watchosarm32	2.0.0-alpha03	metadata	1be758972e2d3cff8c6696bfb3e0a33b8e1e18db
com.aallam.similarity	string-similarity-kotlin-watchosarm32	0.1.0		N/A
com.aallam.similarity	string-similarity-kotlin-watchosarm32	0.1.0	metadata	e557a4a376859113b630538432f3e4f42b242560
com.avito.android	queue-worker-api	2022.1		a3218b4a1168f87ec28ea9df0d8efc3119c21ed1
com.avito.android	queue-worker-api	2022.12		78410eb4b7361c8698a1f29ebbb1fddb515aa6ac
com.avito.android	queue-worker-api	2022.14		307e9ce34e4e6e99edafb27732695709958715e2
com.avito.android	queue-worker-api	2023.2		c559a13e6484b3ceec3d513d79bba2b3ed4d9de6
com.blazebit	blaze-query-connector-google-gcp-storage	1.0.2		672dea45e38313d80a8b7dbcdb023baeb18cb904
com.blazebit	blaze-query-connector-google-gcp-storage	1.0.3		0579044f9e1fe95155a54564654b0e4156731b53
com.blazebit	blaze-query-connector-google-gcp-storage	1.0.4		8dab6914a1cb3331115b34c315fce42cf9da7b21
com.blazebit	blaze-query-connector-google-gcp-storage	1.0.5		eebe4f410fdf58e3cb48893daab32db69f20a1e2
com.blazebit	blaze-query-connector-google-gcp-storage	1.0.6		ec1bb1004b0927a8e756df71a34eb65f1bba58a3
com.cedarsoft.commons	presenter	1.1		fe5fd499cf4c116636d3a7ddaa9fad3dea6d0eb9
com.cedarsoft.commons	presenter	1.1.1		a7a8e39992fac7974f83cd867319430bdfff6c90
com.cedarsoft.commons	presenter	1.4.0		921385c0208b86896fc42203f43482249aefd265
com.cedarsoft.commons	presenter	1.4.1		171729a71e7e17d8b80aebabb2095fe7a33cbb4f
