activesoap	retroweaver	1.1		8de137dad861a59f75a1e7289553e0dc090b18dc
app.fmgp	scala-did-docs_3	0.1.0-M16		d4fbe9d09a9e88b492ace570183095f34d7d7e34
app.fmgp	scala-did-docs_3	0.1.0-M17		6c45964d109411098158a5bc5a4cf8e14d2b9fc8
app.fmgp	scala-did-docs_3	0.1.0-M18		f31b7ae2dc5faad66a6ccb8ed5ca205fb9197090
app.fmgp	scala-did-docs_3	0.1.0-M19		5060716f53f8b31c5725c0bcd3bd68c79b43b23a
app.fmgp	scala-did-docs_3	0.1.0-M20		79d13949ab1339c69c73f71450b8cc4c6052288b
app.fmgp	scala-did-docs_3	0.1.0-M21		272b0808e001473baf023adad427583cd4eefe96
app.fmgp	scala-did-docs_3	0.1.0-M22		322c98df663446da8a46538ffa5ed2f517ce0bb6
app.fmgp	scala-did-docs_3	0.1.0-M23		45947de2fc451ca5bdfa6e98ba250ae02fa8e3a2
app.fmgp	scala-did-docs_3	0.1.0-M24		16d618d3c9bbe1a1b278b1d895315263acc4a5ad
app.fmgp	scala-did-docs_3	0.1.0-M25		a624fb39de2fa8527b566f222054ee42b89ededc
br.gov.lexml	xloom	2.2.0		149699ea71682c5a9f43cdb6d88556e186d96ee5
br.gov.lexml	xloom	2.2.1		293f798d45aa3e850c1a46ec6fb4a71096a38e53
cloud.piranha.appserver	piranha-appserver-rest	20.8.0		N/A
club.dawdler	dawdler-boot-classloader-core	0.0.1-jdk1.8-RELEASES		bf111cef7bd45e0534e0f593f4cc530ca25e713e
club.dawdler	dawdler-boot-classloader-core	0.0.1-jdk17-RELEASES		c394f55afe12ca70d7769fdfbef10f63d39f9c4c
club.dawdler	dawdler-boot-classloader-core	0.0.1-jdk21-RELEASES		4baa5a708c05c34d01a72d34689b8e4076d7d03d
club.dawdler	dawdler-boot-classloader-core	0.0.2-jdk1.8-RELEASES		debaae7fdfdd835b279acf75d49e3e9dec0861ff
club.dawdler	dawdler-boot-classloader-core	0.0.2-jdk17-RELEASES		72bf08123dd30dd9ab5ea228a4b3302217664507
club.dawdler	dawdler-boot-classloader-core	0.0.2-jdk21-RELEASES		9398ef7b894ae51812e352bbf35f3cb45eb9652c
club.dawdler	dawdler-boot-classloader-core	0.0.3-jdk1.8-RELEASES		0d9e6881005b4e35afd5bfeceb2dc8ce155bfa9e
club.dawdler	dawdler-boot-classloader-core	0.0.3-jdk17-RELEASES		26a42d7e43e2d5ee85bfc3e1c2508d687d64b61d
club.dawdler	dawdler-boot-classloader-core	0.0.3-jdk21-RELEASES		2596f42f5e1300b1bbea85e2589aa4f2cf6487e7
club.dawdler	dawdler-boot-classloader-core	0.0.4-jdk1.8-RELEASES		a0bf93c6720a862a44e797fb03c3a2e0b22c346b
club.dawdler	dawdler-boot-classloader-core	0.0.4-jdk17-RELEASES		caef841587a5beca88ca8ca104cce35b6bc9223a
club.dawdler	dawdler-boot-classloader-core	0.0.4-jdk21-RELEASES		b918adfa5ccb5332cb33ae07127b692d39b54fed
club.dawdler	dawdler-boot-classloader-core	0.0.5-jdk1.8-RELEASES		9fbacfa3adf9cf71c5977b358aed1501c06974aa
club.dawdler	dawdler-boot-classloader-core	0.0.5-jdk17-RELEASES		b28876a750a5a452299153ff6ca885945b4a3a28
club.dawdler	dawdler-boot-classloader-core	0.0.5-jdk21-RELEASES		8e0fbe4e61693f8ed74839cc8c40fc93b4c4ad9b
club.dawdler	dawdler-boot-classloader-core	0.0.6-jdk1.8-RELEASES		065415da4dcc1cc4ac0c129a8cef719cf3bccae9
club.dawdler	dawdler-boot-classloader-core	0.0.6-jdk17-RELEASES		d7838e76d4b0a66d282521e3fb36cf1915378535
club.dawdler	dawdler-boot-classloader-core	0.0.6-jdk21-RELEASES		bb8a7a66128b649fc32738d502c5f056e0f04b28
club.dawdler	dawdler-boot-classloader-core	0.0.7-jdk1.8-RELEASES		fa7e4a97f4dee3d4b0deab0675c57bd2d6b4d0f8
club.dawdler	dawdler-boot-classloader-core	0.0.7-jdk17-RELEASES		6ba28f41bfd4fb782ae57d5cf6c7d98f6713e5ce
club.dawdler	dawdler-boot-classloader-core	0.0.7-jdk21-RELEASES		614510fce2d7166d737fdb782610bcd4346d1f65
