ai.mobid	android.sdk	0.1		N/A
aws.sdk.kotlin	applicationcostprofiler-jvm	0.16.0		d2fdfadd8bdbb8d25bbf34c0347a361ecd23ff03
aws.sdk.kotlin	applicationcostprofiler-jvm	0.16.1-beta		ca81337157338c61f8fefdd8f9c9352bf5fc761d
aws.sdk.kotlin	applicationcostprofiler-jvm	0.16.2-beta		721e2b5a814b12d3014cb95df422aad71fc98213
aws.sdk.kotlin	applicationcostprofiler-jvm	0.16.3-beta		4bd69edf50981ddbc2fbfb1d7d5c8aba4646033d
aws.sdk.kotlin	applicationcostprofiler-jvm	0.16.4-beta		a181cfc438a6083d6371eb508524e9fb51f16d38
aws.sdk.kotlin	applicationcostprofiler-jvm	0.16.5-beta		7c5b22c5a1ad6228b2070cfdefae00d89d2b1b3c
aws.sdk.kotlin	applicationcostprofiler-jvm	0.16.6-beta		be095a924a3dc8d1aa77d491f73c419c4dbf227d
aws.sdk.kotlin	applicationcostprofiler-jvm	0.16.7-beta		025b096179ca1579aa3d6f4230294429ae75e347
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.0-beta		b06eec354c8bdcb914ee2f32f9c3e87bb67b2915
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.1-beta		f8a0e13f3735727aba56312cceac42b261adf194
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.10-beta		ee952d4fde00aaccb7a1e53a1ed7c009787de0a9
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.11-beta		0ae8aeb0788718d8e2b78b7f50a45e2e760d6e13
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.12-beta		bf3f53d59c82c7f3c9d0d3fa348766360d8d8385
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.2-beta		b5e1e3ad42bcefbadaf931b7a364977c6fe7d417
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.3-beta		1e4a037b048321d7fe53d9e6795f89b05ead7ccb
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.4-beta		947b39c39dbbb18e10ddeeaab6e362a1b75959a8
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.5-beta		663e84f49b73f28b5ec1ef964e8c25e4d00cdc0a
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.6-beta		d6085286482eaa6bc4a25acca4e6d9c6cddec4d9
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.7-beta		7c6c103932178a3699b99ec1839f1103eab0d527
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.8-beta		eef16b55e87af1913d3e5e9276946916ab90d0d5
aws.sdk.kotlin	applicationcostprofiler-jvm	0.17.9-beta		e71daf7d47e50a2a6f6ea82c6d368381dc8f3264
