ai.kognition.pilecv4j	native-nr-linux-aarch64	1.0	1.0-bin	b1d31da002b2ccdbb4e892ab69e1f2bd826a81a3
app.cash.backfila	client-misk-testing	0.1.0	-	871a8bc91efae0c006e8859819ce0c08ccece2ed
app.cash.backfila	client-misk-testing	0.1.1	-	07db0eafb5506a3042468450bb45a4abe1508951
app.cash.backfila	client-misk-testing	0.1.2	-	d2b38b14f038d29b7165aa89bd76a9c80da14b90
app.cash.backfila	client-misk-testing	0.1.3-20200811-2e41939	-	5767fc73301545965920301b5ffb3d8a5146baeb
app.cash.backfila	client-misk-testing	0.1.3-20210127.1838-76ab4fc	-	61bfd64177f48dfdca7d89e55d8d79a5342186c5
app.cash.backfila	client-misk-testing	0.1.3-20210805.0116-93702c4	-	e0e0fe387368402e5d3491d7ff4e867c6bb2f9bf
app.cash.backfila	client-misk-testing	0.1.3-20210805.0207-0d08d2b	-	ae010ce24ff73930637a940b5357ad23a47909b4
app.cash.backfila	client-misk-testing	0.1.4-20210806.0204-5341f38	-	e8e57fe3f359ac327a135d7f68ac9a5aa2eba4af
biz.mofokom	graalson	1.0.1	-	d7f73c82e99b4b38904c5493488da0ffb040a34e
br.com.sejaefi.efisdk	sdk-java-apis-efi	1.0.0	-	2f00af77e5143298a8b5aad04c7b5e9804ec80aa
br.ufc.insightlab	huge-data-access	0.1.1	-	8dec7108b5a5bf4569de6ad70c8ef498c0a111f3
br.usp.each.saeg	jaguar2-commons	0.0.1	-	6e6dc1a621133e560950d8a2d78b3bc861a2f7f0
br.usp.each.saeg	jaguar2-commons	0.0.1-jdk6	-	7aa0dffea99db682bbc5727619e75cb7eb20b9e0
br.usp.each.saeg	jaguar2-commons	0.0.2	-	9e50094cb9ad94bafb8d682f35e1a50ec59d20a6
ca.gosyer	accompanist-pager-indicators-iosx64	0.25.1	0.25.1-metadata	6c99299c8f73ff61bfb3f1adb526fa7e824f6f57
ca.gosyer	accompanist-pager-indicators-iosx64	0.25.2	0.25.2-metadata	c3d2baebfa0db83410157c0b725bbeed13e87c8b
ca.gosyer	accompanist-pager-indicators-iosx64	0.30.1	0.30.1-metadata	eba85e1b1fbf9c8e222ce111027efb34025df4c5
ca.mestevens.java	dynamic-configuration	0.5	-	c8abf5bce6e0bcba74ff7fe4b5891e8a27b12ab5
ca.mestevens.java	dynamic-configuration	0.6	-	a35f453d24cbbf88a3cadf622b8d3849e3b3a1e7
cd.connect.composites.java	connect-composite-log4j2	1.1	-	82599e506e293fc807862b818e5442dabd17d5b5
cd.connect.composites.java	connect-composite-log4j2	1.2	-	df919916c9b9cd8b7e639a7a3f25971994d7f7f3
cd.go.jrepresenter	annotation-processor	0.0.1-11	-	44378efe529b281c1c9b306c3dee640b30609546
cd.go.jrepresenter	annotation-processor	0.0.1-2	-	727452838d72db345466ebd6be9f15b7904eb215
cd.go.jrepresenter	annotation-processor	0.0.1-8	-	60ca0ca0d867eb4afd717cc132046a9568594e1b
cd.go.jrepresenter	annotation-processor	0.0.2-18	-	cd985d949b08b7a454b708d6b6bf836161e57ed1
cd.go.jrepresenter	annotation-processor	0.0.3-19	-	472b814ddc480ab911a462aa7d845a78b173a713
cd.go.jrepresenter	annotation-processor	0.0.4-20	-	45a2b38871141ac39896d1bd5ab936f4519d024d
cd.go.jrepresenter	annotation-processor	0.0.5-22	-	9a8a8e6802255c21c01c659860aa8c92c12efa7f
cd.go.jrepresenter	annotation-processor	0.0.6-23	-	be35ecdf1c1750e5188629fa99fbe1f2498c3d16
cd.go.jrepresenter	annotation-processor	0.0.7-25	-	c65aa68e848f32ff57c696c44ecd8752e0dd0f72
cd.go.jrepresenter	annotation-processor	0.0.8-27	-	aa6b9b3493b0524a7837d547c7bb34c3d7b7598b
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.10.0	-	0326ba073538437b8f74fcd6879c19f084ee8f02
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.11.0	-	262ae285763f7c56d1b787aad74e9601aad46691
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.11.1	-	9518d5257359737140d79cb6b5866d58202b2fca
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.12.0	-	53a48190fafbf61b59bf3b2dd262df580023082e
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.13.0	-	6924120d55acf3d2564f50b5d4a3581882248029
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.14.0	-	f4cea8c8a58d38283f3e16ea8fb37164aef50c9b
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.14.0.RC1	-	078c671027029c8ce1b66204b288a211d911f36b
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.15.0	-	9525eb72928616f0f974422d21e201a0cf677a2c
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.9.0	-	5a3ffdab67ca731bb8e07bdc5705d6a2b788e11e
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.9.0-alpha2	-	16adcbf0daa645e060e210e7623af534b9ea2d1c
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.9.1	-	32155c5eb8d277609adb2ffd79efd58ae517fbbf
ch.tutteli.atrium	atrium-api-cc-de_CH-js	0.9.2	-	ef505b5a1917fa8667d9ebc54590aba8a4d60a53
cloud.piranha.webapp	piranha-webapp-webservlet	20.5.0	-	8defdaeb869051ccec9764ea19d181aa9a7230b1
cn.bestwu	starter-logging	0.0.1	-	077df76704c0ddece92e28041fe41566fd9f7fe0
cn.bestwu	starter-logging	0.0.10	-	984f913f70c1665fee23bf94597db4ee60bb6495
cn.bestwu	starter-logging	0.0.11	-	280849dac5a294f1d1fa6c938ed4a7d211232b6f
cn.bestwu	starter-logging	0.0.2	-	038065e646ec31c4929902861fb5e46aef167b27
cn.bestwu	starter-logging	0.0.3	-	05325b671c5b12e2e1f3c20852cb7cafe2ca6739
cn.bestwu	starter-logging	0.0.4	-	64012a666a932641f0ed266f3b4cd7d05e93d075
cn.bestwu	starter-logging	0.0.5	-	8b415163b21fd3f70080172d7647560fe964f377
cn.bestwu	starter-logging	0.0.6	-	5f503755e79f1bcee9db44a107f58cb9697c7f4e
cn.bestwu	starter-logging	0.0.7	-	a228b9873dd67fb05e94e57fb2ebe354fed5d62a
cn.bestwu	starter-logging	0.0.9	-	5a6c1c757ac38bafc267243298936270fc13d92f
cn.bestwu	starter-logging	0.1.0	-	1086688297e0053f9a5564ecd038782f0c6edad1
cn.bestwu	starter-logging	0.1.1	-	77561df7470d39d6ff0c2fab53df139a0bc16dcc
cn.bestwu	starter-logging	0.1.2	-	ed959f73c6eb3896ea55d21f29801c46ed8cb865
cn.bestwu	starter-logging	0.1.3	-	1e63be865b0cde293f206a23778365b81dfedf56
cn.bestwu	starter-logging	0.1.4	-	dea99f5a7e045d8c70f4a2f15f6e21c16237c4a3
cn.bestwu	starter-logging	0.1.5	-	be025a075a9a1e709b9230eac7e0e62260971ee2
cn.bestwu	starter-logging	0.1.6	-	582777d0172e564d6c91ad062f1a79f98ddebe8f
cn.bestwu	starter-logging	0.1.6-v1	-	d02b0dd4c9e0726251e61ce45ece02ae46902e03
cn.bestwu	starter-logging	1.0.0	-	801c0c022eea9445b34ef79ce531fa558049fcbc
cn.bestwu	starter-logging	2.0.0	-	f9f093266f5f7b5919bc444cad9220947106d10d
cn.bestwu	starter-logging	2.0.1	-	fd1f34bd2bdcb05e525c8aea5dee3fa9216b008f
cn.bestwu	starter-logging	2.0.10	-	963e3a2c9cf334cc959735ee0f9bf1619e109327
cn.bestwu	starter-logging	2.0.11	-	f6a94871dcdf5d19f8bb549ceff5bf0378b267f7
cn.bestwu	starter-logging	2.0.2	-	feb9ff6c81ffe8c1128fecc2fed7012390c215ed
cn.bestwu	starter-logging	2.0.3	-	f61fd5e15320df68e04af73c30c164aeee3d9b78
cn.bestwu	starter-logging	2.0.4	-	11e56ef351556cc1cf1318dd2ee257817558e194
cn.bestwu	starter-logging	2.0.5	-	b3c517da8f4d3a567b5efd9023fed44450cad794
cn.bestwu	starter-logging	2.0.6	-	be939314c07e5c57f99ce76ad9c847b465da3432
cn.bestwu	starter-logging	2.0.9	-	bae7a301c74d7cda099fc725286b7fdd2beafc4c
cn.com.antcloud.api	antcloud-api-blockchain	1.10.10	-	8e7fb76dff5ec1d89e41c1875e405f2dc3e5d03d
cn.com.antcloud.api	antcloud-api-blockchain	1.10.9	-	3eeb43e3ae93f7586b0b5b7fb13440ca6b05f5e0
cn.com.antcloud.api	antcloud-api-blockchain	1.12.0	-	db568a980642556d04536089aee7277674e5221d
cn.com.antcloud.api	antcloud-api-blockchain	1.12.7	-	452613e70fd5224cf7be1cdce6835c2a9c3c80af
cn.com.antcloud.api	antcloud-api-blockchain	1.13.0	-	e91a2b8f74e5d66faa2ca8d36b19726f08f25bbb
cn.com.antcloud.api	antcloud-api-blockchain	1.13.2	-	b52db9f60a7bd86ba99ef0eb6acf422eec838372
cn.com.antcloud.api	antcloud-api-blockchain	1.14.3	-	08448081ae3d7744106e1a656e7599062391eec7
cn.com.antcloud.api	antcloud-api-blockchain	1.15.102	-	47234b89ba7754e1534c634f797eaaba7618d186
cn.com.antcloud.api	antcloud-api-blockchain	1.15.28	-	cfde1a3d6ad37e9bf2c263676b52d9b066ce6a3c
cn.com.antcloud.api	antcloud-api-blockchain	1.15.40	-	9d2b1d1a814191985f30291c19518ae2a5eec370
cn.com.antcloud.api	antcloud-api-blockchain	1.15.53	-	01c9e4c7fe1ef79187151b50466b3e4ae273f6af
cn.com.antcloud.api	antcloud-api-blockchain	1.15.72	-	dede9a7d62c85ce28dd52680889f0a2526268657
cn.com.antcloud.api	antcloud-api-blockchain	1.15.73	-	f60318d87c026d207e7f5dff8712feb339a4fd06
cn.com.antcloud.api	antcloud-api-blockchain	1.15.77	-	25810b746573cd75008bcbea0f217fa40021a5ea
cn.com.antcloud.api	antcloud-api-blockchain	1.15.79	-	0808b68377f526335ee7e31877bebb7c9e106ee8
cn.com.antcloud.api	antcloud-api-blockchain	1.15.86	-	2911eae20846dcebb7386d24d1a9a53c9031590c
cn.com.antcloud.api	antcloud-api-blockchain	1.15.87	-	eaad864abcda78614ce93113e7a5bdca7d860c41
cn.com.antcloud.api	antcloud-api-blockchain	1.16.0	-	398f1e971defe1945ab37b55316e8d83a4da4ba0
cn.com.antcloud.api	antcloud-api-blockchain	1.16.1	-	fdcd4a72a437a2370acf6106f12373550949bbc0
cn.com.antcloud.api	antcloud-api-blockchain	1.16.4	-	c7f2874f8dbec6d37d5bbc9f0c82a5b57f754711
cn.com.antcloud.api	antcloud-api-blockchain	1.16.5	-	85097531b024fa23503ebc8a0208956dc481ad47
cn.com.antcloud.api	antcloud-api-blockchain	1.17.1	-	ffb32457e55f1c3a155392fcce1950cb97994c5a
cn.com.antcloud.api	antcloud-api-blockchain	1.17.6	-	6a7498a5f0f7c329038d4eb01a1cdf6eabe1a369
cn.com.antcloud.api	antcloud-api-blockchain	1.18.1	-	b15ffcc5e16c2e9d70b02ed7eff4b3349194f3dc
cn.com.antcloud.api	antcloud-api-blockchain	1.18.11	-	7f455ef060b2ba383f5606def96aec0870c18150
cn.com.antcloud.api	antcloud-api-blockchain	1.18.18	-	4fee171311eff0a22b78f661ea2180d495a257e0
cn.com.antcloud.api	antcloud-api-blockchain	1.18.22	-	6cdac73b641bd4b7b26d09461c43a7d2b1377797
cn.com.antcloud.api	antcloud-api-blockchain	1.18.26	-	194c1a29ce31e1c47ed82b7b0f13db613f9fa9c3
cn.com.antcloud.api	antcloud-api-blockchain	1.18.5	-	ef68fe762099fc30d30cb910b5b24aadd8c7f0b8
cn.com.antcloud.api	antcloud-api-blockchain	1.18.7	-	0141732e460b342d3ac39915c3caa518373a387d
cn.com.antcloud.api	antcloud-api-blockchain	1.19.11	-	71c90ddc4c267457f3f28d0886bed880aae0d5a8
cn.com.antcloud.api	antcloud-api-blockchain	1.20.23	-	d802f276abc05220035760384797a05956d7c98c
cn.com.antcloud.api	antcloud-api-blockchain	1.20.47	-	7c5c60c1ff05d567f36c709e62e216573a9ea97a
cn.com.antcloud.api	antcloud-api-blockchain	1.21.1	-	7d40888e167d27eb685d5c6e1f22e33c36e25da8
cn.com.antcloud.api	antcloud-api-blockchain	1.21.3	-	d0127689970188715f61c101ac2f2b0907b4296d
cn.com.antcloud.api	antcloud-api-blockchain	1.22.6	-	fd01783db690d803d41ec0a7416d4115a128cbaf
cn.com.antcloud.api	antcloud-api-blockchain	1.23.1	-	f9a3c9313c31ef09cfdae178876e450104b4bb2e
cn.com.antcloud.api	antcloud-api-blockchain	1.23.14	-	c902c0d78c51678f45eb8f2756f7764bb4d8e66f
cn.com.antcloud.api	antcloud-api-blockchain	1.24.1	-	62851a622fefd71513d5f6ed48a73991da2d25be
cn.com.antcloud.api	antcloud-api-blockchain	1.24.13	-	e5027374be293f838fb169f4166dc097ec4760d4
cn.com.antcloud.api	antcloud-api-blockchain	1.24.18	-	908edb4efc40ca58ec2bace647880ed5802dc4e8
cn.com.antcloud.api	antcloud-api-blockchain	1.24.9	-	1e7f252d35b1765aa9107caf7b031f04576e9645
cn.com.antcloud.api	antcloud-api-blockchain	1.25.18	-	bc08082e355743c7835cd65207ba03d4645a04a0
cn.com.antcloud.api	antcloud-api-blockchain	1.25.19	-	186eb386e2c1f3280fb55a9aa381a5bc377149dd
cn.com.antcloud.api	antcloud-api-blockchain	1.25.3	-	fea3dda1d0b9ea14068275a187e565ecc8921b80
cn.com.antcloud.api	antcloud-api-blockchain	1.25.48	-	93e4e0bda970b1895c9c18af03490c34d85d8f3f
cn.com.antcloud.api	antcloud-api-blockchain	1.25.70	-	1de331566839c95d383d345a3a6d2ffe68129fe2
cn.com.antcloud.api	antcloud-api-blockchain	1.25.8	-	2619d6bb10fcb743d85c8c8aab7a153502a4613c
cn.com.antcloud.api	antcloud-api-blockchain	1.25.9	-	9b467dbceaacd0f51ef766a211d692ac65826445
cn.com.antcloud.api	antcloud-api-blockchain	1.26.25	-	6590a8482cee8a0eb6c07d27c6f512771204dbb9
cn.com.antcloud.api	antcloud-api-blockchain	1.26.32	-	fdf926607d62dce878c50afc346cbdfe4b9e1fc1
cn.com.antcloud.api	antcloud-api-blockchain	1.26.33	-	a6c24e8939995e07dd551e4c94716b13fa7270d4
cn.com.antcloud.api	antcloud-api-blockchain	1.26.36	-	f1e687e36de60f422bc9bea95fe5ba3343caf711
cn.com.antcloud.api	antcloud-api-blockchain	1.27.10	-	0732d84cd6b7b679f934c471ec1b29b648187c35
cn.com.antcloud.api	antcloud-api-blockchain	1.27.12	-	b579734f58c5e336481fe3d02d55175375a74f02
cn.com.antcloud.api	antcloud-api-blockchain	1.27.13	-	bdf2749b6ce6072e95e779911d0921059bcddc2f
