com.bitplan.gui	com.bitplan.gui	0.0.2		5d4ac5c4e7a4683d4cfc3f146ae975c08b231be4
com.bitplan.gui	com.bitplan.gui	0.0.3		e721c1424d868330437f044300367fd18994de76
com.bitplan.gui	com.bitplan.gui	0.0.4		d81b2e4ada328e895470e20725efe922f1a3c7b8
com.bitplan.gui	com.bitplan.gui	0.0.5		2131cc58ea1f7cfd1ce45aaf7bbdf662cca2908e
com.bitplan.gui	com.bitplan.gui	0.0.6		ebcc56d7a70a00c7a0be72a42d0a2f6947b39ef3
com.bitplan.gui	com.bitplan.gui	0.0.7		0677b21ebdda45882097428ccd2673213cbbc90a
com.bitplan.gui	com.bitplan.gui	0.0.8		d6118880fea321ab2160ec786e194dbabe22824a
com.bitplan.gui	com.bitplan.gui	0.0.9		dcdb0828e7022afd484070cd0779c6a43b66a000
com.cloudbees	cloudbees-api-client	0.8.0		9b6048f3b583777e00787a3ef7178abb60739b9d
com.cloudbees	cloudbees-api-client	1.1.0		f9e4a94009547de79a8ca4eac076b3b1787c5484
com.cloudbees	cloudbees-api-client	1.1.1		54d313b99363e5a4ec959bb1784be8d2f5be5563
com.cloudbees	cloudbees-api-client	1.1.2		5eecde0188dfacf46070ff806b7949d57dddda15
com.cloudbees	cloudbees-api-client	1.1.3		ce4078dc4973084f1e3e433e097c3c81a7bd77a1
com.cloudbees	cloudbees-api-client	1.2.0		6268cd875da74bae5a64d8e1aa6cdb8cc4714795
com.cloudbees	cloudbees-api-client	1.2.1		6501aafb93fe1535f3263a64a3c83cd476c696c9
com.cloudbees	cloudbees-api-client	1.3.0		219ed3e4a74d2866c4690e291bc11dc6c9dd0a18
com.cloudbees	cloudbees-api-client	1.4.0		ebb6842fa97ade80f1c64cb3897c7ddf5634d41e
com.cloudbees	cloudbees-api-client	1.5.0		c52ce7905e438a20b57c289fd8e6c53567ec8bbd
com.cloudbees	cloudbees-api-client	1.5.1		f44425ecf1295a8e1bd074994e78102ae7ec6ac5
com.cloudbees	cloudbees-api-client	1.5.2		064dfd8fc08e9ce20c73a058eef9db341d96e6e3
com.cloudbees	cloudbees-api-client	1.5.3		9fa1d75db3f3bf1e977e4eecbcfb8df81a260c30
com.cloudbees	cloudbees-api-client	1.5.4		c79d3b1495b928ec6cd60997cf779271337d3225
com.cloudbees	cloudbees-api-client	1.5.5		4d80567345834ec06194c96204ab21966868ba64
com.cloudbees	cloudbees-api-client	1.5.6		42efc92646eab04647d00dd99061d08c4c28642e
com.cloudbees	cloudbees-api-client	1.5.7		267232d3a71ae2d84792caae079f9ae9c7fb9936
com.cloudbees	cloudbees-api-client	1.5.9		7e2901ec36f54e698921fd025e4b58e61868ccf0
com.davegurnell	spandoc_2.12	0.2.0		ece8eaad13cc756689c593a4e22de26bfee648d6
com.davegurnell	spandoc_2.12	0.4.0		9219ffd1c28d4de009ea81692b57091d929ba0d0
com.davegurnell	spandoc_2.12	0.6.0		00adae82642513669e3a76b2da62800b4f135037
com.digitalpebble.stormcrawler	storm-crawler-archetype	0.10		f4b5a79fe2522bf05cbdffdcb6c4c3349e75f0d0
com.digitalpebble.stormcrawler	storm-crawler-archetype	0.8		61621df1a24bcd06599a1b5d194db9ac3c618cf6
com.digitalpebble.stormcrawler	storm-crawler-archetype	0.9		ce8b244173c219987310d1d12ede70b18b4d0aba
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.0		4f8c5babdc8242adf79a2ec57af5a4621e81d705
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.1		ce82708050687664be236695246357ede69e95b4
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.1.1		3c6081b6dbdbe4ba741b0ce1e974f5203061505d
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.10		936f2e5a916d3cccec6979ac752d86dade4e73a1
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.11		81714af462f3d33ecab67c98fa7828f9c1d752b1
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.12		d840a898eeef50ba96aa2ee2020307cfa8bf23f1
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.12.1		22ca72e80d1ce2c3fa56fc2bebcf691754fcc3e8
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.13		9a7a450ae86d8e7e86ecccfd148989a5ff092a9f
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.14		3a525bfcb31c79be023663c8e8ea0bb257b36741
com.digitalpebble.stormcrawler	storm-crawler-archetype	1.15		1104b4adb1fedc00b58e121af1d123f63b6ebea4
